miliseconds,Tp,Tm,G,A,S,P,Nn,Na
0,117149.25176908623,8705.162834785933,-0.1350618138715049,-5.025899306626324,0.9197792619612898,0.02906664232743481,0.5038159999845742,80.24939514227303
100,83474.61268044077,7069.011189831634,7.204639492312897,43.71664790901051,1.8128060677957794,0.13720472538740636,0.0111453808772903,26.59879871321027
200,82949.88358873237,4802.435356736237,8.124213739991275,76.54484340911617,1.299514943214597,0.2366001833815626,0.011923014133252294,26.361655722223652
300,114687.30460348456,4684.267548928246,8.284273503152683,104.3132918564219,2.4454587812662343,0.2705020366372784,0.015387157825140392,25.784657009603745
400,83579.7248781604,17754.10884004993,7.805723217616453,122.12186537123345,5.660483516004878,0.2906936080554577,0.049011140405136,25.837133135377954
500,120360.97881187548,23071.57026780706,7.715215320370994,138.11671649765634,18.62142846437614,0.30146140024840584,0.14434983573625307,25.44744706519866
600,91500.61686852816,23833.314764236882,7.462332346893991,145.85275882411236,41.70530589352845,0.3128026687878591,0.31539348132610767,25.633912877757083
700,91350.10820970355,23466.935652819106,8.019844635997956,142.82927859501407,60.0720949150484,0.31766216343231013,0.4559041131778056,25.410608895745614
800,110078.39397300637,12430.998902939402,7.484509029816022,156.89817123538128,70.79282615245558,0.32324487984189676,0.49856175913912804,24.474788224416084
900,105338.98074954674,23376.777552015017,7.911198512845751,159.47166819894616,70.61198657492959,0.324940120894236,0.5120334030512076,24.019325673411796
1000,101002.73049360728,37309.473268892725,8.023899046678768,161.58090345396317,73.19152913611141,0.3245227275996349,0.49703322284991247,23.859968547834352
1100,138699.19790423696,22556.45893284219,7.964574914396927,175.77418429044343,77.74692619242796,0.32766978821332304,0.4951474540943635,22.720005129041397
1200,111156.01547820924,44507.492928810374,8.758882361635116,172.24145082002772,79.48721120531418,0.3362558888340722,0.4908627601062606,22.07322837573132
1300,136776.47503603395,29320.66852207279,8.719880812326226,173.71311568325518,80.19799735497712,0.3358740083199947,0.4841708340177905,21.770536854034262
1400,129116.31503381018,33648.50281269921,8.753011260318255,189.68691815947415,85.18008967090451,0.34232866909103005,0.4590024840894472,20.333763834369854
1500,157116.54147289836,46815.15253742639,9.867180114717335,191.73888497050376,86.08885279064353,0.3459563411122315,0.443296405543455,19.655497117818626
1600,170937.97864102235,58313.8842772355,9.57223803503873,202.94499122960713,86.28323880545463,0.3497378647516066,0.4290466675198872,18.34037175210182
1700,191008.40881918187,55707.21531366802,10.812597914577031,203.8011392210408,90.6632083109078,0.3521923736480588,0.4033949491569018,17.937025507379712
1800,190499.9528243817,64287.183199863015,10.771194882669807,217.237899878765,93.04677464813611,0.3592030669203182,0.385231535837549,17.105584223101065
1900,218121.5505936615,67606.58899314521,11.682102379199025,226.29379955863777,95.29104701608988,0.3631205948721868,0.36252537098680365,15.37728307359032
2000,258137.4052300187,61460.823753165205,12.963480916942624,240.43368240769655,99.71750369255047,0.3654903296311499,0.32885022441026573,13.850266049354548
2100,276523.6961616873,71371.79991212214,14.31677621565619,252.04149368121412,106.55427204696359,0.37274063092993825,0.3031394185253928,12.0013758372947
2200,319748.6146825118,84574.7937255418,15.303164418516175,277.85858795000684,112.08910878524233,0.37989903279380144,0.2649770831390656,10.38489353906955
2300,411947.16555493453,82380.6147841287,17.4476827609386,297.3666830018137,116.04870917556222,0.3844852409689891,0.23106594089790977,9.132277477773387
2400,534152.1241268337,100393.13847643911,19.19889316501184,334.27436509402685,124.17276584864263,0.39235069998802824,0.19668825738700804,7.399327022052975
2500,649831.5817788405,121470.3999160377,21.992887856222353,359.2358635703411,134.16670899822466,0.401137325761454,0.16973118970685125,6.099194278748993
2600,814773.9331370392,127659.38841150222,24.193813592876623,390.6506942524382,145.26095530391868,0.40886545093324894,0.14405117906967552,4.1565668460793095
2700,900012.2385247956,155753.05089433157,24.852758852753336,420.62851991233316,151.43036023679795,0.40967814769324656,0.130615997941602,4.187487965169778
2800,941329.8112549894,179377.3200316273,25.209950847123995,431.238956151396,154.31124424592608,0.41191104327970596,0.13335513982021727,3.771765018254679
2900,960991.7618353325,206296.6411322456,25.7582585184232,432.75363237074157,154.94174899223225,0.4159376135251384,0.13323701144919506,4.000040242909157
3000,957610.812424661,211089.42791210752,25.576608669584378,430.35049054326504,154.8349536997254,0.41771034568071935,0.1245513063908,4.265579723267593
3100,990059.7533800608,252077.73239158996,25.603654712393826,436.0647797110996,155.1350657913575,0.413311440634305,0.12415909479108107,4.462194412137509
3200,966404.1940676261,255232.24704402254,25.65149422839152,434.95993220499565,153.5097530516155,0.4141829483389085,0.13419410487425681,3.629971204684934
3300,967421.0483924097,283640.15633167914,25.997804519609435,433.0554336580507,155.9401526007401,0.41788195442950343,0.1223112801360214,3.906303678675545
3400,983935.5208067622,298383.57805839553,25.450998963967066,435.1039371992608,157.99422270635398,0.4196724578831117,0.13231607065711715,4.220172484442179
3500,976751.6095710567,333303.45008492295,25.62818883569794,430.5866787718113,157.06187742992384,0.4130759664486282,0.12714676562091537,3.7188479048318634
3600,987727.747382041,343862.5758430453,25.748757158577867,436.22217040229026,157.42467176130793,0.41336695248566424,0.12522809681283398,4.33828395765173
3700,985438.4956678717,375018.1207779581,25.427316097798716,431.1488305057092,157.5858550757113,0.41871366448565434,0.1205233123777441,3.655485899001177
3800,978265.4888945317,387083.7134363497,25.407500055596458,430.61772487027287,155.3186909707433,0.4166001832005027,0.1224393947945679,3.462254287901891
3900,971903.6225941853,415278.6923470618,25.29280973902301,434.0767524851079,153.80583389441637,0.4178780138463757,0.12540678925113838,4.092073424506233
4000,958554.5529118616,445534.03990405385,25.473285033151335,428.22107524727636,155.78359220640968,0.41880960872385364,0.12289739742588565,4.191124921122631
4100,967736.1574022394,473807.19389137544,25.572627909380817,441.1428811037657,157.49372662132694,0.41786780520006483,0.12845783237257136,3.467667735022021
4200,956045.0417924281,483960.39203350473,25.709554378362185,429.1086201212438,156.61255420259695,0.4153756520845381,0.129062074760499,4.4304093652209815
4300,965639.7680370657,497469.5025221107,26.01713346495209,438.34251381718155,156.55056990570282,0.41703345547350784,0.1333274691231296,3.357143563550218
4400,992861.9426142229,527917.733437607,26.091239383431024,439.63801347536935,154.24854684718423,0.4135161842992593,0.12573618729109387,3.632691854068515
4500,990255.0999787516,556504.7859740602,25.759107443287757,428.6382856988041,153.34133873195418,0.4172190530762955,0.12954696657084575,4.319693736576189
4600,960368.3771698547,576575.5555852226,25.798521763861807,428.0013190621958,154.23341449358043,0.4193182829354885,0.1331293305930559,3.341367737775668
4700,971791.0972391703,599980.3402283005,25.83594924941463,441.3624711426343,153.53362013046592,0.4182900573213841,0.1253734179511601,3.980735818214333
4800,966316.69200478,607185.9169438988,25.29266547850528,436.446949865638,155.7479464504104,0.41570194040790537,0.12789112602039884,3.570597141549441
4900,984289.6658776352,633335.8916741195,25.304836418095434,430.8203698753624,157.60453182115563,0.419781205634693,0.13452672567175755,4.0928461915615415
5000,994615.9392309096,667020.8256976273,25.504303997702632,440.3911108321145,153.38063581903978,0.41919504122285733,0.12100792541338064,3.3637054243032214
