milliseconds,Susceptible_Counties_with_airports,Infected_Counties_with_airports,Hospitalised_Counties_with_airports,ICU_Counties_with_airports,Deceased_Counties_with_airports,Recovered_Counties_with_airports,Discharged_Counties_with_airports,Susceptible_Counties_neighbouring_counties_with_airports,Infected_Counties_neighbouring_counties_with_airports,Hospitalised_Counties_neighbouring_counties_with_airports,ICU_Counties_neighbouring_counties_with_airports,Deceased_Counties_neighbouring_counties_with_airports,Recovered_Counties_neighbouring_counties_with_airports,Discharged_Counties_neighbouring_counties_with_airports,Susceptible_Counties_with_highways,Infected_Counties_with_highways,Hospitalised_Counties_with_highways,ICU_Counties_with_highways,Deceased_Counties_with_highways,Recovered_Counties_with_highways,Discharged_Counties_with_highways,Susceptible_Low_risk_counties,Infected_Low_risk_counties,Hospitalised_Low_risk_counties,ICU_Low_risk_counties,Deceased_Low_risk_counties,Recovered_Low_risk_counties,Discharged_Low_risk_counties
0,4052876.0,30.0,0.0,0.0,0.0,0.0,0.0,4431673.0,26.0,0.0,0.0,0.0,0.0,0.0,1811059.0,10.0,0.0,0.0,0.0,0.0,0.0,1269942.0,6.0,0.0,0.0,0.0,0.0,0.0
100,4052874.7625927995,30.362508429129537,0.1500050368543427,0.00029722504590871664,0.030183075977837235,0.6938134228197316,0.0006000107456149365,4431671.980425274,26.210616119854166,0.18146544738678078,0.0005407723641973602,0.026108194615019016,0.6001176227807891,0.0007265705660225552,1811058.684595005,10.005437411942685,0.06960053349228255,0.00013895610154289782,0.010002896965604285,0.2299462632634221,0.00027893306078367517,1269941.8867316688,5.88748381174165,0.08258661474051224,0.00028770541135900786,0.005945906645436651,0.13663207073960637,0.0003322216288247093
200,4052873.510233644,30.729396882150485,0.3000368899083962,0.0011779850718202547,0.06074383401331476,1.3960106127920158,0.0024001520382780726,4431670.952056896,26.42346469087929,0.3618862882099117,0.002142486642108653,0.05244637468200688,1.2051026039244264,0.0029006614809408905,1811058.368365374,10.011520957281654,0.13841258758453728,0.0005516920477874892,0.02001293606465888,0.4600249470551868,0.0011115059010431711,1269941.7747736045,5.777876206273452,0.16240392250405764,0.001126221440657696,0.011794912489537505,0.2707111313637869,0.001314000959473647
300,4052872.2427418795,31.10071827329304,0.450120572244888,0.0026263242336639903,0.09169934121548862,2.1066928705069348,0.0054007389936725795,4431669.9147992525,26.638571742388798,0.5412988836021199,0.004774933888431435,0.07903456260697615,1.815006564425099,0.006514062265747272,1811058.0512888797,10.018252806370311,0.20645168514127782,0.0012321073730101357,0.030032118055179538,0.6902509300519727,0.002491473144926696,1269941.6640858003,5.671108022263736,0.2395362535523485,0.002479944378007161,0.017563210911337012,0.4023032443859951,0.0029235238816160774
400,4052870.9599346733,31.47652615471171,0.6002809702493304,0.004626823615565763,0.12306637416621313,2.82596271825167,0.009602285853145022,4431668.868555609,26.85596361470992,0.7197390956577151,0.008408802974653833,0.10589230299642641,2.4298817261985586,0.011558850525020321,1811057.7333431595,10.02563519742722,0.27373314375758007,0.0021742293209211436,0.04006241580834913,0.9206391415119693,0.0044127124582447105,1269941.554629114,5.567111818652635,0.31406553564405215,0.004314922358086471,0.023266062449476804,0.5314729077611989,0.005139638717306236
500,4052869.661626982,31.856874725734425,0.750542851250167,0.007164587210556447,0.15486143054659685,3.5539239177337403,0.01500550543097212,4431667.813228092,27.075666963687635,0.8972423008405683,0.013015659336163884,0.13303867697267768,3.049780920750316,0.01802738861788779,1811057.4145057115,10.03367043716026,0.34027207907707957,0.0033722108960515564,0.05010577495735224,1.1512045630254595,0.006869223156761176,1269941.4463652489,5.465821836356564,0.3860713575685102,0.006598793140249925,0.028917834451422174,0.6582830904630819,0.007941838855248679
600,4052868.3476315276,32.24181884040464,0.9009308712741065,0.010225226838012358,0.18710074119254702,4.2906814845361,0.021611308121593113,4431666.748717678,27.2977087643541,1.0738434042268605,0.018567921885272877,0.1604923173219547,3.674757596218022,0.025912319730871512,1811057.0947538924,10.0423609012298,0.40608340847673,0.004820328648572188,0.06016411459646999,1.3819622300633572,0.009855124564995987,1269941.3392567297,5.367173956485323,0.4556310370491814,0.009300719124420547,0.034532041901050296,0.7827952712152239,0.01131024407536401
700,4052867.0177587904,32.631414008837446,1.0514695783267305,0.013794855339409924,0.21980027552864065,5.036341690719454,0.029420801115740254,4431665.674924192,27.522116311584877,1.2495768461438985,0.0250388524190391,0.18827141556826776,4.304865818609711,0.035206565818155115,1811056.774064916,10.051709034281034,0.4711818528941782,0.006512981578204284,0.07023932761122144,1.6129272323906956,0.013364655157182517,1269941.2332668942,5.27110568102562,0.5228196525587802,0.012391359608898147,0.0401213660336179,0.9050694563249895,0.015225592136007587
800,4052865.671816949,33.02571641553712,1.202183425555475,0.017860063392408646,0.25297576092621205,5.791012099921673,0.03843528791535638,4431664.591746273,27.748917229020776,1.424476624543058,0.03240252037033274,0.21639374563613947,4.94016028898545,0.045903322355876255,1811056.452415849,10.061717351219285,0.5355819423467674,0.008444687908135955,0.08033328177147776,1.8441147174266888,0.01739217029962372,1269941.1283598584,5.17755606922456,0.5877101474474785,0.015842768262412054,0.045697718307734336,1.0251642388862001,0.01966920998941101
900,4052864.309611858,33.42478292491891,1.3530967773176923,0.02240790641841867,0.2866426921413887,6.554801577944185,0.04865626725610786,4431663.499081366,27.978139471751245,1.598576306640001,0.04063378243932746,0.24487667606340646,5.580696348588978,0.05799605467458392,1811056.1297836083,10.072388437511705,0.5992980192183769,0.010610083016032695,0.09044782034149107,2.0755398914761183,0.021932140678361307,1269941.024500496,5.086465700446782,0.6503733851073085,0.01962833926577798,0.051272269304394255,1.1431368331710068,0.024622997529602793
1000,4052862.9309470286,33.82867108810361,1.5042339161442846,0.02742589284227976,0.32081634184594954,7.327820305775793,0.06008543241128999,4431662.39682571,28.209811329619715,1.7719090415517604,0.049708264320362995,0.27373718323513,6.2265299851880735,0.07147849485096093,1811055.8061449572,10.083724949608293,0.6623442415274955,0.013003917596601404,0.10058476269444475,2.3072180211118636,0.026979150933542778,1269940.9216544216,4.99777664083461,0.7108782067792505,0.023722758838881797,0.056855484146483275,1.2590431055635272,0.030069412984109187
1100,4052861.5356235956,34.237439151792245,1.6556190501845092,0.03290197046643384,0.35551177172426623,8.110179796602685,0.07272467053194219,4431661.284874321,28.443961431542036,1.9445075736417703,0.05960233950238682,0.30299186537079736,6.877717841366425,0.08634463820413939,1811055.4814765053,10.095729615511647,0.7247345865083219,0.01562105554269967,0.11074590499591921,2.539164434927886,0.03252789810195329,1269940.8197879698,4.911432404623468,0.7692914926084369,0.028101948801336357,0.062457157088277884,1.372937610486453,0.03599145595306419
1200,4052860.1234403,34.65114606398428,1.8072763179030649,0.03882451807604945,0.3907438393580383,8.901992906768765,0.08657606226775322,4431660.163120985,28.68061874828903,2.1164042508982,0.07029311616222676,0.3326569512044073,7.534317219866336,0.10258874113964772,1811055.1557547045,10.108405235145971,0.7864828528630884,0.018456472622996385,0.12093302063208837,2.771394524663309,0.03857319064587586,1269940.7188681825,4.82737793018079,0.8256781996393162,0.03274303210125642,0.06808643269038485,1.4848736126618107,0.04237265694895215
1300,4052858.694193448,35.069851485146266,1.9592297973366717,0.04518232896930997,0.42652721183736425,9.703373857183308,0.10164188100935058,4431659.031458235,28.919812597921055,2.2876310414671854,0.08175841141863725,0.36274831715674916,8.196386094022026,0.12020531689871618,1811054.828955846,10.121754681075265,0.8476026652166062,0.021505253873805145,0.13114786105644502,3.0039237474043716,0.04510994653444057,1269940.6188627828,4.745559532911499,0.8801014366480653,0.03762426542783074,0.07375184774486468,1.5949031308613875,0.04919705686855893
