miliseconds,G6P_F6P,FBP,DHAP_G3P
0,3.7179461613458566,0.0006357035155551589,0.002630722885833136
100,3.7186637392189854,0.0006369181770068442,0.002636939694774424
200,3.7208173568740794,0.0006381103935583018,0.0026353250016049675
300,3.72146177074145,0.0006394591635449085,0.002642197191923568
400,3.7237832153955663,0.0006413604461674912,0.0026441082719719424
500,3.727000836163372,0.0006429908682194554,0.002654771632537655
600,3.728613414553264,0.0006424417571762011,0.00265435900892906
700,3.728742267688192,0.0006437722764119267,0.002663112197362318
800,3.731227207930631,0.0006447998551518535,0.0026630775734826505
900,3.7337354644160388,0.0006462531278017319,0.0026723911176622307
1000,3.733557896409392,0.0006472036225329277,0.0026725633569358214
1100,3.7369664890795877,0.0006492401587670626,0.002680102139529163
1200,3.7369800529853094,0.0006501733219481121,0.0026864719489975582
1300,3.7402260925776685,0.0006523260423178073,0.002685586855045344
1400,3.7407276390885245,0.0006524342715558351,0.0026948868303623766
1500,3.743180325189737,0.0006541107252157339,0.00269669526619128
1600,3.7458937132676358,0.0006561773724596918,0.0027000973600715345
1700,3.7476763575803993,0.0006568678601555807,0.0027059267356016126
1800,3.7480747813104633,0.0006580073035155485,0.0027094848643655703
1900,3.7497873700201168,0.0006587597142542817,0.002717181565882177
2000,3.7515582725263377,0.0006599804927674523,0.0027169588417366684
2100,3.7537159953940114,0.000661570905545,0.0027228455882478556
2200,3.75465283585659,0.0006618045485610267,0.0027307087043185177
2300,3.7564973593124207,0.0006635356596580948,0.00273596028124203
2400,3.7590058650257547,0.0006650700104033523,0.0027366770551756074
2500,3.7588452339810003,0.0006658118365492768,0.0027404840283130915
2600,3.7604682701270993,0.0006673372974727031,0.002743417684581094
2700,3.764000376803543,0.0006685833651430483,0.002753469117501019
2800,3.766293216852044,0.0006706890823196833,0.0027539256070194078
2900,3.7671533535381707,0.0006704581662338558,0.002760774241785826
3000,3.7688784900340386,0.0006729608049199009,0.002764846657760001
3100,3.769488380565416,0.0006729979199127019,0.0027713105772175033
3200,3.770559083750792,0.0006743551724242658,0.002772073548418012
3300,3.772984947950591,0.0006770248755196416,0.002780768101037445
3400,3.776156584538654,0.0006771071957412448,0.0027839307828176787
3500,3.776433732626035,0.0006788308247741977,0.0027868645741269352
3600,3.778609113574131,0.0006804779226035274,0.002794230357471587
3700,3.7789093063899677,0.0006807975337666059,0.0027947066130147307
3800,3.7820071137259768,0.0006826633671928892,0.002799303185006178
3900,3.7842589147647776,0.0006830648940000805,0.0028035341815019
4000,3.7845330319692754,0.0006842579282002304,0.0028098295657928572
4100,3.786912615596057,0.0006868306628776499,0.0028161729175912413
4200,3.7890566485967563,0.0006871122631050363,0.0028221977869420955
4300,3.789554631512678,0.0006877509828215032,0.0028223746798637654
4400,3.7906773599037002,0.0006894909062900108,0.002830124719516816
4500,3.7933229865601756,0.000691163153785105,0.0028350520251984755
4600,3.7953571294890214,0.0006929639284241204,0.0028343735335384663
4700,3.7959163704194046,0.0006931617468174721,0.002842968663512346
4800,3.7976970901985236,0.0006948503514643109,0.0028435287437305464
4900,3.7991935911963446,0.0006954130677809287,0.0028512894286588913
5000,3.8016104268823567,0.0006976044465345311,0.0028528915388091663
