miliseconds,Z,Y,Wt,W_star
0,0.15690581918846502,1.6000839318809998,1.0,0.0032499243574592405
100,0.2542791282051409,1.6665584680026237,1.0,0.029683242685002942
200,0.26767098872233486,1.7401179174437,1.0,0.026992132862454034
300,0.2837006039236025,1.824824636246418,1.0,0.03310104532141286
400,0.301524239159642,1.9203372328803847,1.0,0.03566783093326814
500,0.3052006142058022,1.953726307899005,1.0,0.055497858100492375
600,0.3555098551512146,1.9688375693569242,1.0,0.061629425300980735
700,0.5741820338109752,1.7197462645466044,1.0,0.11208180299584274
800,0.8782779897209226,0.6838537968788903,1.0,0.46390225385498796
900,0.3131718615209677,1.0990731043559705,1.0,0.5730111188075868
1000,0.22754736824421026,1.2536890523270623,1.0,0.5023067860606798
1100,0.239739977621373,1.4103951498594298,1.0,0.43401085807307327
1200,0.2350281837340636,1.5303710041641603,1.0,0.3555923828897031
1300,0.24377837199532862,1.641321258760723,1.0,0.2851855655540713
1400,0.27414700695507244,1.7239148954670198,1.0,0.24144268150323053
1500,0.26860003494713547,1.838545483855644,1.0,0.18720986893690636
1600,0.2846189035858925,1.888929696226201,1.0,0.16522239564957344
1700,0.31851760373043514,1.9401399724508703,1.0,0.13526820545613422
1800,0.33376463771232556,1.9485936585832893,1.0,0.13881790883520756
1900,0.43828857037878705,1.8589173694434677,1.0,0.1517881249402381
2000,0.9951039165730402,0.6682864063870523,1.0,0.4610804571170929
2100,0.3634630936643277,1.0170857469082457,1.0,0.6131556108442711
2200,0.24582950401835005,1.2540508921341993,1.0,0.5725851518634804
2300,0.24367143678849712,1.3845337906606592,1.0,0.4835029978342063
2400,0.25280968931478215,1.5090765837674913,1.0,0.41153021714424953
2500,0.2614110048117579,1.6180102385245518,1.0,0.3434400815513329
2600,0.26312325274206766,1.7047380240364265,1.0,0.2944162762414431
2700,0.26664071017573093,1.799272048446817,1.0,0.24974729570262932
2800,0.2926498509684097,1.885264265514178,1.0,0.20156439430507594
2900,0.3165981985025441,1.9234310602662226,1.0,0.18248266942881802
3000,0.3425161890238324,1.9750297251870124,1.0,0.16207435319661034
3100,0.39518414669531077,1.8865682722476784,1.0,0.16898191933810452
3200,1.112184775689354,0.65342816971559,1.0,0.4240358865518304
3300,0.454740433423696,0.9280422385528082,1.0,0.6342652876195025
3400,0.2386893469695165,1.2167531044530122,1.0,0.6035955860965063
3500,0.23007776736702817,1.3570352941377795,1.0,0.525502958584346
3600,0.24053921065434605,1.4680306327562243,1.0,0.4567781750726377
3700,0.24509279629683253,1.5857065042793475,1.0,0.3863114879855258
3800,0.26452789449796227,1.715403328203336,1.0,0.3153971939783269
3900,0.27546955596874795,1.782601026153686,1.0,0.2770040776236399
4000,0.2828132406082477,1.866008462077177,1.0,0.23244988469628727
4100,0.3004304886465279,1.9451787279494857,1.0,0.19370787876333342
4200,0.3234193051711432,1.977077004018911,1.0,0.18617381881037923
4300,0.38895221550635545,1.915628171241113,1.0,0.18448114560618345
4400,1.2635220721870588,0.6871799128944134,1.0,0.38784614508827986
4500,0.5612096350033472,0.8646412538929396,1.0,0.6557391938559883
4600,0.2441202508527263,1.1918376027552036,1.0,0.6329695881395224
4700,0.23723453215469378,1.3178343789727862,1.0,0.5581557683390426
4800,0.2455497395503044,1.4712859951107398,1.0,0.48451936652742644
4900,0.2456560670699108,1.5803656887419189,1.0,0.4120792171285458
5000,0.25963175395543914,1.6755698712309406,1.0,0.34952543473043446
