milliseconds,Z,Y,Wt,W_star
0,0.13923819347538582,1.6177564488795553,1.0,0.008540368703710563
100,0.25745553999419823,1.646776372810758,1.0,0.01361185760730348
200,0.27048383836127854,1.7544367171361788,1.0,0.03290184556015415
300,0.2891407757063308,1.8535470716966937,1.0,0.02702986895934951
400,0.2948087092406623,1.90154681146451,1.0,0.03577434958997715
500,0.31265314974608666,1.9566288942497205,1.0,0.041639395335306625
600,0.3450231671833052,1.9562198490619036,1.0,0.07177790079287381
700,0.5653011403040862,1.7155196442365117,1.0,0.11101701214540247
800,0.8717567377579121,0.7074912228337686,1.0,0.4624268632435403
900,0.3026203723383172,1.0720278671608376,1.0,0.5674575702466739
1000,0.23351920592496506,1.2725794146103206,1.0,0.5067044359724204
1100,0.24053782348348987,1.4068218383977842,1.0,0.4231179833968929
1200,0.25601278515046594,1.5176662075522451,1.0,0.3486430589297658
1300,0.2461880161318047,1.6405620993494474,1.0,0.2965751122222056
1400,0.26106449210756955,1.7356331301467418,1.0,0.24049958729977802
1500,0.266475606118817,1.8070051247650756,1.0,0.19712460750133035
1600,0.2833825121480855,1.8936579228656727,1.0,0.15278578458943357
1700,0.3087564739982173,1.953341215171595,1.0,0.13749890845363583
1800,0.34970144770600514,1.9720639457315952,1.0,0.12034546289620988
1900,0.4521439561608085,1.8452744101091183,1.0,0.14501035631989595
2000,0.9799966764602454,0.6806912132861325,1.0,0.47076973475754397
2100,0.3702644407985215,1.02940427503456,1.0,0.6138595387098424
2200,0.23044749445089538,1.2481006632054903,1.0,0.5590024577816589
2300,0.24069055764808509,1.3911796093796827,1.0,0.4843362524990362
2400,0.23399658972892504,1.5064789092912578,1.0,0.4061409385690858
2500,0.2610708357482262,1.6195573726457098,1.0,0.3490183651635536
2600,0.2551993525346082,1.7033101491402223,1.0,0.2910154816285959
2700,0.2694023308193867,1.8126822846238362,1.0,0.23392610771874606
2800,0.28992331475868693,1.8770034102456565,1.0,0.20782181727796015
2900,0.31452474358843036,1.928268126869675,1.0,0.17299106541980427
3000,0.33638352828972223,1.9679929672290766,1.0,0.16464743155773987
3100,0.40716818573261826,1.9150101537527893,1.0,0.17151922267391675
3200,1.118938709643781,0.6571156807783848,1.0,0.4382270128413662
3300,0.44619774352419017,0.9536940058117046,1.0,0.6513949372056805
3400,0.24857523796107228,1.2376801754659035,1.0,0.5976326352981506
3500,0.23693513175192762,1.3559550073453241,1.0,0.5218155119857599
3600,0.24415425514929198,1.497552573346878,1.0,0.4453124159940625
3700,0.24237900846792326,1.6049580582813245,1.0,0.37969583495280834
3800,0.25824205228805486,1.70415103646451,1.0,0.32247530382210826
3900,0.2742321324444526,1.7920336222026065,1.0,0.265226715897417
4000,0.2818115247032314,1.8576581475475402,1.0,0.2252109461444921
4100,0.3082339000408521,1.9220487722095265,1.0,0.2039404027662132
4200,0.3345511137953574,1.972523024874344,1.0,0.19013031928605084
4300,0.3824876599855772,1.9116426109058329,1.0,0.19298192932381739
4400,1.255931444846223,0.684731221199167,1.0,0.3826286204692777
4500,0.5524799121916897,0.8569587305703317,1.0,0.6517212912412625
4600,0.24858216135206854,1.1938431898446848,1.0,0.6302826338538069
4700,0.22624406925110385,1.323085271145111,1.0,0.5659026041660821
4800,0.23348223912871763,1.4632294078865653,1.0,0.48582945470126554
4900,0.25068288376927306,1.590404632513969,1.0,0.41534757302740716
5000,0.2539772631835666,1.6718139635870672,1.0,0.3541348108878178
