milliseconds,Sti_g1,Sti_g2,Sti_g3,Sti_g4,Sti_b1,Sti_b2,Sti_b3,Sti_b4,Ra,Rd
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338082.22751427675,2556.133227369475
100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338733.1081513563,2569.068187415326
200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339385.0013085316,2582.0244510705033
300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340038.01245348033,2595.0042429961723
400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340692.1779188258,2608.008334049066
500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341347.5157520773,2621.0371154376694
600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342004.0267488321,2634.090606354645
700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342661.71669852623,2647.1689461076166
800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343320.58832525526,2660.272197987407
900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343980.63707693596,2673.40025623227
1000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344641.8637978206,2686.5531414009934
1100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345304.2823328852,2699.7311906391774
1200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345967.8846389868,2712.9342080844194
1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346632.67071612534,2726.16219373672
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347298.64893893345,2739.415356039459
1500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347965.8249348655,2752.6938350591568
1600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348634.1941078746,2765.997516400875
1700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349303.7571455375,2779.3264171783017
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,349974.51473543106,2792.6805545051234
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350646.46756513225,2806.059945495028
2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351319.6163222178,2819.4646072617033
2100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351993.97081106843,2832.894787377015
2200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352669.53206815704,2846.3505117741843
2300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353346.29780019907,2859.831722215501
2400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354024.26945438626,2873.3384550165
2500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354703.44847791037,2886.8707464927156
2600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,355383.83631796314,2900.428632959682
2700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356065.43442173646,2914.0121507329345
2800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356748.24913495657,2927.6214627314434
2900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357432.2806297629,2941.256572316806
3000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358117.5296268813,2954.9174970289228
3100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358803.99790791655,2968.604281826287
3200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359491.6872544734,2982.3169716673942
3300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360180.59944815666,2996.0556115107374
3400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360870.7362705711,3009.8202463148104
3500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,361562.1008964344,3023.610960585316
3600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362254.6944424499,3037.4277804057574
3700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,362948.51866504166,3051.270750019806
3800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363643.5754258046,3065.139916656689
3900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,364339.86658633366,3079.035327545631
4000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365037.39400822367,3092.9570299158577
4100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,365736.1595400912,3106.9050711288587
4200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,366436.16469901556,3120.879501924838
4300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367137.411598627,3134.880366964514
4400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,367839.9020963747,3148.9077135193616
4500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,368543.63804970786,3162.9615888608555
4600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369248.6213160757,3177.042040260471
4700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369954.8537529274,3191.149114989683
4800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370662.3372177121,3205.2828603199655
4900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,371371.07356787904,3219.443323522794
5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,372081.06466087746,3233.630551869643
