miliseconds,P0,T0,P1,T1,P2,T2,CC,Cn,Mp,Mt
0,-0.007926166219356753,-0.007835579430780367,-0.0020208841164500325,0.007910426132911916,0.0022231609127032117,-0.0038597257050952617,-1.623935755210745e-05,-0.0003725171777423466,-0.026654870220058587,0.007908701801316717
100,-0.0028640295397316736,0.003015624152839912,0.0004465018132453156,0.004660404940319932,0.0017740174877640183,-0.003246676477465446,0.0013297528094617908,-8.356501016049173e-05,0.11102204120248851,0.08886116203326214
200,0.01177458405425113,0.011958936536579678,0.006450157053451588,0.007955769014411352,0.0021687069354090036,-0.00210082759100508,0.0008822847788720004,0.00021030956392048108,0.14561842326781663,0.16095674344730646
300,0.02656835744986736,0.028803221887093167,0.01616999914567549,0.003979870143715936,0.0015690718061294455,0.0033065721338610098,0.0003945623742064825,0.0005546302262369866,0.19860517218596907,0.24878330893742456
400,0.03817607829130399,0.040640213963149,0.008448089041665604,0.01621242605687477,0.00019428004760784542,0.0010217463853443277,-0.0012310519374025201,0.0006538273789882197,0.2804205721091549,0.3132214695328475
500,0.05769690868048994,0.04772577010347699,0.02606619046165055,0.02094455563099961,0.011860161235328055,0.0019360370678806393,0.00018373719257132353,-0.0001120111743848305,0.3307513252764877,0.3285863458542954
600,0.06717664875325446,0.06464818998329593,0.033343271173037495,0.029653443684577965,0.015010373739457912,0.005090095209445607,-0.0005148929494033394,0.0005382823846133802,0.40103718154016227,0.4127133731172174
700,0.08464929004518809,0.06688062237766379,0.042585274925126246,0.051139213646823695,0.014739188883929376,0.017717285501889043,0.0007917010680121264,-0.0004970725467272583,0.462172981485684,0.42519042270873203
800,0.08687958267443886,0.08711022588672487,0.05280190430515964,0.04972992587654171,0.013102256783778908,0.01270636760488032,0.00035479253886424184,0.00020473812071317033,0.4911129741055602,0.5295556540758318
900,0.10597958290066677,0.10420810623558331,0.06744788091790108,0.06063003339176576,0.01642771788471735,0.023698725753616784,0.0003630386352071757,8.502345933394665e-05,0.5764846003710645,0.5523677250686502
1000,0.1125623446182681,0.11158236393517017,0.08351550785766564,0.08538734064433007,0.02728928514946068,0.02844653002810357,2.561347597322458e-05,-0.0005581604769028301,0.6090554569866894,0.5975103769524318
1100,0.12505779967535893,0.12058038910442646,0.08144975729182477,0.08713924768170189,0.028420162857625223,0.027402472985408075,0.0014247895250871466,-0.0004591008648651739,0.629550369069861,0.6530997708734774
1200,0.1442429798716569,0.13550146541367566,0.09171814440993534,0.09284646919289782,0.039341612148263094,0.03953092991971279,0.0012967538709070688,-0.0004240840484610494,0.7070230700166136,0.6818805590629825
1300,0.15835464578715108,0.1493340305088044,0.1113218064463277,0.10517063262204494,0.04437546185595356,0.04089840938054931,0.0010263953295701217,-0.0005571255837641894,0.7622027400490284,0.7568105702631502
1400,0.17563052080576347,0.17442915076563026,0.12576464213121155,0.12300766835457344,0.052758878152220606,0.04914807708047797,-0.00038263689937882445,0.0004402916515503968,0.7968082897258012,0.7937955629409866
1500,0.19145031907937615,0.1727846849595061,0.13943421098414494,0.13443522791576165,0.051684234397229446,0.05049238807095458,-0.0003995858152862719,-0.0004297788327961947,0.8370962606442679,0.7995355543337469
1600,0.19332807275303984,0.19733703517479956,0.15452971340330815,0.15024317275531787,0.061934073038773754,0.06505735033001192,0.0010893924046729243,0.0008479792152618709,0.8926388816077655,0.8421307254371128
1700,0.21063583104428754,0.21297932885513288,0.15460633644523344,0.1614395125944847,0.06418397944001238,0.061532917179084816,0.0012924309950116668,0.0008917041144175056,0.8985034581466297,0.9263896754084219
1800,0.22426494790138118,0.22568402763382864,0.1660289702214737,0.17436320010699904,0.07463323165316343,0.06982621523275988,0.001980567265957447,0.0005572101539071057,0.9214500079047448,0.9168318869809454
1900,0.2437797226741171,0.22884876665746517,0.1806904759975694,0.19132242721237455,0.07870168776685148,0.08221292297026785,0.0028937374685854833,0.0007078403774538248,0.9860970332843081,1.0009902593553726
