miliseconds,Z1,Z2,Z3,Z4,E1,E2,E3,E4
0,0.5004684490553712,9.999964844135919,9.999987842816166,99.99997544902777,3.211435262846701e-05,3.472423601284384e-05,1.2117603999848063e-05,2.4576081414456377e-05
100,0.5004684028104874,9.999965146491567,9.999988023067413,99.99997578738589,3.218138982299052e-05,3.4813173211375656e-05,1.1939026444702661e-05,2.4382481158369547e-05
200,0.5004686842943639,9.999965571669453,9.999988067000844,99.99997578813765,3.1885886559643986e-05,3.424271755857772e-05,1.1969757461375317e-05,2.4262498191430613e-05
300,0.5004689009293766,9.999965978130438,9.999988221738453,99.9999759287166,3.1344153867092716e-05,3.429872189205275e-05,1.1840195796361312e-05,2.4044184769298513e-05
400,0.5004691988404784,9.9999661548532,9.999988265687376,99.99997632865976,3.142485721338824e-05,3.3752282507730254e-05,1.1709820007618476e-05,2.383955763600582e-05
500,0.5004694203489931,9.999966390702824,9.999988396990679,99.99997654895787,3.0848401596189124e-05,3.338155926273488e-05,1.164781244836177e-05,2.352720769256037e-05
600,0.5004695837442563,9.999966604108932,9.999988380759454,99.99997644879501,3.089498852972955e-05,3.3568813532839044e-05,1.154431530117765e-05,2.3586584802486937e-05
700,0.5004697669007246,9.999966667028293,9.999988630437224,99.99997688260677,3.041462082059904e-05,3.30346424104395e-05,1.1499947210055347e-05,2.3171618014058724e-05
800,0.5004701882166548,9.999966976148288,9.999988680262003,99.99997699270692,3.0125925480686956e-05,3.2970156077832764e-05,1.1422884507969924e-05,2.3007812948221695e-05
900,0.5004706020294688,9.999967173139087,9.999988690710714,99.99997700172524,3.0078453569283314e-05,3.2743756508189556e-05,1.1330098580227857e-05,2.3041707457643566e-05
1000,0.5004704229080806,9.999967776616197,9.999988771516483,99.99997718648733,2.9887434936243237e-05,3.2444598846545706e-05,1.118864017386091e-05,2.2774252218505164e-05
1100,0.5004708542075175,9.999967788605568,9.99998887304286,99.99997748925203,2.9853926089393076e-05,3.2223585325219405e-05,1.1083116173060572e-05,2.2675977264232634e-05
1200,0.5004712262806662,9.999968174670142,9.9999890215348,99.99997778875469,2.956167630649064e-05,3.166417592115203e-05,1.1083866851911653e-05,2.2496807202666728e-05
1300,0.5004712719558914,9.999968474287263,9.999989114588796,99.99997773659925,2.9291598711501598e-05,3.155836784116784e-05,1.0904291376780965e-05,2.211024042691552e-05
1400,0.5004716663455213,9.999968590692259,9.999989114907203,99.99997798566527,2.8915843523284964e-05,3.160091705203737e-05,1.0826772905297702e-05,2.209242543968115e-05
1500,0.5004718470127472,9.999968700698199,9.999989178328812,99.99997799491645,2.862577976318907e-05,3.11067642783561e-05,1.0712320655534941e-05,2.188303771611144e-05
1600,0.5004718408092482,9.999968880219045,9.999989311244862,99.99997814231234,2.845716354755305e-05,3.083962617109709e-05,1.0619362821789117e-05,2.179341287327056e-05
1700,0.5004721787775653,9.999969116844937,9.999989358878114,99.99997840454222,2.82226467335958e-05,3.072223772751636e-05,1.0649523146458796e-05,2.1567611846571633e-05
1800,0.5004724877081839,9.999969491662611,9.999989540342218,99.99997873513549,2.80163865987854e-05,3.06124395767719e-05,1.0551902987943912e-05,2.1375034194552874e-05
