miliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s27,s28,s19,s20,s21,s22,s23,s24,s25,s26,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57
0,0.502170208450489,0.5004397201713099,0.49734281819629156,0.4999239561251229,0.4961647502137148,0.5023963329075704,0.7983374590936195,0.8007330552356238,0.799622472225233,0.800869417837456,0.8017524642048232,0.798210625961573,0.9980040916993497,0.9990192157192583,1.00096893292646,1.0007220301359123,1.0004006545587478,1.0007022677714787,0.9981309488513854,0.9980129462262736,1.0003264495455113,1.00045811994698,0.9992111481789727,0.9998331495144227,0.9999650214283653,1.0006739324915144,1.0007837805962105,1.0009420697852471,1.0013619718831435,1.0000983536717991,1.0017290676871906,0.9980408202195676,1.198692812422737,1.200312713117189,1.1993242387822305,1.200866014653986,1.1987708208602632,1.199305520082527,1.2011815431845136,1.200961129472502,1.1998515579191942,1.200491899992822,1.2005885396084746,1.200263575236009,1.2012308324226222,1.2000896899200844,1.2002374313006032,1.1999827759676076,1.497477878935246,1.5019572021517285,1.4967623942680166,1.501174199689595,1.5018367811304933,1.7996444837819998,2.0020945414934666,2.2047592577542794,2.5025149202341272
100,0.5220592437250929,0.5720715206248088,0.5457362299564644,0.5219342094633985,0.5208905962531409,0.5769022976334475,0.7233647669451507,0.7906453835068441,0.7695444247202617,0.7907616959864835,0.7929706870949669,0.791884464158198,0.9329149788040532,0.9941663884032911,0.9798086280420776,0.9650423166473637,0.9995159561793951,1.000037216643218,1.0133738884417733,1.273003999320621,0.9986488372427584,1.0087326812359907,1.00072917047398,0.9997879912927529,0.9991601746390023,0.999152272443776,0.99963875504393,1.0009340156265065,1.0453700074582255,1.0655513904291836,1.0601111761744315,1.0554128114439183,1.1753222498650995,1.2711358389389849,1.1742456526003695,1.272377346678717,1.1881032544455117,1.2713261382281735,1.1891444940325537,1.2732437537499761,1.1898643531938349,1.2727403049776416,1.1889574413910717,1.272873975579779,1.1736135276127933,1.271303814036455,1.1746098136001866,1.2711018433558174,1.4725133070271328,1.5403497429717719,1.470863871827687,1.5461581118349539,1.512335404356161,1.7592839155851623,1.9234082865196087,2.092017799010094,1.7189967360387333
200,0.5419736128799025,0.6153274797460976,0.5792927955746927,0.5384735826580199,0.5405237124504336,0.6353891239792399,0.6964070664962727,0.7832188856254273,0.7481860057637513,0.7853027710640846,0.790748630538131,0.7898765071263939,0.8831131697995313,0.9817599847702011,0.9615137261438774,0.9427035659010874,0.9990962461615117,1.002621074431531,1.0430195097059352,1.3617114918290754,0.996136826511765,1.0236970439114108,0.9997946854713582,0.9998824486690526,1.0006548562247874,0.9992908549062253,0.9993841545171885,1.0051637794130204,1.0967722087065201,1.1087372223475598,1.1057363137627616,1.1005618328083435,1.167671682303482,1.292542592347721,1.1684187449654493,1.292642174650957,1.185733073809041,1.294316978121827,1.1889924604173256,1.2940902431295367,1.1893899296669885,1.2934567485651254,1.1898515209762814,1.29477633532964,1.1679178258146137,1.2924436894302223,1.1685864906621888,1.2930320523210979,1.4656504264491388,1.5410495003092932,1.464825858519869,1.5433686072879247,1.5044456622694728,1.7117114972090306,1.832920995850146,1.9744940710627927,1.535297132856913
300,0.5524305334045144,0.6461837415311826,0.6089899053060421,0.5558486356972764,0.5591191326580369,0.6697180083625688,0.6806243655050387,0.778441201322457,0.7333272360730028,0.7791450244152942,0.7912566951220692,0.7892637994541875,0.8444639456107184,0.9672808290728121,0.949177134623054,0.9255192206772411,0.997595816522456,1.0074533256403095,1.0706876683521438,1.382750621049888,0.9937334765328487,1.0379216891799126,1.0012648979634255,1.0000046210495088,0.9999040780072066,1.0008420300418408,1.0010583960253363,1.0091833249499493,1.1346989128449316,1.1352426622031102,1.1375449080302178,1.1331614112663682,1.1681864760192198,1.2988374968497387,1.172786914366336,1.299478645084777,1.188474635262886,1.3022496785222806,1.1914876586121026,1.3018634988547104,1.1932293296100471,1.302463562750542,1.1939859524995424,1.3038202564593504,1.1713445009962802,1.2986030738257552,1.1713022708603087,1.2993700094462572,1.4649831534687288,1.5306495141443968,1.4620895442113777,1.5281451426759658,1.4893188028918982,1.6541133897145082,1.7743890346695563,1.8853910921523696,1.4703991588761183
400,0.5675896383645496,0.6717447683865194,0.6254191782996715,0.5640960357597345,0.5637062780343085,0.7056732631885252,0.6775562996430152,0.770915779313879,0.7269591974648172,0.7764200782608767,0.7923939128397333,0.794426750589659,0.8224451917908264,0.9525459967185892,0.939914645848367,0.9130310162606666,0.9944062688015258,1.0105065861272713,1.0928294514028287,1.3879490856336,0.9907399878357377,1.0546678934324991,1.0009813973556,1.0005639040053436,1.002278319670572,1.002334006324938,1.0009058293896118,1.0123695695627848,1.1662270283673624,1.1542299896640027,1.1574667359827626,1.1550871924587238,1.1778895561282967,1.302620449494404,1.179092236604434,1.3026481971000652,1.1963184470444264,1.3071456222151454,1.1977984426814385,1.3070543544190714,1.1992514937420586,1.3078101721288369,1.1999861034508283,1.3078753251511774,1.1775200462779942,1.3015715706670288,1.1788956873186698,1.3019338299612735,1.4645159021720662,1.5218502026365357,1.4646666067194798,1.514146664198169,1.4797729166445903,1.6127759109578867,1.7068993905785927,1.793314476265684,1.440999632544478
500,0.5799193848959621,0.6837012248938108,0.6354648625878988,0.5784075363970345,0.5750404069007574,0.7234705776135777,0.6792027143710978,0.7660558700186146,0.7217456572864986,0.7734901804658402,0.7977808579755807,0.7964336050787288,0.8066709211034055,0.9383628129981819,0.9334271480790589,0.9042353356177715,0.9922420338946845,1.0145769723525215,1.1135889026789942,1.3843102638018592,0.9882880051778248,1.0681703131831224,1.0032947412118018,1.0018755676078157,1.003004587472461,1.0034638258220583,1.0030837279185147,1.0172560904998846,1.188422324291914,1.1635001473700837,1.1750922541556656,1.173872091330911,1.1863571660305685,1.3031887201869734,1.187505935966653,1.3030495421554398,1.2037337465234017,1.3084668097468428,1.2066822271563598,1.3102656737603544,1.204904657779813,1.309563420510906,1.2052167807198793,1.310110960916331,1.1862868716211363,1.3043842033895003,1.185972439279894,1.304518837836924,1.4570812705702236,1.5052026080287344,1.459594535363102,1.5050502277600566,1.4681858690845067,1.5780450543525641,1.6459532420782452,1.7363666716298654,1.4221094826325043
600,0.5855467244029214,0.6931726665160303,0.6511192159646435,0.5876829357244606,0.5921883025619895,0.7446369063905723,0.6844503748314273,0.7617516736029601,0.7192778883813279,0.7714727214669117,0.8016782760452686,0.8021407920776596,0.7930248733065244,0.927853785983301,0.9275329253434096,0.8987127768029202,0.9891568457981326,1.0187301633701178,1.1278872590291609,1.3762444060038892,0.9856124595459567,1.07878680767374,1.0042284696190373,1.0043725959432257,1.0045276704774353,1.00321809408774,1.0034790965360543,1.0210726523989402,1.20631386439318,1.1747397752036277,1.19027512957889,1.1877142319344611,1.1991881425167772,1.3039624784129067,1.195082489590588,1.3055919800366047,1.2122370239317726,1.309643251392046,1.2131828623927765,1.3105977558195716,1.2118646331353382,1.3114236295847739,1.211212669278752,1.3115558986263687,1.197207676265539,1.3045493461960422,1.1957767053795711,1.3039044609334687,1.4558456762929495,1.4939773795340874,1.4583258618902983,1.489888139686538,1.4544511776074358,1.544710681705537,1.6008748694655455,1.6763061962745238,1.421842884383866
700,0.5990715205490994,0.6980205438065977,0.6584082973822735,0.6002797156469571,0.5993903966361291,0.7558080774341749,0.6897033681400758,0.7592065699972581,0.7167350749911089,0.7723197206378324,0.8052794740043696,0.8029086100937112,0.7867443252620228,0.9196038474634387,0.9263748445670354,0.8942000051979421,0.9862869317721846,1.0225404848136181,1.1408219531245427,1.3717097626994157,0.9827172910513081,1.0890750347612554,1.004622504746027,1.006221246772742,1.0048548249425762,1.006179650679186,1.0059188073017675,1.0238431166975615,1.223944147821951,1.1785076375796768,1.2000855542062707,1.1979711261267438,1.209382776175162,1.3049466619990042,1.202649992266186,1.3045226963048575,1.2229360681480914,1.3104718479245476,1.2215206932054572,1.3120174860374112,1.2175320562819474,1.3114749539620376,1.2171955420659122,1.3104773375535697,1.2047028669010946,1.3039910606820386,1.202396432272372,1.3036402129111984,1.4543735058518839,1.48075904595522,1.4505514002102693,1.485674391231722,1.4423854217689165,1.513255149939978,1.5721094170311114,1.6223380721023548,1.400272111003449
800,0.6034277706909938,0.7082327351471073,0.669341309698352,0.6024039439736345,0.6074545675193003,0.7686745032714101,0.6945277862584998,0.755223990198597,0.7161443656570209,0.7724457498705096,0.8100563910577796,0.8082937170926976,0.7787971290247349,0.9109589829011302,0.9240967562979066,0.8917533263203563,0.9828902476536331,1.0238403288271147,1.151195325874519,1.35919293576692,0.981962583430845,1.0945369151964304,1.007489124947367,1.0065193691529877,1.0069934536070093,1.0064723880863917,1.0069223967039225,1.0262924877907693,1.2345991672487968,1.1870705306431777,1.206680405914331,1.2061862063228777,1.2193839701830034,1.305192513318629,1.2094181885016648,1.3039159704463539,1.2326290212816395,1.3108712636837536,1.226709432197961,1.3119174391401232,1.2224701851671556,1.3105909839405305,1.2233047849106118,1.3118213201727473,1.2122439769053162,1.304618424559458,1.2093901773060107,1.3040181681183727,1.4441742903435177,1.4751272921633012,1.4483664281890714,1.475478130700806,1.4329542160758866,1.4922511478131473,1.5270930638131368,1.579466076397834,1.398572037064437
900,0.6131780882644869,0.7110774132660849,0.6759311597794428,0.6138642833959517,0.6153017524055935,0.77090692215124,0.6968718583765563,0.7546417672878502,0.7173683108374511,0.7716625757392763,0.8112910793674906,0.8126399930717081,0.7764000299219326,0.9050575120093944,0.9234886227308386,0.890762098761428,0.9803033320042269,1.02738757841345,1.1562724961656339,1.3554029746419394,0.9802450431066925,1.10316419571403,1.0097184258947798,1.0081784022200868,1.0083544267285873,1.008846440614667,1.0092900790122652,1.0290736779497713,1.2451611112270893,1.1889306307067846,1.2132999063190557,1.2113724876272678,1.2286356676423709,1.3062679517176137,1.2155045455630715,1.3046023866070744,1.2405635480437742,1.312773294658292,1.2330951058932638,1.3116294574370622,1.2282220454475616,1.3110677306598217,1.227807179580169,1.3097701174351042,1.2210605659880975,1.3037385550988914,1.21550627133784,1.303161783883889,1.4382399894711029,1.4645164971651539,1.4390004151246125,1.465584434511794,1.4214644047729867,1.470052720749786,1.5137709324451096,1.5309625256302515,1.3860040252650987
