milliseconds,M,N,Z
0,2.4955051362711176,1.4994491744036331,0.49977141340496317
100,2.8116146688880512,1.5014957963462265,0.5024658069337457
200,2.987719405297851,1.5053447706557264,0.5048186351394724
300,3.0801700513617933,1.510528925991731,0.5070002917734373
400,3.1375821994699558,1.5178495133134426,0.5086881511913813
500,3.1558810541872586,1.5220034425900222,0.510734430099148
600,3.170073221269191,1.5276516404469969,0.5120171582922072
700,3.1766913856717682,1.532216401894028,0.5139916853270269
800,3.1749164729835835,1.5413585826130074,0.5147694709086331
900,3.1836816516878748,1.5412590158696744,0.5165702955522451
1000,3.181326203468535,1.5490471262369245,0.5179580854748389
1100,3.177191294707505,1.5544572976649602,0.5190472825838957
1200,3.1857173855730485,1.5590537986573747,0.5196797790638433
1300,3.1756303985378365,1.5636995166329601,0.5209559385309779
1400,3.179735266782559,1.5634486825842673,0.5222197066994514
1500,3.183462971047422,1.5735438170010438,0.5224047699169388
1600,3.179937379722683,1.577144323004763,0.5235931580400938
1700,3.174549310056282,1.5790629303516734,0.524346307690738
1800,3.179128599450004,1.5878077493376341,0.5250048379504513
1900,3.17209239407265,1.5939791896012232,0.5254804419255118
2000,3.172256551446954,1.600149123568472,0.5261170210959958
2100,3.175813043356707,1.602371009185848,0.5267475978465691
2200,3.170820371162238,1.6122131273369984,0.527163401533026
2300,3.1736576860508054,1.6145943865665022,0.5271342857454365
2400,3.1703952712251287,1.6166793658480991,0.5270993577051638
2500,3.174862434773795,1.6233645997292252,0.5280830318263907
2600,3.17213455570728,1.6280462342883892,0.5276108393966237
2700,3.170914952167962,1.635018335941869,0.5281413841248435
2800,3.165094776247389,1.6432629025928487,0.5281340755553977
2900,3.164252773203064,1.6440424074871653,0.5285806896477337
3000,3.1713942333944485,1.6504978240876116,0.5287320115647576
3100,3.167163549332037,1.6543267765325917,0.5282764277228732
3200,3.17044005687778,1.6644746926378988,0.5281211740077112
3300,3.1602613367292425,1.6698947763202872,0.5283367926983591
3400,3.168510008916704,1.6733217957166526,0.5281996311896366
3500,3.160916653074634,1.6771064651004897,0.5281128706392595
3600,3.1646657613267215,1.6801334330770452,0.5281418963107213
3700,3.1637238415956683,1.6880579509373654,0.5281896070602795
3800,3.1651805530912838,1.6963837667825352,0.5276553074970096
3900,3.1586878818752226,1.7008455006487724,0.5274666772591874
4000,3.1601432570525643,1.706594552555716,0.5277365369788378
4100,3.1556414003994977,1.7098276565819872,0.5270549882470452
4200,3.1636232211476334,1.714093730797686,0.5271847537389924
4300,3.157691932314302,1.7260088673103289,0.5269817788953629
4400,3.1592193164343403,1.7275864058080908,0.526614355329664
4500,3.154478932572243,1.7342828426844796,0.5266272148778699
4600,3.152026079920243,1.742410245552122,0.525910481193165
4700,3.155275845419012,1.7460816942812087,0.5255127646882448
4800,3.154397489759396,1.749413642475986,0.5254524492772197
4900,3.156039564771738,1.756836497470034,0.5253953497677998
5000,3.155789178872843,1.761449655792541,0.52523736699351
