miliseconds,EC,Z,Rho,Y,Fraction_Inactive_Channels
0,-0.0013854334892713124,-0.0014364441651283511,-0.011271974238958773,0.35753189246148853,-0.00631067973229378
100,-0.14329177067834992,0.06203712851064852,0.3949991781373723,0.44256395219211797,-0.3982682479773079
200,-0.27646244618289706,0.06528799690153299,0.635121054441891,0.572512994406114,-0.6317617014715727
300,-0.4209734653241842,0.0701490298484726,0.7732730544300876,0.6962153369993479,-0.7778944037288966
400,-0.5272970803780687,0.07952078544628333,0.8403449939964774,0.8172361589141441,-0.8538860496989836
500,-0.6444632857484173,0.09691063815293872,0.8803384272256285,0.9187963959367196,-0.8835870147447373
600,-0.6660053146357898,0.418143531898725,0.08464597457553406,0.6038196422168252,-0.06398362074018063
700,-0.6158858724671502,0.1792984218668292,0.2594393859423113,0.7975078207928384,-0.2573737427130061
800,-0.597939617568698,0.32311786514224905,0.14829230177130065,0.6374336065456971,-0.16935501651486684
900,-0.5449425868092902,0.2169773021355135,0.23004451496606523,0.6801440461520654,-0.23720668193229005
1000,-0.487332774070635,0.26458696979762314,0.16562232854384068,0.5831256874393612,-0.17834138516231537
1100,-0.4444735946814679,0.2422857105519645,0.22995784324269336,0.5658159966432701,-0.2254406354109121
1200,-0.38885346949079136,0.24444722002865565,0.19231829422630037,0.5106694056656137,-0.21415819545277137
1300,-0.3609152871416543,0.24693946596963617,0.22834013181675192,0.46898208238325023,-0.2279804987948424
1400,-0.30326149147044673,0.23483546517341586,0.2216489392270645,0.4339768795331643,-0.22351576962519235
1500,-0.28374306778609976,0.2430115716871252,0.25471309837894046,0.40521318407429324,-0.25458260033728336
1600,-0.247253617502558,0.22284081782370008,0.2509754705401148,0.3919301094556146,-0.2615955877571979
1700,-0.2205278398650114,0.23151409537132048,0.28932246471170747,0.3516586283218524,-0.2669560044076121
1800,-0.19033955323749507,0.20959520328712586,0.27652635090049993,0.3505414970099247,-0.27887109888308786
1900,-0.19788050289876674,0.22034382845585335,0.3309503038754899,0.3278492156051165,-0.3181464234428397
2000,-0.16116767145449543,0.21234702268248612,0.29099165249161246,0.3061967415980673,-0.2853564818611189
2100,-0.18182914749482507,0.14898209198297166,0.41872576551451457,0.40081951276776573,-0.41579731998598163
2200,-0.2715304714722394,0.07767369027467305,0.6315809315186601,0.5700096664290999,-0.6380394894064413
2300,-0.40325807919601053,0.07230179213510213,0.7726422099273806,0.6841856365826319,-0.7780443976474274
2400,-0.5221972371655057,0.08245659676758271,0.836848207878182,0.8160524538040251,-0.8437152146474395
2500,-0.6360084676263947,0.09784596571058639,0.8882005759606948,0.904597726323632,-0.8979901282149721
2600,-0.673353213620127,0.4288117513428128,0.10805701573163504,0.6127167926474715,-0.10592255453866303
2700,-0.6058257484508722,0.1792679732577053,0.2424336201312471,0.7930890991420284,-0.24993987558550726
2800,-0.5895356023354713,0.3258144118110579,0.18389987044039666,0.6360116556171204,-0.19014221132088963
2900,-0.5402583268289889,0.2192311789356855,0.22193588848508258,0.6917808506351577,-0.2195790447643681
3000,-0.4814381006589115,0.26859106863956317,0.165891153389349,0.5870227564230956,-0.16093644575509886
3100,-0.45072055688289175,0.24207777469256728,0.23593422242356327,0.5594426784338309,-0.22434886273139354
3200,-0.39394565293257866,0.24176624541019817,0.1915924295747798,0.5142694387373257,-0.2095477120019863
3300,-0.3639278525057366,0.247001302537786,0.2261266311767293,0.47179796399793045,-0.23076902961662374
3400,-0.30421713150862645,0.23497530724691704,0.22865565129461327,0.4317750378325654,-0.22233525945892108
3500,-0.2838577759225597,0.24151308887181502,0.2579885596935946,0.4121290019386078,-0.2616140115964807
3600,-0.240458607046032,0.22012446846222997,0.2667973842240679,0.3880401950372974,-0.2642549175572804
3700,-0.22371902100293192,0.2284620865632403,0.268720222518614,0.35358129245681746,-0.2746926923993532
3800,-0.19013411330348703,0.21677068210999814,0.27331959949138823,0.34450944357949176,-0.2875012056613878
3900,-0.1944698957321714,0.2128806323540949,0.32975069773441135,0.32814799293244035,-0.33609945418394566
4000,-0.15913042552272,0.21604666921700943,0.27006332055899235,0.31191854554009674,-0.2732112632805432
4100,-0.18675206944655118,0.15101121131789033,0.41738063391369334,0.3936700712755531,-0.4035246569627216
4200,-0.2798517541967451,0.07742525914993671,0.6181881634406519,0.5546128879467429,-0.6246246912255603
4300,-0.3976072076923873,0.07016469388323456,0.7641149683215616,0.6925967055044258,-0.7704336124810419
4400,-0.5317500824347073,0.08563981960943888,0.8326006944183671,0.8060325048740045,-0.8496178763481007
4500,-0.6449634051525721,0.09587361033178118,0.8739062250764709,0.9131432311230043,-0.8944508084773987
4600,-0.6825269857065859,0.4387671761961109,0.17023704294293018,0.6124451868715801,-0.16870502548160377
4700,-0.6170585702383533,0.18231623969445698,0.24214326094162636,0.7973814726342587,-0.22860485867783611
4800,-0.6061159102255471,0.32306849346059285,0.18903079916118196,0.6389696448966727,-0.1970719154320761
4900,-0.5355752341970209,0.215609490205415,0.21817787802908276,0.6897590066794569,-0.2141913346684673
5000,-0.49449444784481955,0.2702280485880564,0.18001360366937819,0.5890100556857976,-0.17219827038160304
