milliseconds,C,I
0,1.0,100.0
100,1.0191332113046798,100.00199712433988
200,1.0386313584943685,100.00399304092022
300,1.0585031297657288,100.00598845570735
400,1.0787554496227525,100.00798409650248
500,1.0993958016612235,100.00998073742116
600,1.1204317367664767,100.01197914388996
700,1.1418710877581837,100.01398006578782
800,1.1637214635853979,100.01598427048597
900,1.1859905962496486,100.01799252191064
1000,1.2086870341996345,100.02000555824921
1100,1.2318184129638738,100.02202415830332
1200,1.2553930402659301,100.02404908399019
1300,1.2794197547876376,100.02608108787295
1400,1.3039068405526446,100.02812094207783
1500,1.3288632779688643,100.03016941108592
1600,1.3542981432696226,100.03222726129918
1700,1.3802205441639663,100.03429526163644
1800,1.4066399239877425,100.0363741914862
1900,1.4335658336476664,100.0384648242096
2000,1.4610080248229353,100.04056793954184
2100,1.4889764147602227,100.04268432894976
2200,1.517481121146156,100.0448147783409
2300,1.546532489786545,100.04696008773794
2400,1.5761410764441421,100.0491210649071
2500,1.606317535480595,100.05129850899947
2600,1.6370727321330965,100.05349322704463
2700,1.6684177118406602,100.05570602944465
2800,1.7003638905629626,100.05793774619094
2900,1.7329231612584057,100.06018923593717
3000,1.7661069762042994,100.06246130780464
3100,1.7999272451369825,100.06475479791197
3200,1.8343960714384073,100.06707054689578
3300,1.8695258956711673,100.0694094111348
3400,1.9053301879220972,100.07177231688976
3500,1.9418213304713565,100.0741600947325
3600,1.9790124268803344,100.07657362101288
3700,2.016916798317126,100.07901377847246
3800,2.0555479835565307,100.0814814562445
3900,2.094920997395842,100.08397764206043
4000,2.1350494207512893,100.08650320903587
4100,2.175947685257379,100.08905908306735
4200,2.217630469635318,100.09164619860321
4300,2.260112696513565,100.09426549841058
4400,2.3034104630125927,100.09691799710701
4500,2.347539205093556,100.09960465583941
4600,2.39251471383991,100.10232645166619
4700,2.4383531998013033,100.10508438195006
4800,2.485071160774555,100.10787945533143
4900,2.532685383913161,100.11071269187234
5000,2.581213644874645,100.11358516671775
