miliseconds,s_glu,s_pyr,s_acetate,s_acetald,s_EtOH,x,X_a,X_AcDH
0,14.999959396489878,1.6380403821819803e-05,-4.89715016604209e-10,-9.70344467001696e-09,3.846242874977574e-10,0.0019903976491207273,0.10345532777917789,0.0075288508409793835
100,14.999981952012687,4.4593139753155356e-05,4.902596379351966e-10,-1.1162986698175383e-08,-6.823024156140396e-11,0.0019812580775077785,0.10634396792255792,0.007485521532856925
200,14.999822705626386,8.15087086654404e-05,-1.24581407011796e-11,9.387637807036393e-09,-1.809402888039694e-10,0.002012607752043804,0.10705621602429559,0.007440316404284859
300,14.999871166666548,6.719400869937387e-05,5.717035855341097e-11,-9.0804139041588e-09,7.350263678597577e-11,0.001991820082492015,0.11520967231782724,0.007364404421079788
400,14.999795420685574,0.00013482927890694031,4.654410554946782e-10,9.000237964722056e-09,-2.395059658324414e-10,0.0020041334569036538,0.12022785830010586,0.007355758815772821
500,14.999741891026487,0.0001468850844685923,-5.966744472915817e-10,1.1868058494831504e-08,-1.4221998837525622e-10,0.0019870254137556677,0.1232117757984156,0.007297696739935707
600,14.99968050228638,0.00026767647204315674,-1.691269394291158e-10,-6.097691715770901e-09,1.7353831136687625e-10,0.0020178909072566813,0.12368812090984255,0.007229658753157944
700,14.999622356962465,0.00030009721637378416,6.638506916893391e-10,6.920748885598476e-09,5.2858448859609015e-11,0.0019982726142359513,0.13022814555201367,0.007226773066889107
800,14.99946599407395,0.0003488756404813051,5.537776412545897e-10,8.922519286598818e-09,-5.032176841371354e-10,0.002020141404227234,0.1361770603674438,0.0071339989350382394
900,14.999292629631547,0.00033499180587328773,7.241787526760778e-10,9.40446057111272e-09,1.8521539463055202e-10,0.0020030460643584453,0.14455196563977743,0.007089809313148167
1000,14.999377752386128,0.0004287743233386188,5.544731964581239e-10,-5.246328790854239e-09,1.0817484115395561e-11,0.0020004460912117546,0.1458821926728141,0.007087620396434088
1100,14.999233072475999,0.0004745091665056544,-3.7973745636669186e-10,7.564276594934888e-09,1.786944603684275e-10,0.0020290217684845054,0.14730870484262756,0.006994773771643388
1200,14.999159878848372,0.0005305521977439666,-6.819475343174487e-10,9.183219312789859e-09,-3.5700724383806154e-10,0.0020493744134193644,0.1586454842917187,0.006981949758834069
1300,14.998972521733176,0.0005761999253041408,-6.294550176647615e-10,6.933538264721757e-09,1.275062608430219e-10,0.0020396777366043003,0.15747595865830097,0.0069178130276597236
1400,14.998803923989467,0.0006396805171469239,-3.662936869365769e-10,-9.409755740089619e-09,2.3538164536973986e-10,0.002048062421494841,0.16998933731410878,0.006852946898429757
1500,14.99874619637369,0.0006800846790553343,4.4547958824031767e-10,-1.1729475200671644e-08,-1.6434109292884453e-10,0.0020620381665656627,0.17375565476644436,0.006793949557373261
1600,14.998676072854105,0.0007050903501966751,7.718416014983896e-11,-3.883505387658183e-09,3.043300938910135e-11,0.0020563101276768413,0.17973338711983142,0.006762562436816907
1700,14.99858891405738,0.0007351059566922731,-2.552632533042181e-10,-8.096941280650125e-09,3.3636591351639837e-10,0.0020978347564578016,0.1855054882267482,0.006759407675227496
1800,14.998435614166723,0.0008619211145601998,1.740547498257978e-11,-3.8033525082947125e-09,-2.0563192724842118e-10,0.0020824111870092403,0.1911971821435035,0.006665995545482102
1900,14.998492972369474,0.000890172433317725,-7.251733360976416e-10,8.989348299221182e-09,-5.0216450500837726e-11,0.0021255811675167232,0.19880737240062768,0.006661227736542458
2000,14.998201748513761,0.0009683662501407345,-7.601678265205255e-10,1.203834683049396e-08,4.656518800994474e-10,0.0021179992065259645,0.2051065005079777,0.0065671021863168404
2100,14.998229266977562,0.0010407968947932045,3.9013595069464047e-11,-2.694846978360929e-09,6.299041880012871e-11,0.0021395537423784705,0.21331471500991042,0.006560906494783903
2200,14.998065471637954,0.0010289294465108175,2.9937357920464397e-10,-6.520512663927164e-09,-3.6793429801365833e-10,0.002153173823408909,0.2186549569848246,0.00645700543638083
2300,14.997995072540046,0.0011585834198088061,-3.456844048463383e-10,-6.391024035288773e-10,-1.2712413058755817e-10,0.0021800381208230595,0.2183673433270914,0.006408238739923286
2400,14.997771787433342,0.001183703488965194,-3.615545613955906e-10,-7.868730702404033e-09,5.1383970684725e-10,0.0021977392401870926,0.23106526104644862,0.0063997785668786075
2500,14.997665330063604,0.0013252891784007097,2.7893521289718684e-10,9.093598203305433e-09,1.234158690919971e-10,0.002237442871183171,0.2324320805453022,0.0063193230847622935
2600,14.997414357427015,0.0013955421715232544,-4.27735847245653e-10,-2.587851763244787e-09,2.271280668373974e-10,0.002227013331085972,0.24075500953062343,0.00628265534192012
2700,14.997274259850352,0.0014252392925143491,-6.032999480928408e-10,2.4622521536641703e-09,-3.146958523997316e-10,0.002259452348546348,0.25093092983799953,0.0062348318985328555
2800,14.997220384921837,0.001480173213813775,-9.477278215350233e-11,4.903100640767795e-09,-3.8571773090270216e-10,0.002313315018323301,0.2540751371395188,0.006178660502344346
2900,14.996943510131825,0.0015989984568774665,-1.0863997429577174e-10,1.8917101129827915e-08,2.9530362342012424e-10,0.0023356805518361754,0.2579856858026208,0.006146990233734829
3000,14.996830912627223,0.0016746587017321668,-1.9065965823258157e-11,2.269528347401537e-08,4.874443863422477e-10,0.0023774107887521404,0.2682135138578559,0.006071130830036064
3100,14.996598088354936,0.0017666809039466602,9.401599282070625e-10,2.0173641311554276e-08,6.738033660609399e-11,0.00240025244395869,0.2719753389874333,0.00607661533883051
3200,14.996407195548128,0.0018681176462456664,1.1278754423267073e-09,2.8325097194068432e-08,4.212690595937593e-10,0.002446338383464485,0.2794019861809074,0.005981660644618823
