milliseconds,T,C,F_beta,F_gamma,M1,M2
0,10000182652.524096,1320550.8513671542,623759.1386367269,-321.9902778255287,0.0989351569512994,0.004990648687387988
100,10000371723.589645,6569012.67044108,490445069.0212362,-317.8796257994716,0.05703388011947241,0.016578036570306966
200,10000730119.60256,9088981.175183076,748238432.3750191,326.503447335408,0.20831282126435935,0.022532656870295677
300,10001129099.343372,10063418.452210872,863508520.7070571,496.9575409547055,0.40796331379300776,0.02963683746897887
400,10001217438.535845,13480377.414796272,919364585.3549056,632.8024958787958,0.6682888539341607,0.0420265322982525
500,10001576302.475973,15315209.505813845,951014094.7478004,463.99998305741343,0.7942362459682313,0.04627948491102025
600,10001865643.350668,18700348.598754145,969897250.4251969,204.35027069414463,1.0080516416109881,0.05286271537257279
700,10002204722.254389,23317496.998036753,973301137.7438447,1336.2558915783475,1.0111149861836022,0.06405520993524715
800,10002599094.504797,24903650.410661355,979017548.9730791,1150.7947884666726,1.1829030642762344,0.08244620901115521
900,10002634028.018703,28282100.056930114,982909762.2611642,890.2391018598585,1.370464489891066,0.09084815322571223
1000,10002966202.075493,30481581.047852278,984726608.2663397,1248.7727383308368,1.6095191926011712,0.10344360287013538
1100,10003305790.076323,34988052.4452791,986784444.5850793,2398.712565075902,1.748447851108182,0.10557776300947933
1200,10003763871.129574,37039547.06278921,993441368.7660342,1989.1511864579245,1.8343359995605633,0.1150906569365886
1300,10004053992.246826,41138429.62990924,987849827.5074008,3131.1462875219836,1.9051501154521793,0.12167704053177242
1400,10004408664.44441,44226515.489475034,991667774.0968189,3485.581149617631,2.1332589686543564,0.13539449279665675
1500,10004762121.025764,47161899.283120774,987330326.3116728,3279.249627763839,2.360612413192833,0.15526448616242783
1600,10004767224.093733,51068603.76681611,984502268.1508385,4066.5375276803206,2.532328872806842,0.1598674094696651
1700,10005234090.21482,51556485.34906467,992365264.3379582,4388.600453604239,2.4907191190268185,0.16310097985416422
1800,10005404013.126839,57248802.89012059,979540403.9047252,5231.018064649043,2.70975938985179,0.17575254828698483
1900,10005687832.951447,56517190.3021701,982715775.4753121,5631.934414015566,2.8414329752708403,0.18737536356274595
2000,10006130415.427313,62292794.23128765,978822174.7251921,6392.343757155067,2.9517425069025647,0.1975158962995675
2100,10006576386.087246,65518259.485616855,983423133.4418288,7000.6338383908305,3.19493011608667,0.20191821959129597
2200,10006519814.581734,65935590.042746246,982815299.934717,7037.476999639084,3.2989124841836923,0.213935056724226
2300,10006962863.202065,69385766.66864273,985630538.140988,7833.30449322817,3.432510716004778,0.23193746807411475
2400,10007042913.408651,72713533.11943087,986743327.8930256,8941.238961029092,3.724861541502512,0.2393439122339293
2500,10007587138.96664,77715099.31718473,988345852.8978226,9242.232083437299,3.745814418842384,0.2514442891929258
2600,10007940252.27966,80693759.52436909,992938913.1107184,9940.303826179354,4.038856922428207,0.24863171366392778
2700,10008070035.38038,83902543.71089923,984977010.4454918,10806.578502032557,4.072562801867484,0.2673662579709884
2800,10008187779.97935,85738051.26048028,985979997.409902,10955.187525928504,4.140031468422686,0.27822262899349315
2900,10008636950.730688,90163517.71407402,988892981.1849557,12440.09391332715,4.415794400330057,0.28800756621534257
3000,10008833071.725748,90279531.48657984,980179577.8767425,13390.241214336882,4.529843517816446,0.2993382606355705
3100,10009211033.097622,95318351.44004163,988331831.9533958,14020.280771549598,4.612031752267963,0.30055140264779884
3200,10009443884.105446,97370068.69430111,985653884.8971056,14668.76085514144,4.812301936185571,0.3058008886689835
3300,10009574830.085173,98888531.24851987,982124173.9061196,15103.095623528114,4.987165698945756,0.32515925665505696
3400,10009995841.317976,104785169.71959066,979479412.306264,16364.408198667039,5.013072782087552,0.33817265777315164
3500,10010200641.467176,106362000.75850566,989847552.5314633,17000.504037528284,5.271979845920744,0.3440342380330188
3600,10010347404.634886,110466171.38438581,982266845.535618,18446.914974389398,5.330080677801825,0.3517051575210601
3700,10010572412.130323,110320817.79315509,987718692.8424038,19067.486739097254,5.635747106696491,0.3615210693374525
3800,10010801671.705698,112481109.41415074,980379065.1605997,19715.384222293673,5.75553135104232,0.3711863550481928
3900,10010989553.468575,118458874.68921274,990611935.9752071,20596.027572213192,5.905589974055566,0.3776509965735744
4000,10011187984.19073,118320645.02524872,993860267.5136232,21753.089942266724,6.004648418930946,0.3838361985867075
4100,10011316940.831667,123408552.88873172,986578335.5232322,23210.016074421455,6.221720437802751,0.3920270616246991
4200,10011457223.807709,124287350.00210238,982796343.3702612,24326.43177907139,6.188663344068023,0.4056724006681865
4300,10011947784.509378,130294291.40058738,989101605.107848,25138.724691906584,6.381842008267205,0.42137496318317263
4400,10012145096.261158,133191151.53076299,983870703.058977,26556.39460347481,6.611066407177477,0.42043915311196145
4500,10012126611.085464,136009723.10769585,992699835.5892825,27543.951494820743,6.627235566826845,0.43692591887412585
4600,10012358788.680414,139742117.79143324,990626309.3537282,27861.177389191787,6.9044547626750195,0.44101844299060605
4700,10012543749.715778,138592769.84925842,980733979.267193,29097.285826494233,7.040749625411016,0.4550944919924295
4800,10012716188.942009,145386179.54645628,988378595.7062433,30522.58741724525,7.176221876047994,0.4609522506145274
4900,10012940346.259077,145118987.7356664,993181193.8369654,31931.769133197446,7.261424422979303,0.4751940979640374
5000,10013041852.297234,148410256.428419,983360952.1355984,32736.201671339244,7.520480312319358,0.48473548503745956
