miliseconds,T,C,F_beta,F_gamma,M1,M2
0,9999888072.82647,1028902.04590869,-4472913.040319325,202.24792193876914,-0.036596693809157095,0.00039401139005504853
100,10000356491.184755,4887774.3747940445,496274565.75281173,-319.44769792608247,0.23074120451970898,0.0160465212538465
200,10000511487.224463,6562163.614760574,743335871.7112212,-269.9871621990107,0.3258138088213198,0.015579980073493057
300,10001037436.102186,12292134.458997738,870789705.2641273,117.91231132829229,0.3512999857413636,0.03212708153063244
400,10001200141.396374,12448792.34191038,933038533.6710558,445.8042794716251,0.7043969789266512,0.04688257266341678
500,10001463064.17719,15030063.149484659,958610825.9464898,312.9668108272335,0.6890272229217269,0.04514291041982012
600,10001976041.868956,17941583.808481816,966172099.354909,527.9696897278723,0.8690786627086104,0.062091180533322916
700,10002216309.81856,21184881.467725605,972790515.7402517,781.1204077253781,1.1481535026303713,0.07631802788041554
800,10002641949.543982,26753472.17374205,979964724.723077,848.6440778089227,1.3209371011985394,0.07847134749570597
900,10002791646.757683,28835991.919531405,980025225.7994887,1398.6797838616758,1.3848356033899565,0.08813453039108553
1000,10003089136.240417,33506715.20043564,983302640.4807005,2111.280734462799,1.5521963560800645,0.09263765037337711
1100,10003585521.098646,36403904.88893651,989040547.1349075,2327.40606836837,1.652946534067679,0.10683710649853324
1200,10003918985.308409,37345883.97799619,980883251.4335059,1865.544187698204,1.8917894655729108,0.12000536296355759
1300,10004048856.025331,41600629.765960336,984361060.7951305,2888.778393210606,2.0120747406775914,0.13119413852154152
1400,10004420268.346123,44053154.01167847,988370000.8725882,3211.7976033110094,2.2393934213083306,0.13694536138700297
1500,10004567616.0287,46286263.46248125,985297574.9281592,3301.11727943694,2.2309335524388696,0.15376682458732396
1600,10005076400.3259,48068820.86569553,992341076.8555514,4476.2780142112,2.4540375748564207,0.15774246255314162
1700,10005059753.944948,52941040.7051221,982525759.3126005,4353.163403068807,2.520950427646456,0.1732644669068262
1800,10005714852.739996,55551184.100139126,981909456.49608,5022.517969438614,2.7024822207163273,0.17955602697546338
1900,10005914090.014338,59934383.20448595,993976046.6979743,5442.657788771929,2.813028792002818,0.19433563897738
2000,10006044611.536741,60576542.94000243,991184446.0621941,6111.847423931622,2.9723893324675754,0.20104233042151418
2100,10006424783.786585,66104772.688670896,986373292.5652561,6346.7953536813275,3.168022379220813,0.2138330739150809
2200,10006698908.309036,69328137.8854016,984836310.2268794,7264.06996361757,3.405650042031068,0.22144989448350466
2300,10007103353.49701,68736304.92524736,983900379.6932535,8254.599847390882,3.381638675400405,0.2309746810863452
2400,10007350987.064901,72761079.71094863,987634721.7602165,8273.747643118366,3.569796854105011,0.24033065800973358
2500,10007507706.976976,74878365.86979224,980613535.854912,8876.421062311389,3.888442360257134,0.24161173186864057
2600,10007635713.068106,79028811.75134172,993340226.049293,9511.222582778706,3.9902204368677943,0.24811913408967062
2700,10007930872.364344,83685006.72736843,980243058.1983869,10649.89642485736,4.127142602807869,0.26073527381314465
2800,10008152588.281828,87311286.72990815,979445265.5287625,10919.709826731603,4.204198347558168,0.27292018609394514
2900,10008499130.330433,89462478.79535733,983613392.1943378,12513.299022141442,4.436788929507794,0.278660575040908
3000,10008950790.25057,90828601.83787219,989040284.4667478,13244.742930599585,4.621150466034174,0.28981546570071365
3100,10009196176.44845,95381533.15192854,987527420.1563513,13845.4369803353,4.581496784142256,0.2997586880497352
3200,10009427099.210695,96343408.25907765,985304735.263231,14254.251433059972,4.862749283300156,0.31445745372464784
3300,10009580571.990063,101667267.521389,988624467.2423908,15547.973344883912,5.044351279736436,0.31822527610295626
3400,10009668514.151855,102854682.42329232,990505074.3400099,16283.118662712252,4.999452148577951,0.3292942946648142
3500,10010062704.944462,104554414.47880979,983325630.618559,17286.948830238165,5.339911009815711,0.338521701597094
3600,10010366321.489178,108845697.25081858,982593522.1507548,18398.215104238738,5.408383941124832,0.3440963912880478
3700,10010414543.171461,113255651.15032513,989173049.2269924,19380.60050723998,5.613219836642735,0.35446696925036647
3800,10010867169.375488,115797504.73308434,980729421.0937477,19824.189091596676,5.755678365886769,0.37460447076560216
3900,10010919449.715513,117520168.1215114,990054616.3739468,21430.990045216335,5.860210830794721,0.37922361613522176
4000,10011351058.706299,118337264.52763772,991691505.469404,22400.12356019649,6.076947293367791,0.3886897726597801
4100,10011520739.16462,123212299.63683823,987210866.6158985,22931.07986470946,6.185959906601401,0.39101598802277854
4200,10011714055.686993,126890294.678677,979948023.6102903,23710.73328011017,6.260388158317869,0.4072692611739374
4300,10011868851.012438,128589991.70318268,982401403.898514,25398.18981967208,6.467432599168549,0.41435013678935906
4400,10012128851.72033,133408473.12981181,985095536.6851348,26544.976169465706,6.663727654032181,0.42929546376084887
4500,10012087965.749437,137023186.39601326,983056685.6335292,27572.25740800731,6.7115532352536285,0.4427134678998626
4600,10012263864.474287,135657790.66717976,982191495.049094,27802.807395281678,6.792830602536303,0.44199846546689997
4700,10012623428.591347,139004749.02678892,980172802.9066061,29155.12994062588,6.990319487073745,0.4563525971361125
4800,10012666961.476883,142379731.16277507,984365867.6807045,30598.4822752661,7.222765514277496,0.469933613091273
4900,10012831663.43662,144866773.66515997,988280568.5155811,31557.432160706652,7.245138719085441,0.46763785950510417
5000,10013138294.920145,149506777.0747977,991492509.0884196,32989.9499048786,7.48958600330265,0.4841383540624562
