miliseconds,T,C,F_beta,F_gamma,M1,M2
0,10000114396.379078,1701668.053804739,5076864.328915063,-88.30666239214356,-0.028719757464467904,0.004083528981094861
100,10000182924.166248,6359261.372186923,489079779.6254118,249.0814089794408,0.17943693398297988,0.0154816938368127
200,10000524130.735384,7253043.975068953,737247102.044375,514.7907395125756,0.30452260150902827,0.022930328635940217
300,10000961032.097496,10859738.305582916,872818111.3289291,-231.29018967483302,0.5248070491310683,0.0332370291378742
400,10001215611.32778,16142327.176981939,920917072.5721562,19.496221496166072,0.6312905370084737,0.04148075418957171
500,10001588365.598518,15292393.760517899,957846546.0205305,569.2724119012959,0.7957990233280825,0.0478524225957272
600,10002055935.602211,22065354.520433214,973617261.6354287,1041.4973546726112,1.0157136220464638,0.0646262891230728
700,10002300746.152393,24957415.975531988,976214175.8649865,595.8708932572155,0.9883844050454696,0.06500605771193317
800,10002401272.2967,24362367.999738414,987767548.5076996,1599.7383535867607,1.3349533345052993,0.08419337929013458
900,10002855307.277454,27722097.524977535,990156662.4116144,1007.1309968746023,1.283919839621172,0.0907480575626989
1000,10003122948.477747,31288097.897258133,991509501.5219097,2017.960916362657,1.4772107418014662,0.09733594766840171
1100,10003503632.095549,33705646.908236325,982718445.8438653,1580.10444438466,1.7734098421698348,0.10337311138461674
1200,10003617099.98839,36863773.0605894,983963858.9530615,1923.874535235039,1.784076036862777,0.11256658195367604
1300,10004023005.160969,39298711.75833064,982958619.24854,3166.247916956171,2.0556813030579932,0.13297179594186415
1400,10004488004.548086,44247489.83938302,987471531.9029312,3188.5441706900406,2.055531723298396,0.13497024342784691
1500,10004648431.707508,47962059.246344715,989660577.2560879,3575.638561377387,2.3492054160009017,0.15305877163029927
1600,10005041212.535948,48885440.860274896,987522325.077251,4126.818863479899,2.340805995004993,0.15554326136456603
1700,10005042910.84541,50678457.149461046,982857091.522688,4123.803137711057,2.5034127413463403,0.16859656191224726
1800,10005500758.01992,55252011.239998035,986654514.8633763,5253.5265816513975,2.82492744385955,0.17218610477503327
1900,10005850080.740755,57715469.1288426,987235820.1125139,5076.074554332125,2.8870963540648775,0.19296181846779317
2000,10006088137.702438,61703729.7307282,983830513.8713953,6354.6914423550115,3.0721943063261947,0.1905710851197021
2100,10006434875.727629,62609784.90445864,985559509.1644416,6930.82913975953,3.1995058202180555,0.21011966665857582
2200,10006578857.555426,67092677.59313251,983063289.9847578,7371.273396409123,3.389732179447801,0.21475432606357406
2300,10006930095.706339,71249092.91584589,992135274.0093138,7980.515463742051,3.5941933417084875,0.2227189546287616
2400,10007379848.69149,73632512.66196367,986550107.5072697,8517.561073837309,3.5810912052363766,0.23364050803769693
2500,10007437755.09537,76930760.82096128,986374638.4116981,9562.443540807666,3.701471374395856,0.24205967558075497
2600,10007654537.07935,79208103.89787154,986618253.2783073,9686.185754025544,3.953997571549508,0.2507776180353939
2700,10007945350.426384,83545370.84075588,983540375.3590609,10224.612010495082,4.03675083481129,0.2636839323053338
2800,10008223044.515621,85230360.68122067,979230056.3108172,11786.884146924764,4.2650741203205,0.2739884134418485
2900,10008418045.400467,86594621.22206101,983638812.1052643,12050.095749974058,4.3402315416651085,0.28303372762495643
3000,10008724060.174944,88929334.31347428,984365884.7863493,13088.105028469692,4.465191428011243,0.2891799055823372
3100,10009042157.868666,94812194.02534227,986056106.7576933,14212.782369949042,4.693490170184603,0.30505126533780796
3200,10009377306.272242,97797996.13788912,989260387.6949916,15006.763317200994,4.705756339933835,0.3151619240651071
3300,10009654620.57055,101636654.66499947,979569814.5174674,15169.522511745403,4.8997108287769935,0.3178406218886267
3400,10009769447.456491,103731703.87722501,981061962.4412031,16575.158105339262,5.060733327437644,0.3312527502982617
3500,10009907237.035822,105114489.22450574,981832748.9185654,17207.380768696392,5.169863443490909,0.3350776718661158
3600,10010197328.577484,109207191.06082901,982800365.0723679,17571.213481305804,5.471353583961935,0.35412390275468486
3700,10010357401.37279,110318333.9715119,985398431.2651966,19464.056496242632,5.626005034025449,0.3547122123545909
3800,10010636943.53127,113984188.49730104,981806961.686115,19799.44138829246,5.6818677293072355,0.364493117775523
3900,10010958337.836855,115743511.02033027,991895584.3274773,20900.172906760665,5.93241066613094,0.38504823373348873
4000,10011341622.013659,120919502.8161981,982524317.5428445,22229.196960179044,5.981916889038929,0.3822015081416252
4100,10011584416.181751,124051540.44842091,990563104.773324,23262.1830002698,6.108458766327565,0.3983512929753441
4200,10011478498.07099,125211181.89038074,985239696.1153352,23643.961311528426,6.192496715687484,0.4055755261862368
4300,10011884975.519962,130631951.26809196,984536665.1190094,24669.849472646103,6.447461244184761,0.4200390299157423
4400,10012072055.46865,133174362.90499319,990316759.9552711,25686.760617005424,6.587843041801253,0.4204756878493012
4500,10012235292.471783,133132399.87181443,982503377.9037571,26947.94930741164,6.63030270639137,0.4360897081576849
4600,10012541411.513964,138327699.7135911,986046441.7858564,28455.08620797078,6.7523391030156334,0.44832035538640497
4700,10012684906.900358,141741574.41446984,989206263.1668632,28962.609478341306,6.9574356295355395,0.4567260593150063
4800,10012614460.474709,143665425.36450836,990680086.588509,30091.958955673734,7.166585509760858,0.46840666838499173
4900,10012849221.457743,148556532.85633954,986316346.8027343,31988.38670322927,7.325886993160199,0.47822067105275823
5000,10013258881.04606,148079419.8329127,990904296.0952764,33298.55527945056,7.396904771551107,0.48071458228552616
