miliseconds,T,C,F_beta,F_gamma,M1,M2
0,9999802296.656202,1463161.0703852726,-7639126.34387619,-491.9663189271099,0.08091903287062752,0.0012887945261478694
100,10000131429.124704,4094367.451597306,492445073.7081426,440.9425769605779,0.12182460936132518,0.003743054247321096
200,10000785100.697758,6036405.177725888,744675921.6833118,-106.0639318598872,0.2573123994133293,0.013640247140026446
300,10001114218.9585,12689733.043489061,865411832.6885457,473.496156595054,0.5038987931279949,0.024801251465712344
400,10001150704.190706,15788433.538487861,922675742.734935,459.0905776455187,0.5614297257880246,0.040434884509343606
500,10001705221.289482,16913472.020504974,962005606.2163635,486.3138086201437,0.7438299915267506,0.049377167552318954
600,10001869420.599062,18820479.687285956,976650296.0917459,443.8099178454429,0.9512226342556858,0.06646449771388649
700,10002101413.410141,23969167.683837604,972037929.2853956,448.73028601807226,1.1410337926177738,0.06612856998819357
800,10002445202.92405,23742448.78494931,978800215.9467865,1167.9881797852845,1.162420513820041,0.0825432063940439
900,10002772229.903217,30708030.38989238,985698574.1222988,1660.4261814100862,1.3788197560899766,0.08511312741869743
1000,10003195815.568277,32674785.77063072,978703031.8630179,2018.3423336399294,1.423290906188682,0.09352777508125573
1100,10003548696.44478,36579796.834087566,980785948.2949295,1896.0607242233798,1.7389397026242446,0.1110720389215612
1200,10003647655.754246,38492046.56111395,987317310.225226,2798.958902259931,1.8836870046244476,0.12165058385190426
1300,10004143094.878311,42163240.24305395,992677350.8342872,3021.0907465728974,2.0836728642600515,0.13476870984632888
1400,10004182017.706047,45841648.91077731,992612800.7520547,3476.788433707343,2.085007503525865,0.13348386472339252
1500,10004805654.469313,44807635.08833766,980424229.4846016,3539.939770493117,2.267950054392083,0.15527182737053005
1600,10004764818.65412,51158918.17322829,978796982.4315028,3578.7951288471404,2.3657325027032243,0.1607897667278564
1700,10005392090.646774,54237631.33872765,988287790.7281973,4966.3456770505145,2.546116629488651,0.16707918089100202
1800,10005674776.973742,54545617.21901151,993702596.6581231,4763.124544779235,2.627211539269676,0.17127174120158273
1900,10005659800.397491,56489962.56807415,990054029.6911052,6015.780406517344,2.825679855485539,0.194549457003593
2000,10006179516.666134,61810651.499212354,980731488.4076948,5681.862137389832,2.9671851738533137,0.2042534589181639
2100,10006247399.5194,63155862.39399716,990004982.7673877,6144.925754918448,3.1184337107450593,0.20868717352964555
2200,10006763331.743164,65833920.850980744,989911803.4716303,7010.3058789131455,3.420412028004805,0.2134196490957197
2300,10006996487.633411,71770195.79992066,993402331.623936,8175.815940229249,3.4130885611727444,0.2193352404023748
2400,10007106672.121208,72164437.73717874,992371126.7881823,8201.525395715604,3.544729005510808,0.2412338615949875
2500,10007497646.1081,74901462.18989004,989355076.4377657,9432.537620141025,3.8897355110979492,0.24796835870164902
2600,10007705669.823833,80276377.39610176,984364414.7212696,9725.98798561852,3.934490705744639,0.253940221348597
2700,10008244792.161146,82572626.35345747,991731387.9632334,10920.90038465906,4.165938181972165,0.26946800416342637
2800,10008391651.453465,85823617.88838173,988030273.4830409,11299.839989351565,4.147182234041356,0.27950736002471444
2900,10008606133.454243,85948743.30993055,991294112.6320274,11881.406278779536,4.323807647720688,0.28873619652768884
3000,10008977942.078527,91525824.7034704,992179915.3207763,13101.744052360116,4.484665523929577,0.2962638281353345
3100,10009113822.030636,92448196.33067909,993445083.5355535,13764.97673321537,4.629009291785989,0.29845151949598375
3200,10009500256.792746,98140898.87720472,989836670.3296599,14223.285746965983,4.803596077712009,0.3113161652569958
3300,10009633691.13611,98196106.9145863,994086909.7474511,15601.440010763718,4.994967784832122,0.3245507524915404
3400,10009945873.247915,104895314.69194357,982916975.0474951,16014.286758467008,5.141290963574692,0.3373157032793828
3500,10009948721.204695,104254017.66135426,984185047.8715818,17484.298374556067,5.3503465342184935,0.3442238430025712
3600,10010203815.598236,107351454.6422087,983046470.0410722,18510.922936428135,5.332495606418924,0.3543516046193235
3700,10010349412.050825,113469578.85822739,982517140.0836072,18657.30526881532,5.589329038360265,0.36598068378700294
3800,10010845545.620388,112606691.7551898,987455306.9117377,20072.39123314277,5.625071750754676,0.3730218332635448
3900,10010912499.692444,118359513.94330396,983199111.6766186,20533.749762605858,5.902421136690477,0.3835847377523093
4000,10011037088.558035,120151028.80658107,981430422.9563736,21504.633353306606,6.019987809580265,0.38804431313319854
4100,10011426902.251286,124707423.98454395,987252912.1476185,23130.150001666454,6.163328002148126,0.3978150473495386
4200,10011585618.766212,125058805.88543697,980483088.8461043,23851.370343408144,6.259702550456401,0.4082374319748907
4300,10011890544.923796,129326819.06707026,981691347.5885197,25123.10773667074,6.41471028962674,0.41749497952588016
4400,10011902938.35559,132197230.49270134,989255740.0522736,25951.744504750004,6.508149413502325,0.42770142457273175
4500,10012031215.126822,132687604.86898553,987446674.8491658,26884.390968606724,6.816792078310919,0.4407893559780742
4600,10012221596.749458,136429030.25976652,980586904.1483014,27971.87950675005,6.881935296751697,0.44104683676645423
4700,10012533780.956776,142181992.31379846,981541883.0468729,29451.013721388128,6.9597420863342,0.45642883823407654
4800,10012836718.147364,141421784.0915783,990031630.5781549,30627.898232205902,7.205990296112898,0.4647836717166077
4900,10013049601.845583,144650375.464932,984705558.4308158,31757.419412860407,7.34151373884195,0.466331649036605
5000,10013132255.67815,148729308.42413688,988244168.0191547,33241.25991933211,7.340538492498357,0.48559411957455206
