milliseconds,G3P,PYR,ATP,NADHm,NADHc,Vm,Cam,Vp,Cac
0,27.52637541954805,12.468265740253885,3698.637083640614,76.60523788717721,11.749398153950441,101.83937351581929,0.20013080177190987,-69.99999415443213,0.09999992124508125
100,27.542591499862276,12.483956880990664,3698.637758869792,76.5715800758403,11.74959412050058,101.8701303575998,0.2001309750724885,-69.9999983442415,0.099999790717205
200,27.515421439841,12.510627970342275,3698.6243022835533,76.55803527533708,11.757072899501637,101.8859469360312,0.20013151947158014,-69.99984834448927,0.09999986886700166
300,27.499027355199143,12.514313228813654,3698.626310923507,76.6839994941068,11.761631216954244,101.87867261024734,0.20013178860989922,-69.99947300118588,0.09999981183446277
400,27.50377919171941,12.512718456300963,3698.624947990237,76.64574331144536,11.758753859925076,101.89989904486822,0.2001322322810497,-69.99956991394352,0.09999956407644156
500,27.48833761573845,12.533511208419226,3698.611932420867,76.84932588205452,11.784438307259565,101.90835388358131,0.200133810152293,-69.9993396330719,0.09999959106453539
600,27.485487350282632,12.535576221744373,3698.617937123704,76.78362463201108,11.775198168269867,101.92031597684537,0.2001333355536739,-69.99932477188563,0.09999939587564291
700,27.486313582232583,12.532932586411127,3698.606218773158,76.88967175757367,11.794041865829795,101.92618906172649,0.20013404830251866,-69.99917534538986,0.09999943984120196
800,27.458943473564897,12.547098916499648,3698.6095331515758,76.98328555027169,11.784595035772877,101.92599768446993,0.2001351498769243,-69.99875874807117,0.09999913783616887
900,27.441491188875396,12.559213663788519,3698.601241329181,76.92844681452648,11.808228511986044,101.92931061518397,0.20013574829567632,-69.99862796263236,0.09999920376086986
1000,27.449530324833557,12.575119287817042,3698.595701902238,77.07489230874678,11.8126006764131,101.95222271675439,0.20013598740095864,-69.99854818818476,0.09999903993918842
1100,27.422245849048686,12.571525051347656,3698.587741979387,77.11558165406913,11.821221760079275,101.97004074081818,0.20013681666653874,-69.99870066164668,0.09999889767207003
