miliseconds,P1,P2,Target
0,9.964561820068104,9.979857781869907,10.036883502869017
100,10.059241217702345,10.014096155934155,10.05249071809491
200,10.118755372798665,10.09209538104174,10.11515405229066
300,10.149315337700207,10.180621708839828,10.147260032942484
400,10.19183477352467,10.174386510884744,10.225352074850631
500,10.24698356543301,10.228803187033304,10.236505780365599
600,10.353990154911518,10.354741442133836,10.315737515332989
700,10.353101539735274,10.393542419977004,10.337698152818778
800,10.418043564394537,10.452665095432021,10.431642229345087
900,10.487753036157228,10.49756760696443,10.466636383740788
1000,10.517200446156618,10.517923897847155,10.516451096380145
1100,10.567198009180736,10.58705156088703,10.572635691570683
1200,10.596552995855403,10.624981815647486,10.622686896652187
1300,10.685836851943955,10.708060262765846,10.72643588283296
1400,10.75473224091283,10.720234289659995,10.756520023584226
1500,10.822141565081495,10.83249470312889,10.767112016530229
1600,10.850497886559323,10.858512372987406,10.836975845008542
1700,10.91961284039935,10.909038432127252,10.913687318160369
1800,10.963816102720143,10.943092438290124,10.926631541458732
1900,10.977812176998198,10.989377546244492,10.994075980126874
2000,11.044473064415214,11.032832357429408,11.077482944990555
2100,11.128059162582474,11.141167692513177,11.091413490961953
2200,11.145340840297274,11.156440397444936,11.150938297042675
2300,11.199426481517659,11.219193206898929,11.200154003788104
2400,11.305578484381252,11.29593716082552,11.286548985669743
2500,11.358388054176611,11.293141454915208,11.339134553351212
2600,11.3487564013402,11.409480926430128,11.40727362063316
2700,11.40299231720232,11.398886046264648,11.436099176046106
2800,11.511287584086995,11.501062836723023,11.461338489155622
2900,11.557665405615298,11.555468795107942,11.578677095245888
3000,11.593564685319546,11.595213162235073,11.564076165203556
3100,11.610824291628077,11.67272287430926,11.662808083423856
3200,11.69104448808099,11.670477208876193,11.738439405536853
3300,11.7730344725334,11.723248473685684,11.718798927424107
3400,11.79463024793612,11.83255506439908,11.823341814358498
3500,11.864585096987739,11.842654580956689,11.900662573045455
3600,11.933600809477246,11.890986589635268,11.922618250691146
3700,11.969564849072563,12.002371579559023,11.975942185043802
3800,12.001278812962811,12.015222033980669,12.004362900499213
3900,12.114361731561226,12.09259416137997,12.09065415202903
4000,12.173280979004987,12.152208047621341,12.170087898591609
4100,12.159395726098266,12.215711620883667,12.159938042263791
4200,12.246924489572548,12.244393771914591,12.231616905367835
4300,12.314711344253368,12.287849281939494,12.266045502647506
4400,12.37390991367737,12.317280512595673,12.37786017821748
4500,12.371814809786429,12.401965772328355,12.400899293586122
4600,12.42549759983467,12.482943859976553,12.464811730694741
4700,12.479934802235766,12.497134555707978,12.493231635023927
4800,12.54016406727852,12.55483710454878,12.569717479795536
4900,12.645147292314999,12.617586734843456,12.661229569452813
5000,12.713984410204938,12.68062466275654,12.692637884222998
