milliseconds,T,I,V
0,3.3246,417520.0,4450000.0
100,4889.4369941555115,412684.4205141075,4674860.756993356
200,9711.42568800925,407923.8476756323,4666914.75579572
300,14470.67864828981,403236.7475625252,4620848.415562238
400,19168.63170356037,398621.54081174976,4569103.76566796
500,23806.63521968637,394076.73584752996,4517102.521323804
600,28385.984252219012,389600.898611697,4465719.7284525
700,32907.9329113799,385192.6381258817,4415086.946604921
800,37373.701399231184,380850.59940803674,4365201.435695873
900,41784.475599576464,376573.463855443,4316064.408024299
1000,46141.40660531242,372359.9497899659,4267662.224725803
1100,50445.614002643764,368208.8090454579,4219979.0628122445
1200,54698.19201457622,364118.8204427297,4173000.2671260824
1300,58900.19790041399,360088.802173931,4126712.2854181947
1400,63052.681280731915,356117.5805880945,4081101.4490304277
1500,67156.64967474315,352204.026902374,4036154.8996333354
1600,71213.07979519984,348347.04522879166,3991859.967844446
1700,75222.9247027198,344545.56497148203,3948204.269990508
1800,79187.12317627978,340798.53078135825,3905175.586645285
1900,83106.5841673284,337104.9192634583,3862762.086971888
2000,86982.19231124394,333463.7330378747,3820952.234931419
2100,90814.8179557478,329873.99007155444,3779734.6806459096
2200,94605.29441855778,326334.7480258208,3739098.54730228
2300,98354.44471323967,322845.07563386287,3699033.075496243
2400,102063.06441198356,319404.0711697338,3659527.852518463
2500,105731.93609040353,316010.8469518364,3620572.626116556
2600,109361.83675512548,312664.52167260315,3582157.2058378994
2700,112953.49618095809,309364.26419794484,3544272.004433802
2800,116507.62695143778,306109.26196197694,3506907.6478589796
2900,120024.91754090418,302898.72824527934,3470055.065083313
3000,123506.10205278998,299731.8288629562,3433704.595808969
3100,126951.8632598101,296607.7840930297,3397847.2310454026
3200,130362.81736920783,293525.8846918797,3362474.8080339883
3300,133739.58642489347,290485.41578194906,3327579.0838818965
3400,137082.77116958622,287485.6853802468,3293152.082783779
3500,140393.03367926308,284525.9375791275,3259185.047509899
3600,143670.95425973504,281605.5028967553,3225670.2551819994
3700,146917.10558947045,278723.72037954134,3192600.0765079046
3800,150132.06437226068,275879.92541645485,3159966.8476839354
3900,153316.39613414966,273073.4656706651,3127763.0489923065
4000,156470.64277174135,270303.7140981084,3095981.440748493
4100,159595.33813073265,267570.0526832166,3064614.895160455
4200,162691.00305361845,264871.8776708838,3033656.4548879303
4300,165758.14616306685,262208.5985810634,3003099.310710636
4400,168797.26325086487,259579.63897740954,2972936.8189476873
4500,171808.86637638358,256984.40580355996,2943162.117527133
4600,174793.41922003852,254422.35743598567,2913768.9736077175
4700,177751.38336613728,251892.95496243995,2884751.176735124
4800,180683.20764946958,249395.67339671048,2856102.6785255875
4900,183589.3278723187,246930.00197651863,2827817.5963763352
5000,186470.1668044615,244495.44416351974,2799890.2134655886
