milliseconds,C,T,H,I,E
0,823842.8520605959,7631929.618530596,24910438.583297912,-146.4976598803306,45.66240682368543
100,750839.2434086149,7618769.465439052,23751782.414198183,1052.0337485214504,189.16334250753945
200,816537.9506096995,7648043.98727755,22719038.780693706,2289.739281174937,471.6051307063314
300,884024.4583071592,7640115.116633408,22056901.890453648,3245.7831085518624,743.4418872960712
400,984766.2312481494,7674331.438431713,21346631.110086072,4211.13597222038,859.5969095604087
500,961787.7162194297,7617389.745704098,20822462.39766855,5249.728901936052,1060.5328332320996
600,1016712.3084962623,7641819.201848202,20119896.63613311,6162.148370631511,1254.9941267575734
700,1207727.9273430328,7509285.041828456,19246388.772851136,6669.5611392229985,1380.62468574055
800,1241236.815898561,7525226.4042016035,18401435.70557902,7000.145938220307,1449.7310954165184
900,1308936.044336255,7607081.047080984,17775430.42309431,7678.017356961456,1676.305768597832
1000,1511398.4847473314,7644779.878292595,17445256.551132806,7924.118070734675,1650.0910716953458
1100,1512202.0987460406,7689977.376322558,17527720.551086918,8861.503919984678,1786.0436327178659
1200,1599455.9829374095,7610104.226085401,16609337.19750881,9104.70656084405,1859.3813604472991
1300,1735132.084895766,7592909.121151713,16277350.842505949,9373.586237187754,2012.608854684994
1400,1780949.7757687203,7686384.7268571975,16382768.835075581,9550.793528048818,1978.6543531703335
1500,1919271.811792598,7606539.863272731,15374050.718936767,10218.390667799527,2106.8948535949708
1600,2058122.2157703433,7788556.130011858,15809545.723374367,10511.627214640224,2114.2273078120834
1700,2227658.9615890454,7760331.003496654,14990963.47642229,10600.73587909608,2163.090511600365
1800,2287344.9512719233,7776177.090229963,15181595.622820444,10617.89569215268,2265.140762408612
1900,2405247.1042065215,7827391.436349261,14229359.496317988,10952.360918779514,2259.0794703284087
2000,2481015.1122119785,7864822.210541282,14532401.277717335,10898.772174235944,2395.3838731548008
2100,2525969.232996977,7868279.166305427,13938348.03471296,10932.504435673813,2393.0371275621033
2200,2557158.7419780088,8028549.600744378,13312009.324216207,11150.958755737605,2475.137027892379
2300,2609054.554899646,8058668.2715836335,13650393.395699058,11063.157102769654,2484.1208507290585
2400,2758159.91485241,8167750.926610394,13373249.519367823,11529.475718360436,2483.0526697882733
2500,2812205.8058270453,8198168.714251821,13164612.413846735,11347.49874925285,2448.340265963952
2600,2895250.9327308265,8339700.025537656,12378724.06219596,11748.602072431404,2458.6004180040477
2700,2957751.245404484,8332654.999754661,12230940.181559475,11624.408457886375,2479.4321911645147
2800,2963716.2183186268,8487677.328230716,12218811.341554256,11333.673463133073,2571.6272298203967
2900,2909340.1616917555,8539595.628244607,12445597.649078248,11722.229122080716,2635.793701628652
3000,3053939.4927904475,8505749.702832945,11970001.75126011,11339.90682625101,2575.815890704879
3100,2993877.185543311,8639621.638830747,11851232.928786023,11261.737910212689,2572.8022436486303
3200,3087221.3443008508,8734336.86401706,11560527.995878182,11287.130999078585,2673.415977761864
3300,3188882.2639354924,8909654.768804917,11244698.360315785,11350.141273449202,2673.6516554595864
3400,3174223.78140436,8943874.952327399,11607813.009081164,11658.913692825341,2562.641635248502
3500,3089927.2260389333,9029719.771019312,10618944.165354826,11525.712211900483,2657.149905069571
3600,3093898.5193940997,9140933.984342266,11069618.1399615,11666.84131864315,2649.885540417419
3700,3227073.6047352282,9333766.698940333,10774085.059400108,11548.053097681373,2715.9096897935397
3800,3174568.5075044464,9270430.405638065,10742212.082254415,11482.614744252362,2709.772294223223
3900,3263518.284105454,9507444.562835047,10612737.944744416,11199.211303951835,2684.2039065350496
4000,3227470.7307380005,9460783.50796376,9678703.287473215,10895.766824587383,2708.8303125446814
4100,3266002.5172101744,9598424.372119254,10306840.265471185,11277.871042665181,2639.373823481352
4200,3317332.1392579987,9816192.786576563,9955015.814940605,10910.402711572322,2693.0601509510257
4300,3295977.329451527,9821521.64655893,9131356.890248526,10879.837506458838,2720.7999095992877
4400,3201868.638495675,9991388.363522446,8975528.808270743,10801.62788041905,2696.582318383406
4500,3277941.8193673454,10007947.032584444,9430826.423111558,10948.908943711518,2715.0341011314727
4600,3279970.6581572746,10217514.883987091,9332184.429719709,10671.007873826873,2724.485724813532
4700,3338500.601100663,10142338.992515307,9262841.934012847,10766.710400660122,2711.1531547670297
4800,3231164.482914011,10331637.638693262,8938235.135848036,10451.322554382747,2742.332802780309
4900,3313465.466101735,10313570.862267569,8177809.35077224,10677.851202779406,2720.176173654332
5000,3384233.1864192476,10493306.768946975,8394377.647152007,10245.9703700595,2739.6728313150816
