milliseconds,C,T,H,I,E
0,698912.0282331209,7658326.05157656,24789363.716273673,184.22778257882976,34.877609445820156
100,706334.5770712377,7539801.386161816,24298710.02321359,1282.456786529106,196.0322961164677
200,867054.5275173968,7634067.377913607,23330309.87119497,2557.6379196760663,431.00827008609593
300,843580.4290191348,7624883.383964146,21848631.936877765,3300.352035267061,717.5482561825925
400,940517.4919851284,7574828.730961734,21280327.17209464,4472.3917995025195,873.2223872851486
500,972991.815192298,7571436.7722409675,20230700.62833575,5166.7531271256175,1065.115198026212
600,1090266.365533671,7682557.582950573,19891576.56801079,6105.390640110642,1265.8879862159683
700,1200712.7036290613,7612528.826416827,18976587.683352396,6532.122170961805,1424.4705853184876
800,1263656.6205642475,7572072.553913099,19032994.473631524,6966.362930366648,1521.2283773598565
900,1276570.6236461375,7632287.67194274,18427865.611232795,7483.847384028322,1647.561760892659
1000,1482962.3857776367,7556425.956567419,17975493.68363695,8235.6353276,1690.5275481659476
1100,1594741.5386526086,7524188.726097726,17475024.940549307,8587.098729900428,1809.9167822443283
1200,1603677.7034712047,7622532.748671416,17236410.85273268,9036.344980789736,1842.4315655218463
1300,1822964.1391582072,7570679.9248091495,16114097.141561199,9260.36218155375,2035.7207429602763
1400,1849907.7842914097,7711437.677011795,15880779.902498502,9552.808884525884,2067.0139112761426
1500,1954129.7159694629,7637947.135195347,15617421.33352165,9968.49364755477,2072.5605312379253
1600,2124044.0376523426,7790864.858626336,15345787.051636772,10337.569860451915,2217.572688812531
1700,2055411.467928915,7757900.118527189,15350121.850203417,10644.691339542765,2285.4363496716605
1800,2285542.11755207,7780051.857248724,14598643.751555307,10500.588193672886,2335.225010328533
1900,2404903.3082935773,7878024.131037644,14257423.262773063,10589.955925235803,2284.1493739868943
2000,2494930.5021116785,7772544.2693430185,14171337.126325618,10997.510885643036,2305.9137985273396
2100,2409603.18032526,7896261.734162123,13684821.585551247,11282.968692840257,2325.8325603447392
2200,2530940.7964444994,8040092.100537425,13416039.151639067,11409.956665323512,2443.857193615704
2300,2568920.8282076423,7971108.477915898,13501647.003450848,11125.989153804832,2395.612512311735
2400,2766779.832262729,8197448.2125358535,13099917.499874428,11261.494934924567,2537.315580636804
2500,2705460.4481255496,8201912.700522515,13041678.106857458,11507.480214393012,2497.977782026292
2600,2797866.2224258287,8286388.533449668,12816710.133706845,11750.159483037343,2487.7026046781357
2700,2820244.6583347907,8357077.593938121,12394124.077212896,11651.652704421971,2497.53753655859
2800,2854050.9681224395,8481578.551322065,12340318.7217762,11321.669115557233,2600.9724706156167
2900,2906915.0370127065,8464547.905973839,12068769.968010325,11335.450403727216,2583.2090034404846
3000,3057781.173143693,8642851.336837469,12262488.14695091,11702.363389293043,2562.0539451809077
3100,3081302.3179298644,8649425.938972985,11960570.799292013,11646.275658676579,2596.0124585902868
3200,3021289.199196686,8726304.375526855,11221955.66088791,11749.177797233719,2661.5115329147006
3300,3030190.9505237257,8899966.720123421,11020425.674395055,11702.750683071294,2635.4943391355823
3400,3083742.928998852,8888791.821023187,11545381.079913288,11680.883681086976,2688.386713595306
3500,3229859.374035393,9017435.872377835,10856773.57793512,11176.258902332302,2695.998919885549
3600,3249323.286059321,9234400.048262456,10823766.257714098,11580.649493271196,2715.722614225653
3700,3204967.166021106,9221409.179240307,10814834.236628342,11387.742538497518,2628.9614967889756
3800,3286220.607074308,9395855.586395184,10073801.500665728,11316.757954672641,2697.4221081305177
3900,3182233.8968559913,9497766.72018678,10163647.071561038,11100.823904697769,2612.805753906726
4000,3297900.767183108,9580872.57497729,10167063.75248896,11174.27632339969,2626.622415866997
4100,3293631.5158827337,9656167.444854096,9581247.271812357,11007.714574488891,2616.951467827171
4200,3337499.8212294257,9792931.274912521,9568248.567879004,11053.50096507206,2692.1604183130225
4300,3318906.316381161,9923794.598246515,9561086.688185582,10860.72911890231,2694.5324825667626
4400,3276846.472533994,9872553.507156473,9222489.95191918,10698.916910302096,2714.244160165769
4500,3266947.569878558,9939944.509957012,9207866.02429781,10947.91480649361,2763.1309275797653
4600,3330140.4318310106,10176810.18548169,8652903.449378707,10582.227763388495,2700.5883986948543
4700,3256385.5680242702,10279695.547878427,8644835.608190475,10869.213162676559,2674.38196607243
4800,3319284.6531517208,10338081.176056856,8256633.156467549,10462.13886951517,2767.3996954534523
4900,3271227.477429138,10433474.98752742,8654975.871010501,10597.563519029834,2689.594463731451
5000,3294649.566026652,10588581.181739504,7987965.992207347,10333.096732102138,2669.434174293374
