milliseconds,C,T,H,I,E
0,795888.7581244034,7700771.383989112,24629202.69329247,-179.18744750630597,47.75672319402188
100,840118.5546459019,7584790.324394699,23994527.761099707,1397.7543453802286,300.8129444796257
200,894762.9100063014,7541622.39628262,23203224.09588496,2634.776058664048,429.6397950599097
300,890166.8222649676,7552100.291473379,21797233.087503143,3230.999310104046,639.2292196945529
400,860063.9061769937,7551960.461287839,21115618.044806935,4141.044861087184,849.0546465629048
500,1033954.0151455625,7555475.407543905,20612572.804094847,4960.108838069369,1000.7694990221225
600,1024726.7876166181,7644870.152062402,19670734.87490981,5594.161047661256,1243.5502106994288
700,1113447.570683346,7558102.635769615,19245914.78112846,6276.207943081946,1374.3323680094218
800,1273144.3328084033,7666702.628343466,19084463.97884392,7247.058033267053,1445.7095911389536
900,1334371.084468677,7624412.553913854,18152295.401562933,7982.110253434928,1655.4930802251217
1000,1372191.8241387922,7691449.344379872,18120729.397830095,7944.927146166252,1715.0960757525265
1100,1459682.5105729166,7693028.870573253,16945767.81883307,8783.72120172675,1800.2900376607063
1200,1551541.7379007263,7583098.61984108,17251224.79769685,8753.870278680084,1923.405317195104
1300,1723325.7549919207,7578863.320613608,16841624.840661447,9116.99190058889,1938.3779883913612
1400,1916866.9790077065,7562569.191996227,15940586.613415739,9572.648060263193,2098.7553239533727
1500,1970432.123847893,7673831.951813415,15355023.21128208,9701.04382025048,2129.77324216587
1600,2048746.7631505672,7788740.685107545,15787941.05741326,10299.266402316614,2155.087605006968
1700,2107998.6477739736,7759351.066928919,14703563.167488256,10440.619677332907,2197.421490142565
1800,2308744.243351925,7696500.764478819,14441854.55341735,10693.973860755943,2268.919877477651
1900,2370359.5457452154,7833104.324606982,14464013.008542843,10642.621052068225,2370.664567578923
2000,2494993.6649468755,7925553.509213817,14279047.23542418,11212.812620184062,2282.7260675541556
2100,2467602.87198345,7931298.405537767,13783536.634158706,11361.51065061855,2316.5711715803523
2200,2521754.7695096843,8036383.132580674,13579046.661306156,11434.63751174116,2370.505612760664
2300,2642641.2690529674,8085518.616459498,13806657.747446343,11424.04244911112,2442.3009409675897
2400,2619699.655091114,8174543.198112268,12887007.862419061,11665.752029568303,2505.451643498594
2500,2799570.922025551,8116948.998564438,12677957.068555899,11276.158374671255,2541.57482983094
2600,2904845.0850462164,8230693.253115815,12598083.149368947,11271.550870263309,2516.161089469003
2700,2808701.667776848,8301329.788401178,12882104.972065546,11814.707057322705,2578.3192938680154
2800,2997103.710487118,8444957.093065213,12251220.020824863,11473.13346246342,2512.3709320220173
2900,2984572.4625090626,8582522.041610569,11869492.248717215,11633.472874256755,2561.173744970822
3000,3055418.961377852,8628973.214390038,11921184.909315243,11379.880421221153,2611.2981254829774
3100,2991731.794132203,8658901.350539273,11704052.397693356,11740.772655726594,2644.2148170255614
3200,2998926.599580497,8775103.273846662,11507856.652179105,11321.844070783454,2623.629382898051
3300,3045160.1862955913,8967494.555154392,11387314.790493067,11622.074037787495,2687.325904825253
3400,3091957.6437863456,8967676.253951848,11107186.184775366,11740.076950090268,2696.8765550579365
3500,3179797.5105213593,9055638.676617507,10993549.152070463,11219.102022553574,2581.4004244201296
3600,3169654.499577758,9162462.817916598,10937001.274052987,11441.42938925367,2590.6741115583463
3700,3254926.6114955987,9294204.02192989,11017579.139618391,11092.128398875595,2594.9195160184836
3800,3231790.520991097,9294607.069606654,10753511.622432113,11014.24487790238,2681.1691893486727
3900,3290798.3288367633,9366167.755516509,10533229.015410773,11105.127180813795,2720.2830862436454
4000,3173940.573007646,9555275.832117977,10053576.142059952,11245.34424000977,2627.0548109567144
4100,3271719.3166829864,9700053.224242382,9763774.807091776,10866.53348865596,2633.041888651356
4200,3327401.8597597484,9790498.594351703,9625805.20171282,11155.043966555366,2656.8738909621097
4300,3239721.9934362336,9840367.451889751,9732005.543980973,10815.089200536837,2673.0092929060406
4400,3205942.4667075034,9989120.55749778,8981421.815037109,11082.429847357118,2668.7640670358564
4500,3339120.9735778784,9941982.60220626,9327458.389945507,10837.280724815573,2674.079214342923
4600,3224780.8495238875,10062011.09787809,8897884.345024584,10430.328540889477,2730.912150497706
4700,3304378.2866202593,10287144.113108452,8915021.516372647,10895.344102922507,2718.9414697771876
4800,3365333.761467454,10222223.55223144,9018507.776895529,10493.389706470609,2661.5628994027215
4900,3291340.2697029593,10479768.653964596,8741799.931457274,10701.775464443512,2662.3677918930716
5000,3397897.170311848,10436866.073324095,8771551.890731217,10136.964541730284,2639.715814464604
