milliseconds,C,T,H,I,E
0,658302.7342155807,7538842.766940982,25190718.041707925,182.3862419916428,31.447911461975508
100,736295.8290917529,7709660.479303519,24079689.97508264,1034.5713218279768,204.82864906406385
200,838830.4686274797,7607935.033818793,22800716.677949466,2652.8747518986943,530.5871180160302
300,883418.0045572346,7545650.385439385,22303722.638616994,3634.829242847538,764.0814228132961
400,878348.2856235312,7678288.593595077,21326229.42860852,4323.617499907648,889.6695541547996
500,989638.8888921009,7564341.579321752,20205322.60655319,5177.05308630733,1019.6295504391087
600,1060579.661227284,7577263.5227627605,19854246.215979297,5946.5759436244225,1271.532612947639
700,1088909.3451705638,7616192.591987096,19138842.025584888,6387.7035591071735,1373.9956378546747
800,1210157.598315514,7688201.157293828,19105784.87706468,6972.122575730582,1434.1877924348923
900,1421783.1844088905,7601202.433651604,18527946.255037483,7542.149165883337,1582.6515765612382
1000,1522693.555711941,7693360.504185423,17954629.545331936,8327.033012368589,1742.5723985571428
1100,1589387.4356699386,7525907.053575166,17248239.408805642,8912.180584552201,1751.2899866422413
1200,1713068.708287106,7559643.662206188,16984303.88053656,9151.492336863967,1908.6561728897595
1300,1741753.0548562845,7565554.442568375,16412997.254999258,9151.06364816637,1921.8759576824325
1400,1773942.0042133832,7692984.069052035,16287367.464127291,9780.717672971772,2067.165321785244
1500,1951118.72151083,7749285.760884141,15921651.88560799,9858.443564862506,2080.1104312961224
1600,2017961.2899647977,7635556.027092441,15136560.579812245,9990.434434586588,2150.2036574553817
1700,2152577.0850512194,7755457.186893843,15526725.14609057,10599.088884080675,2167.4369288028115
1800,2226496.855896397,7729826.960506672,15252239.038601337,10379.539693080678,2274.894029733377
1900,2410315.775575688,7816616.448800904,14522643.168596499,10656.92600112272,2286.445564539466
2000,2407719.5207455554,7841440.202205626,14447289.458982792,11122.891621481705,2404.1866928269396
2100,2470942.9199298336,7872117.470951538,13979819.12917152,11188.059772448409,2329.4319702689554
2200,2510171.9743582206,8036747.838979174,13960673.354019042,11471.85848366932,2406.56567743619
2300,2628133.675558178,8127457.835190545,13470975.566795604,11423.036423032525,2506.660812164072
2400,2741147.1157974587,8114285.5512318425,13536160.036307083,11678.74284035667,2534.520892578743
2500,2798680.8112303154,8101597.029932861,12815442.971321605,11499.762568902494,2517.1321265820525
2600,2802651.800724584,8315654.121936714,13002008.56505979,11779.897663746644,2547.2168291736502
2700,2858570.2113270275,8260810.885371434,12300099.566523422,11467.844445030636,2526.7020814748294
2800,2938682.0090101003,8469729.036034297,12207093.637979174,11793.33056242037,2610.2372018899296
2900,2898065.15366805,8609767.50351356,11930562.568854963,11359.175835692142,2505.5599600803716
3000,3046924.3548801513,8529092.876951838,11617888.478541322,11391.79692562232,2607.6815090401824
3100,3014940.28130133,8732403.272138761,11644104.825372009,11451.619234997424,2561.5067526047033
3200,3057457.661476453,8872457.755904278,11128247.322021283,11394.646059756275,2641.3356162518503
3300,3098725.6589940437,8928402.60328469,11727490.94432045,11652.73892788537,2570.423569329694
3400,3119738.980749821,9024986.236284487,11436342.25011924,11719.714486080995,2628.235016870896
3500,3236435.0812686114,9048748.714098828,10738148.52565085,11331.495568695464,2590.6863007437073
3600,3106042.995170816,9119047.937473038,10784138.148592215,11220.862206149011,2633.839403884095
3700,3219976.2297455845,9271948.730694449,10251721.10479743,11450.859661541677,2646.8500101986338
3800,3159129.4635142037,9414559.824018214,10501794.904085042,11369.915333274295,2687.911563531275
3900,3190596.0050876876,9487816.70907497,10137623.71725644,11078.521818358513,2639.6524209875142
4000,3161887.5095144846,9642587.495953377,9736940.98491743,11395.88895142289,2688.211431722346
4100,3329822.2828370943,9566999.001877889,9818504.046836112,11090.61992182695,2679.791620136608
4200,3311154.085980127,9804519.864968916,9319122.718630128,11258.31273688587,2747.119690848809
4300,3266664.7247433523,9891556.723692674,9877903.360013396,10687.458060727457,2648.943088717247
4400,3356626.128910968,9976104.273458142,9773574.87154068,10761.789956649858,2737.3363062376743
4500,3370441.994732687,10044632.574773218,8930109.482390592,10670.14382712067,2673.3618964452453
4600,3253779.803757163,10183500.307801632,8815491.164535452,10597.570359894991,2743.992657539807
4700,3349363.523573423,10165604.247029535,8412683.728073537,10775.685942399432,2762.3462758900987
4800,3338928.9835373587,10378107.015694333,9107409.82612926,10515.713384460896,2646.5679959589324
4900,3293626.430602959,10381140.592605133,8643410.723862894,10766.44491756525,2773.5527033275207
5000,3325109.4484301186,10424620.772422088,8692813.032876221,10392.811753035356,2773.0867450309133
