milliseconds,C,T,H,I,E
0,661315.8227940801,7608748.345612953,25342870.378931876,54.30372114801584,-43.76475980659575
100,831460.0615251318,7572463.836567299,23984862.741500564,979.4972145530287,281.2693008459654
200,766460.5234437347,7527405.911810484,23105215.415356018,2515.9711516069924,549.6144491484504
300,854753.9126489474,7618863.530143457,22369216.35803405,3353.79000133468,706.9155939239517
400,1014602.7834939689,7559262.603999932,20902680.079582375,4263.039161250337,910.507430972028
500,1058847.1471416675,7635318.738397588,20305718.002012055,4984.714103701719,1028.0473989829993
600,1088342.5978808457,7619135.1138180755,20081242.874158375,5999.206471081559,1273.7456292889337
700,1131191.5774345421,7616804.835978239,19589693.658086028,6592.528443553742,1423.9262182028772
800,1202704.305675332,7542299.34708976,18937945.684955038,6993.178628485566,1525.5873924734944
900,1262584.0074082671,7640928.297107568,18569147.756717484,7774.073694711041,1670.7391194974996
1000,1527771.3104412078,7568840.809747949,17351769.33064563,8288.142434948342,1658.9334644440166
1100,1626021.4501955844,7683204.099331038,17129830.149788357,8818.926306194175,1850.26184474259
1200,1657322.58953004,7534773.616203962,16594287.859988114,9017.120583582975,1941.986443214221
1300,1779620.3931037188,7616601.948406479,16161575.680704445,9602.377786525189,2018.7452208791312
1400,1815836.0445673168,7732639.819673424,15946954.974374792,9489.128882355324,2057.831293318705
1500,2012818.2082256044,7626693.633187709,15766487.041401422,10210.351282263191,2129.9250095755547
1600,2039693.8445857763,7642724.505744748,15769356.76696049,10365.875849433458,2174.0878916469856
1700,2053048.9453963824,7797103.247370209,15289100.998978151,10602.439266341462,2278.276309456089
1800,2182286.7806334253,7831242.226684929,14621937.095354035,10408.340984847819,2327.844841815506
1900,2258356.645836318,7911492.935060042,14568480.693186201,10897.396604586966,2311.9149344021716
2000,2468669.4435233045,7793911.059479988,14015410.052630562,11264.680592767381,2355.2895380472937
2100,2544827.9776718537,7911953.8035074845,13934064.268693272,11129.286450688604,2406.4130251486968
2200,2623547.982793927,8001404.284483968,13900999.232127866,11195.024907362875,2439.7341869639313
2300,2687063.0907236603,8005951.876487765,13075950.690177618,11512.325280316782,2473.7095893327837
2400,2785974.2140265442,8086035.603314245,13404254.724898145,11446.026658342964,2420.331228651972
2500,2741476.872214288,8242062.585026259,12600650.266342808,11276.171999783546,2429.668608815556
2600,2894078.6234775293,8268758.032697014,12749237.274568703,11314.10369490031,2529.1174352929797
2700,2959115.664126716,8332826.068004413,12238583.039720152,11811.642088658416,2536.543082315075
2800,2931241.89294956,8501135.818163449,12356685.510151913,11790.089835123592,2558.38792104627
2900,2941227.945994494,8473923.717950653,12310492.967815474,11803.893856106984,2596.6074112317306
3000,2966830.551450628,8640664.517279102,12180400.139923055,11306.049497574757,2519.9047883638405
3100,3104847.14753648,8610118.15559183,11743925.527556643,11587.839883929622,2578.593685572544
3200,3158772.8596554133,8829441.95746781,11520920.592013065,11534.700344288829,2682.434619581836
3300,3197238.8667012416,8868186.50469865,11258790.702520933,11591.303236917924,2594.5938512062453
3400,3103446.367505423,8915814.843267154,10858358.300254464,11717.547431318064,2666.532686586602
3500,3205874.141016771,9064588.327869084,11415890.536514608,11366.71976793443,2598.339997641465
3600,3114480.382028015,9246383.164190225,10938265.231145117,11499.860034340109,2652.892900816008
3700,3151978.1522459593,9327491.366334314,10485360.28470171,11221.089084321462,2661.2701842982597
3800,3255590.8655266436,9337969.648646388,10546283.987988016,11315.722672442229,2721.2920576263837
3900,3188645.857553189,9494288.383283544,9943141.167335453,11007.691169614889,2703.370741411945
4000,3309630.031085495,9546406.98863105,10079146.550560007,10887.65329411324,2701.2360849875504
4100,3318361.765643514,9669281.054831168,9983460.484842403,10950.502021022392,2697.6518847876214
4200,3264725.7477028356,9764615.626180582,9776117.00905148,11233.537209072285,2659.353878761578
4300,3355098.9927965472,9775196.119741872,9393645.106773643,11014.01729720572,2742.443707564179
4400,3300042.582356052,9846878.299931906,9772490.502067344,10796.297316513303,2723.6706328569785
4500,3318426.6147853145,10036733.72426839,9306619.063471166,10849.895346988884,2643.703705296798
4600,3317628.4182714853,10158400.50583824,9448199.089495678,10739.018331059562,2716.5550688952394
4700,3312532.362757175,10145928.573624829,8941109.188834952,10501.400619598044,2679.65567135111
4800,3385725.300098913,10218537.320744345,8642971.380559549,10535.843310045417,2765.204239842152
4900,3315535.879317916,10394488.752154255,8221553.430719672,10476.065667802657,2644.245572284879
5000,3344379.2396335346,10424102.093916103,8192959.021955396,10169.336211021224,2690.9888620502575
