miliseconds,P,N
0,10035.855219834197,-0.4882542224851601
100,9787.823413708566,64.56922585969404
200,9661.031849763012,103.18747793159733
300,9479.948427441313,121.2956431639348
400,9352.982431167906,126.51157183662148
500,9253.472331211971,127.10496141037049
600,9069.82974264443,128.023078405567
700,8947.818867494027,124.8325362625209
800,8742.412410484712,122.683184522434
900,8587.833123656375,120.97486894751582
1000,8451.22913487859,119.05209335922127
1100,8373.422165628388,118.05451944101937
1200,8304.540135259045,115.01448736491771
1300,8179.1161774316,113.9475787996851
1400,7956.445659957036,111.98749166105496
1500,7906.359233071883,109.85689904726448
1600,7833.2459106378055,107.1899904509711
1700,7706.731275593251,105.23090185501343
1800,7599.3402353059655,105.1672580487518
1900,7472.556023028593,103.71551859271584
2000,7363.055112626546,101.48102574071153
2100,7330.625720903232,99.2566639417337
2200,7188.971182623922,99.02416872579694
2300,7061.945046478817,96.35251684053577
2400,7032.414254993713,95.38219067001951
2500,6920.431546654117,94.53491007018276
2600,6884.194684464727,92.49501356865277
2700,6712.708004453172,91.30551416276786
2800,6744.094951736927,91.00218736403312
2900,6546.546655334931,88.31012773532842
3000,6505.4355658259365,87.66039977501956
3100,6459.403692796919,85.51384987213017
3200,6348.236054058431,86.06766860492039
3300,6324.56576125375,84.55691774463718
3400,6248.415964944826,81.96473126546243
3500,6136.002860237525,80.85888434606649
3600,6114.803777605404,80.96930135426389
3700,6014.361905890444,78.86649579295837
3800,5980.100313185533,79.82556505321159
3900,5934.330719696514,77.4690038990842
4000,5844.844693884404,75.77525594982758
4100,5763.268300446921,74.88584217282829
4200,5693.369509831915,74.16083234369304
4300,5720.880406499572,74.3012517036442
4400,5581.833992186474,72.91375312308149
4500,5584.057384071686,72.38078136392618
4600,5446.565954395705,70.94225429043024
4700,5462.857830899086,69.94238931602719
4800,5458.973903156543,69.7038550202841
4900,5395.826495247246,68.13996886225644
5000,5308.986577733584,68.7471388891447
