milliseconds,P,N
0,9973.125489516935,-0.5397705600856216
100,9909.053783137246,65.23901918082996
200,9717.856881097405,104.84772839101714
300,9489.324114591001,120.88664203166911
400,9307.204684424485,126.34795644222116
500,9256.460502211035,127.22466463367093
600,9000.697828394621,127.96820100460997
700,8981.430902541537,125.88938810467434
800,8762.991757008771,123.20730294605427
900,8685.944126582914,120.66284361722622
1000,8439.33416510417,118.23381922983862
1100,8346.615984022765,116.5642089323222
1200,8291.319391432107,114.44342780190013
1300,8092.170336438324,112.94305069236451
1400,7991.072985113059,112.28505249474648
1500,7868.671493198511,108.35722601541661
1600,7819.274853483367,107.02960225733023
1700,7652.510113476052,105.0572425471664
1800,7650.789013023638,104.62274971360603
1900,7504.3242847325355,101.91232874721895
2000,7362.4469678652185,100.87774530036687
2100,7269.087599837853,99.43463927475418
2200,7236.362485554457,97.65375824705994
2300,7112.226051769878,95.98856466503575
2400,7061.620709647429,95.28083488667822
2500,6921.818213185339,94.87181552354625
2600,6803.810137855924,92.15496953241865
2700,6733.1582751112965,92.31488580682243
2800,6717.750373848099,90.6992693247182
2900,6540.447187928337,89.31055452894473
3000,6554.489745000213,88.59592523188107
3100,6456.115407388017,85.78766561615
3200,6418.469790175555,84.14965821725214
3300,6332.022452655357,82.94690660557862
3400,6204.734360298945,83.0230840572336
3500,6228.608818112672,81.35748406010552
3600,6078.0837899542685,81.5547388636543
3700,5996.87900287476,79.38259311259714
3800,6015.010379299121,79.60260839480381
3900,5898.206884480234,76.96748064437102
4000,5797.47575286352,77.43978217524021
4100,5736.371017461246,76.01959879775575
4200,5748.81314478964,75.58394454680669
4300,5735.164841094173,74.19019966455696
4400,5645.000309633837,72.29910920618781
4500,5577.359865620776,71.53961391041796
4600,5457.307484097197,72.2905573867526
4700,5387.1764461202965,71.1733029660858
4800,5448.037873824807,69.97512404783618
4900,5334.524746538704,69.43675694813079
5000,5356.008851985771,68.48483588212419
