miliseconds,P,N
0,9947.861953331838,1.0719976349257057
100,9889.791869786548,64.20257196090002
200,9748.649375355595,104.53795966670953
300,9484.563384860181,121.05606632932748
400,9307.580290808242,127.45431900516171
500,9178.322544594246,127.65442755238017
600,9120.140929275396,127.76670562116911
700,8883.781604259577,126.10010115874843
800,8750.907704013518,124.06141242435189
900,8621.274499775704,120.15286019273533
1000,8493.365552344074,118.36680382859207
1100,8313.672143711867,117.0982970283156
1200,8193.697231566157,115.58368625511476
1300,8164.152451804257,112.66820199609558
1400,8045.918929560176,112.18394651483038
1500,7929.392225712316,109.47228467930222
1600,7757.876935758899,107.49238782935859
1700,7677.778786632816,106.61155642164262
1800,7525.100616539145,104.72800423187958
1900,7536.952592235058,102.33319366853813
2000,7418.6184628201345,100.22863362274308
2100,7223.313958299131,99.44096927202847
2200,7250.874796355099,98.63950147616602
2300,7071.889398431634,96.23233213241429
2400,7068.525493827332,95.07692366164393
2500,6938.931162488699,94.0523217134549
2600,6795.28334020475,92.24420421775612
2700,6755.29849192907,90.71655088704883
2800,6658.431916924212,89.82832496060544
2900,6603.139764072442,89.2017408880147
3000,6550.074007645706,88.42704590264682
3100,6418.8584701081645,85.69066953187699
3200,6337.125608861865,84.3423876617444
3300,6286.417401425171,84.57120545195372
3400,6238.737418378873,82.15047756381392
3500,6146.969415177334,81.11668281612567
3600,6164.375743050079,80.17933183172333
3700,5968.508621644254,80.37620039220558
3800,6000.662011880961,78.59281777080646
3900,5904.14446133331,78.27963173642962
4000,5828.625190313743,76.14751071341422
4100,5785.429649626007,75.81478547676306
4200,5706.46429383209,75.25534611498027
4300,5676.327483110727,74.23111103459351
4400,5605.341590244157,72.8575810324436
4500,5623.696736201271,71.9601132051251
4600,5472.148208194803,70.42572737430199
4700,5420.10908973927,71.09741578356072
4800,5389.680237786131,70.20914606939674
4900,5303.285940047557,69.95708513215934
5000,5279.9193629899455,68.46159985368317
