miliseconds,PX,PY,PZ,X,Y,Z
0,2.561478857127603,-2.7315544596239105,0.9153513922357365,0.1964591502750726,20.25454044673938,-0.013691745501783786
100,-4.785913934501634,7.701387591487064,0.39769961870503956,3.1620641718222084,22.406806278787265,2.782003089088671
200,-0.9870545643826674,34.09614508406555,2.1368452411115793,5.685550916057383,24.767974115881394,4.973652136763795
300,2.064803002615591,41.79162354877871,9.158541148587487,8.371873258813459,26.618546864105593,6.231860477741929
400,21.68678057135667,58.684541010758196,13.163615024497632,11.106042271532687,27.938931456354055,7.167620026092227
500,29.822844245371595,84.964102056682,16.91535715127287,13.374963473910386,29.85518667424712,7.471731430886257
600,38.86914708093654,112.55827153169268,23.668132898651216,15.123970070644823,30.405044715782612,7.589832830147831
700,36.108732334472556,121.21259287188695,27.89003747632042,16.750914520858817,31.3851467305098,7.779572412487213
800,51.87406411088488,142.4660520681126,32.169707868878916,18.175597580620792,31.411478049990084,7.773209281732539
900,69.0982163482056,176.81076363774844,38.74229678117395,19.208343157810944,31.259008313773744,7.559910882440604
1000,88.6181184796441,188.67041086367811,42.76514834949173,19.777698527513344,30.716220881265812,7.440754854622659
1100,86.76225310319974,203.36515545798375,48.15206924038203,20.583088229370773,30.36092555855243,7.38132484803146
1200,113.27157853184413,223.7462834901149,50.31537004032164,20.919222226240766,29.757205922875503,7.273940406310974
1300,126.68641912971094,241.6349242127941,55.722040808186485,21.27241547982129,28.552169820270862,6.9518543899535405
1400,134.53968704518266,268.955065741139,59.47927862305891,21.632227377336843,27.97374688314264,6.903558522302532
1500,152.7182193814984,287.888356065378,64.96804128632769,21.755979325919927,26.983793719353155,6.698654684728663
1600,171.99033338883464,289.37928166744655,69.77916127581732,21.45516075441722,26.679333852001328,6.589950699705354
1700,175.3829989143526,315.2215502359436,72.07749962700105,21.5759614847845,26.099549343884142,6.3289964582091685
1800,198.35692361006986,332.3402869975515,75.96437104867316,21.53453706451135,24.984868726513703,6.15224956448469
1900,202.2641446277416,338.3155974182285,80.25148570116995,21.527787731655636,24.159676559524474,6.03142002102318
2000,210.38027067227233,353.8969377274717,84.15971912764684,20.998684041268874,23.508007557791355,5.823210236283704
2100,239.7892551564501,373.84003950523356,87.05040311655138,21.016858117999668,23.016375605427967,5.762128735819847
2200,249.984750242753,391.97165825141184,92.12570963103973,20.581732276707328,22.059696173473295,5.542012164083066
2300,252.87934246999154,392.81024441164305,93.3087350302158,20.56369240757013,21.77525686385769,5.375672496986911
2400,268.63992265165336,415.66128510743124,98.22225470537835,20.432841382275395,20.681124466721723,5.240321720994248
2500,277.4917036174693,412.54311461654277,102.49473665775632,20.25806509627143,19.948289807491612,5.11758411557061
2600,296.83573300974246,437.650737678385,101.35309942136959,19.97120891381376,19.353977210219963,4.95785524773861
2700,310.1271347110567,439.1061943008163,103.65926138171261,19.47307576787543,19.203054180307646,4.77449681190819
2800,314.6066241327477,451.3788261766596,108.02279949825511,18.982282025117925,18.31593592106487,4.5784198416062685
2900,333.4372015967341,457.75616784045604,111.2623131821579,18.73621431901185,17.958401710549936,4.49705394610185
3000,335.9819659133115,463.2096174472242,112.24640617192297,18.490877851255494,17.565844852526556,4.453458105267409
3100,347.82780813187424,483.69145222864745,114.42995574588895,18.22197067540884,16.712287817706198,4.352100707036492
3200,359.142775584381,494.9086625185916,116.57929445678069,17.706121695578485,16.394351710888337,4.123304838159874
3300,375.343730882325,492.10017716572656,117.57805287671509,17.849566465544296,15.427321588376529,4.04095676282272
3400,381.64552023311467,493.1481079454327,122.16220445935008,17.402045557247334,15.484341182548118,3.873816657950037
3500,393.9617388258454,506.96199104443787,122.73923976278213,16.997471898932023,14.32593469172093,3.7685457462890763
3600,396.6799770063684,516.4901503695198,125.43733513265676,16.861328013916662,14.233922458789506,3.628860394112101
3700,404.7360561324826,516.4115831968505,125.95437577285766,16.457573333430638,13.483984371646507,3.544661693582152
3800,413.45933492544395,518.3825218497309,127.14854019228545,16.068055607980007,13.082145361078643,3.4474814730112566
3900,414.50497837914,529.771637509516,130.84008823286857,15.735200699493056,13.222261993737733,3.454687869735476
4000,426.48561843377723,537.2330226353827,131.41467425513184,15.736695926161962,12.739722927618146,3.324098492533878
4100,435.7901468487176,547.3644565503181,132.56251998171624,15.428927836886908,12.247806515279231,3.1553907779107733
4200,439.28850337608174,537.127614264504,132.12944068355327,15.21391583558728,11.522162046874353,3.202119782204144
4300,459.22202075884593,549.8097496175056,136.1429767196846,14.940485430438825,11.50788418318507,2.9693098130490077
4400,453.9375258470953,546.4221012840695,135.13255415439596,14.274426141169007,10.885502495813737,2.996640471175607
4500,465.8491732326565,551.677520484767,135.3341778166559,14.000425580741444,10.684975621429308,2.9487202919780415
4600,477.86737571630994,563.8727221276796,137.65504267302921,13.930882111949446,10.182172700655713,2.856384791232234
4700,482.89637539760804,568.8084589071714,137.40778991976998,13.944772426433955,9.721549729829858,2.750215986341736
4800,476.1361475700433,568.5424683599563,141.2278623529891,13.553265841582208,9.624078151842449,2.605086602140712
4900,481.81427106497864,563.2074048596304,142.78154206356805,13.35094766067666,9.538588242139932,2.52716172341725
5000,487.8662297073798,573.279062744543,140.48707867555936,13.017070727153612,8.836098915008646,2.57250939750534
