miliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_13,species_14,species_15,compartment_1
0,180000.0064445959,0.3280000456519406,0.00681669611143919,0.12134130824300574,0.0001306832090781999,0.04328760804803626,0.04542665757064029,0.034000001365834025,0.0472850570617841,0.13104142355191223,0.00011608836141595496,1800.0023002027226,0.025527866748661338,0.02552786674863566,29.49999892350783
100,180000.006316234,0.3280000453009944,0.006816696087395324,0.12134130804844719,0.00013068321097592752,0.04328760797245065,0.04542665755317772,0.03400000130507584,0.047285056997345545,0.13104142351223583,0.00011608836131800216,1800.0058611453987,0.02552786674391585,0.02552786675223476,29.499998966902808
200,180000.00622488844,0.32800004497227336,0.006816696103316343,0.12134130791678217,0.00013068321959738794,0.043287607935643554,0.04542665748998707,0.03400000109556058,0.04728505723680453,0.13104142338193073,0.00011608836134521891,1800.0128090593566,0.025527866743611412,0.025527866753090638,29.499998984865012
300,180000.00616462124,0.3280000446885438,0.006816696083811093,0.12134130787172025,0.00013068322580692522,0.04328760790439173,0.045426657478897965,0.034000001151136196,0.04728505697554876,0.13104142320585474,0.00011608836130135684,1800.0180084218432,0.0255278667384039,0.025527866759451456,29.49999899363331
400,180000.00593217218,0.3280000444186727,0.006816696084110124,0.12134130779930191,0.00013068323101745124,0.04328760790382227,0.045426657429138304,0.034000001141030876,0.04728505703546285,0.13104142314379275,0.00011608836128125005,1800.018572968578,0.025527866737571667,0.025527866759585877,29.499999032461353
500,180000.0058742628,0.32800004411642164,0.006816696054181236,0.12134130769401096,0.00013068323403501433,0.043287607855979,0.04542665737575353,0.03400000102547738,0.047285057095027276,0.1310414230392682,0.00011608836131857237,1800.023076101264,0.025527866730422382,0.025527866763286403,29.499999036905802
600,180000.0056631515,0.3280000438589269,0.006816696061340211,0.12134130762241803,0.0001306832460205275,0.04328760783885176,0.04542665735099519,0.03400000129105021,0.04728505704812012,0.13104142294630797,0.00011608836123639819,1800.0333896967256,0.025527866730397537,0.025527866766327074,29.499999072883156
700,180000.00560203186,0.3280000435318108,0.006816696117272247,0.12134130752343862,0.00013068324966860633,0.04328760779088587,0.04542665731966868,0.03400000121393212,0.047285057119000024,0.13104142296075233,0.00011608836136543766,1800.0318296650603,0.025527866725553388,0.025527866769905837,29.49999909867945
800,180000.00546037496,0.32800004333301397,0.006816696107502313,0.12134130740163568,0.00013068325677729865,0.04328760774834878,0.045426657290485534,0.03400000124710227,0.0472850570108198,0.13104142281424602,0.00011608836142225168,1800.0390781578262,0.02552786672404151,0.02552786677564033,29.499999121076016
900,180000.00529124957,0.32800004306185004,0.006816696118840101,0.12134130736289689,0.0001306832630770537,0.043287607761975926,0.04542665730515661,0.0340000012973971,0.047285057081417586,0.13104142269024413,0.00011608836140878233,1800.0450103451524,0.025527866721404276,0.02552786677691396,29.499999131711984
1000,180000.00527036056,0.32800004276858413,0.006816696113173122,0.12134130725707998,0.00013068326700665356,0.043287607740442345,0.04542665724332837,0.03400000131320297,0.04728505712201584,0.1310414226131684,0.00011608836135681542,1800.0500384139852,0.025527866715858074,0.025527866782467924,29.49999915060282
1100,180000.00526534158,0.3280000425767308,0.006816696126210635,0.12134130721343878,0.00013068327066961054,0.043287607712864974,0.045426657222010294,0.03400000132347397,0.04728505713990961,0.13104142261274945,0.00011608836138293119,1800.0583340250691,0.025527866714266188,0.025527866782686755,29.49999914981658
1200,180000.00502528224,0.32800004233343044,0.00681669613200305,0.12134130714277257,0.00013068328312434356,0.04328760768826193,0.04542665723545728,0.0340000014668062,0.04728505739691581,0.1310414225569468,0.0001160883615534237,1800.0630464467692,0.025527866710714647,0.025527866788390845,29.499999154242012
1300,180000.00500770155,0.32800004206757094,0.0068166961251951135,0.12134130714472323,0.00013068328307463592,0.04328760767615825,0.045426657180870814,0.03400000127719286,0.04728505736217318,0.13104142257538007,0.00011608836157909765,1800.0644182873868,0.02552786670931873,0.025527866790662407,29.499999164886336
