miliseconds,RuBP_ch,PGA_ch,ATP_ch,BPGA_ch,GAP_ch,Pi_ch,DHAP_ch,FBP_ch,F6P_ch,E4P_ch,X5P_ch,SBP_ch,S7P_ch,R5P_ch,Ru5P_ch,G6P_ch,ADP_ch,G1P_ch
0,0.336509354327907,3.369715545507934,0.49805880944847,0.1484602261110195,0.013362683776281128,1.5707949866893605,0.2930924235896467,0.027733338816578995,1.3686610860574664,0.4082533687668953,0.0036334727155488376,1.562949154973997,0.005401017040873658,0.005982186337624446,0.0023539120047813816,3.14779861929934,0.0014893495667458064,0.1818790795371987
100,0.37556588655943485,0.9478005127946142,0.49766186859031664,0.07694629775333386,0.010431221237318414,1.0729704741430957,0.22963707719477688,0.01709321463022185,1.8260422770120697,0.7191894541303846,0.0022302655090327018,2.1411029184381967,0.0009391110753390662,0.0037293240155210233,0.0015014097695288814,4.210056180314345,0.0018885880092854735,0.24371258648075347
200,0.37143350840484235,1.055188967558673,0.4974473658471357,0.07620917423215882,0.01006016935771517,0.7609731950330781,0.22125451582956157,0.015751772913921908,1.9277584040186804,0.7287266486687383,0.0022365226067242194,2.091629354984968,0.000984597478778438,0.0037472674759981856,0.0014899679394051598,4.438903927489597,0.002109853639661675,0.257153696261845
300,0.37210356956883933,1.0558988449475126,0.4974293379982664,0.07626354279971759,0.010044677529956232,0.7394810628316867,0.221549314849094,0.01572847692125295,1.9230523015870087,0.7277422014645458,0.0022364937001714894,2.100076105021962,0.0009901736504647528,0.003745883317754975,0.0014965285112572032,4.425726858522887,0.0021212525803853276,0.2566741916400983
400,0.3720056961944392,1.0659914930277403,0.4974277849324353,0.07682331573597442,0.010058469183682976,0.7418933900498874,0.2215964104654661,0.015810360583551262,1.9266209766216142,0.7304691685099968,0.0022228093535673955,2.0951350282414123,0.0009593400524455831,0.003722957676390693,0.0014885074498984707,4.430264558122471,0.002121900657337029,0.2564311200039536
500,0.37202589825355736,1.0611945306639308,0.497429237750705,0.07686797152726886,0.010058140357598121,0.7465862878326851,0.22103617038027817,0.01576081879689416,1.9236714721137034,0.7284928443496499,0.0022230501287721287,2.095498940851785,0.0009992485256682074,0.0037320607733570214,0.0014911213332338292,4.424940746940617,0.002120487822922214,0.25625367489206324
600,0.3720354404713116,1.0500923843010521,0.4974316018316841,0.0768215938713798,0.010056566371198214,0.7369426553312071,0.2215331798864352,0.015744075921647803,1.9230209794409083,0.7302122509104424,0.00222064257230584,2.1000343370746424,0.0009861521123707495,0.003721199323078514,0.0014926817227703085,4.429792606216679,0.002123462798906783,0.25679102905183177
700,0.37200956005471747,1.0550380192835476,0.4974242707501312,0.07631781361994744,0.010069508988168569,0.740952029323944,0.22095989080199485,0.015857569039506313,1.9233476505171316,0.7306345444167859,0.002220043184589627,2.0949947596971823,0.0009996473361306392,0.0037218862331273015,0.001488664978144717,4.419296335725978,0.002122573663539757,0.257134174461432
800,0.37208706700091393,1.0670276775818073,0.49742847687095076,0.07703182116892261,0.01003949409084517,0.7467637316138501,0.22134821426269763,0.01583828404730944,1.9255707646942548,0.7281765334318462,0.002222203126670406,2.0941837298207666,0.0009525549208729575,0.0037217779094756947,0.001495232079828433,4.424080871161564,0.0021241556748981486,0.25624875294888544
900,0.3719955667113352,1.0575663364656318,0.49742997833001185,0.07645108857923298,0.01006025513416291,0.7394739402575389,0.2214552986941112,0.015843042664747335,1.9250290229659475,0.7297512998340513,0.002238978480836881,2.096644982610808,0.0009661006485905976,0.003731000911628813,0.0014961250636947388,4.425012274349454,0.0021227129879819663,0.25672639198008884
1000,0.3719895041448716,1.045538246839369,0.49742824993333634,0.07674701935310325,0.010061065999879904,0.7412160102863605,0.22132779429961794,0.015809931210472118,1.9215357115260805,0.730231084826818,0.0022296903783217237,2.0941319341156635,0.000975012887229884,0.003723011669444217,0.0014881240155354852,4.430675846087595,0.0021245162981488935,0.2562747438978644
