miliseconds,S4,S10,S12,S19,S20,S23,S18,S3,S13,S24,S26,S5,S17,S22,S25,S27,S16,S2,S14,S11,S21,S15,S1,S28
0,0.4179558210485775,87.4416638780047,-6.599083932597205e-06,-3.3996776045064024e-05,0.00037804537453325096,0.003972808989476492,0.00011952410331093624,6.2533042885590016,-0.000342462006262128,3.456098124401307e-06,0.0017155994196108445,0.9999997903466938,4.880482152464544e-09,-7.979054041010922e-09,-6.342824381580998e-09,3.6901239563156113e-09,-8.418553215632133e-08,0.059857927845457015,-0.00013910869583295027,0.007745275028705717,-0.0016381339004416808,-0.0005734248795236599,25.56427077878621,-2.587802414299197e-09
100,0.4227498197241441,912.5960004319943,6.085574989500985e-05,0.00039218142583164703,0.0009230204146674114,0.9547205233711175,0.05462368800325617,4.931585817465863,0.1328705332315042,5.7768107197752445e-05,0.0020970050068634884,0.9999980713205167,7.617437251664865e-07,5.600024494821658e-07,3.449779899071145e-07,1.5856217977511877e-07,8.80876679012288e-08,0.02316082539942048,0.03694810112726676,0.2806748174997266,-0.0014764156447053145,0.0002352096317178555,31.444878249171506,7.070841613901867e-08
200,0.43248031438232803,1681.8612153414813,8.330450758298026e-05,0.0006860528293609749,0.0023997875513461007,1.527804342941492,0.04963772168266136,4.2450506543924265,0.09553595486905433,6.380735001286889e-05,-0.0007468692902111975,0.9999964288850404,7.371627226984525e-07,7.385523911848517e-07,6.786343730000496e-07,5.604484611187141e-07,1.0861478680838642e-07,0.025960322184326756,0.035262653068748546,0.4298688202218169,0.004011776228373694,0.00033871415286843996,36.805375225361836,4.1226552313295425e-07
300,0.4343583915541383,2278.770936200953,8.979270905348117e-05,0.002924691734101542,0.0030166891210016825,1.835674873901013,0.04303529462014663,3.8352022664050245,0.07221317062693716,3.4930725817769344e-05,0.0013243164170050675,0.9999945985356451,6.256729313378202e-07,6.72520816389251e-07,6.955077705004682e-07,6.928557694004319e-07,3.255617507179718e-07,0.027631362037916395,0.03338970834706057,0.5026359581122283,0.005843036475584194,0.003602905031010752,41.28757716990401,6.475868445926509e-07
400,0.4432563085776255,2971.172931565481,0.00010839238328822316,0.00354358914862377,0.00368450368508137,2.034044681288821,0.03716225959926347,3.5063286588980347,0.0548375499582809,4.449971480863905e-06,0.002715605742016413,0.9999936674551472,5.230832549495379e-07,5.652129003743813e-07,6.100850053853781e-07,6.42648111930305e-07,3.2285412356858604e-07,0.02928986566153831,0.03297790098677046,0.5850546747399277,-0.00012187619294718263,0.00723618055835857,44.20155613840991,6.666129249382024e-07
500,0.4481154809125611,3511.0577865019345,0.00011349013193639798,0.0046335957729601905,0.0040496634427543855,2.1242334010354904,0.03200513828547767,3.24926767567368,0.04599481011937452,8.792396656449883e-06,0.0048341080816450555,0.9999922993459935,4.5146655130981865e-07,4.843288473259071e-07,5.216616931110891e-07,5.577315556590903e-07,6.082176675495193e-07,0.030503347122996242,0.032130237121306394,0.6560501259062451,-0.001268502808220146,0.011641352630055916,47.43713135114412,5.865192880950692e-07
600,0.45921777751093135,3928.525287317178,0.00013434387883853427,0.005406860957454965,0.005418056813109925,2.2052106208065436,0.02898737538482345,3.078603714178702,0.03910975733935649,0.00010975238697485041,0.004337355842746523,0.9999914704080674,3.848898232821462e-07,4.018884196026127e-07,4.340340758082031e-07,4.685683686242664e-07,1.0134711860820269e-06,0.031070313917665814,0.03148863562692364,0.8350729438299469,0.0026271094440989944,0.013604213837126405,50.08091797451267,5.002027519240682e-07
700,0.46478965251220866,4411.255590775429,0.00013222169023766083,0.005562543173542719,0.005361150241418936,2.2103965718510583,0.025198270782288312,2.9452782503724815,0.03137028109590977,-1.3782471135634301e-06,0.004940780789000636,0.9999905240508618,3.27261063563452e-07,3.5828929216602136e-07,3.742009426061883e-07,4.040996045564951e-07,1.039739783045746e-06,0.03176765594204093,0.03116405038719326,0.9328533813836586,0.025146491025997454,0.018503355062065983,51.6762145921321,4.3097976041956675e-07
800,0.46960411658389967,4887.07438685325,0.00014715983244495114,0.007152725945099095,0.005795913427135177,2.2253430469189106,0.023253949377217604,2.8228140643476287,0.029250292114387285,7.457842210265996e-05,0.0071402069121592774,0.9999899281575806,2.9951158902395913e-07,3.1784792857725624e-07,3.2313029519758893e-07,3.4928489080678037e-07,1.370636193563001e-06,0.03223412718060854,0.030712895309450036,0.9762711107675826,0.022674064093852753,0.019656319705156095,53.2285687050977,3.765353100450738e-07
900,0.47148164300921486,5359.318154957794,0.0001569278728064944,0.008348278391336528,0.006605718888078835,2.2257882482912907,0.021300929525343792,2.7713052324473213,0.025241109464282773,0.00014459892198893224,0.009451179690863164,0.9999896539673176,2.608456445199836e-07,2.7479927723567037e-07,2.8860271963065806e-07,3.0646942291952836e-07,1.6137047714702421e-06,0.032893589236229134,0.030347805489857604,1.0550250475508922,0.049678697381316195,0.024061099925570272,53.9912468118606,3.228950297972247e-07
1000,0.4805026641633389,5586.190647839441,0.00016097921280453835,0.00858876559041204,0.006633764353777625,2.223084691453488,0.019003238557430895,2.6502764295793804,0.02266731381883011,0.0001860170196778213,0.010758724892924138,0.9999886333465708,2.402651588517081e-07,2.482223726660436e-07,2.6487716767239134e-07,2.786763387711228e-07,1.7435686221545691e-06,0.03299635343427579,0.031015803251870682,1.1943126739011267,0.06801349189421177,0.027303436126431803,54.198076718560294,2.9223797213750926e-07
1100,0.48585986930982145,5882.512424462018,0.00016367109033330147,0.010261036182736502,0.007845150399636697,2.199918931766059,0.017434889351755765,2.5209121457981376,0.01983793971443669,0.0002595755202106777,0.012109113215722191,0.9999882581008392,2.3070565576153113e-07,2.3538136978855858e-07,2.413957330903088e-07,2.470520335424832e-07,1.8721680575411233e-06,0.03296251416139722,0.031116666327500493,1.2638397946444497,0.08659561188194902,0.029559951268177894,53.40919324237362,2.649921716426316e-07
1200,0.4897824766239821,6104.127398900454,0.00017469094928266885,0.011276091447193187,0.007757224987665412,2.1579552633320493,0.01604055732141136,2.4513246500057653,0.019480841978349782,0.0001754517624581984,0.018264011030193286,0.999987630568489,2.0024709404052494e-07,2.1987206120665278e-07,2.1759885908065885e-07,2.246780850966353e-07,2.071558655238065e-06,0.03270828824081293,0.030743512171363438,1.3885903391281649,0.10638588591649913,0.03155324310796044,52.86205645004152,2.390135129975901e-07
1300,0.49049458974437987,6399.354534185494,0.00018861553856256862,0.01201907473894289,0.008062835900864982,2.136252287677246,0.014386981200083518,2.4380127319211997,0.015698722158425247,0.0002956233142559855,0.018392896248327836,0.9999871665226133,1.9409735489940328e-07,2.0259265163752745e-07,2.0948199797573707e-07,2.1888323076352148e-07,2.2428432555511663e-06,0.03296812394407783,0.031182447581719692,1.45777210988253,0.12983808007433284,0.03378358655402458,52.35422950771608,2.2537605133085805e-07
