milliseconds,A,R,E,G
0,0.9964476849181501,-12.783623910592134,-102.45417360089517,100751174.1787398
100,2.828502256591532,43.97936390520928,95.62750134282565,61097305.107690655
200,3.9177383010058056,124.17463250266779,589.4655569686199,36503701.558258496
300,4.381830511547018,184.7149361750381,1025.8758375592156,21850503.060097434
400,4.637864040220649,295.49100432502,1413.1656462072506,13675739.860830974
500,4.664668841281036,407.93130115819645,1709.0930943533826,9243940.72556276
600,4.592125992309889,510.0528211587042,2111.702018537319,5874250.420036773
700,4.514840031632951,577.7654993286945,2564.669741023866,4271303.077839745
800,4.348259250819539,657.2797735619355,2934.4671506373406,3106128.1766084684
900,4.169426090495435,784.0551337988288,3357.459652360918,2356522.1600661473
1000,4.0131019392533895,851.6200713811693,3585.61182210454,1684756.280891688
1100,3.8869885586496356,927.9646072282231,3865.9652591329886,1262566.310324894
1200,3.7609943996374273,970.9552182724223,4212.020885217624,1073718.9523488996
1300,3.597641435799336,1069.381700103733,4516.092272855393,2343895.4856821685
1400,3.493068006213855,1110.8892284840483,4744.508185638104,1643249.2468834815
1500,3.342883219285357,1200.8558684680756,4890.603695477907,2396916.1876335423
1600,3.167478360769631,1240.7786001142529,5093.041421968803,1961138.3520696547
1700,3.083147643588949,1314.0916061572277,5276.88960530165,1643155.612827418
1800,3.024227086020506,1376.8810772664401,5418.9022705249445,2140067.5023364564
1900,2.8615286320638713,1451.2108301487842,5595.019350532993,1901287.9106024574
2000,2.844774726618862,1466.05448482812,5821.49686955464,2086503.749727684
2100,2.719511951094472,1510.691667776832,5983.637751740791,2820276.781585502
2200,2.692699187771803,1580.657309069537,6041.858304974609,2492747.9453112995
2300,2.5289064015276383,1574.3938953705429,6105.953073418647,3160042.61696802
2400,2.505524572951224,1614.3081102529952,6324.77511025304,2173619.269481238
2500,2.4847085935133912,1653.6809266208456,6247.827577065537,2482837.5372538823
2600,2.3887449134995435,1701.0340322157617,6434.8453220870515,2449664.8338956065
2700,2.3363664406252127,1712.7773354947244,6398.661855486505,2822710.0681676827
2800,2.240731586543598,1747.829608464865,6639.742248256724,2263402.1641557114
2900,2.2118600300035425,1759.5713169549738,6532.35393825789,3124643.2930325367
3000,2.1287100624957342,1798.533742518761,6580.398283863902,2172697.201571073
3100,2.163000898539844,1797.0654610560796,6771.089400784633,1959866.472878087
3200,2.0714719276939557,1813.3353106866234,6684.279076188427,3362744.2596807326
3300,2.014131285652023,1857.321288394789,6771.596995239585,2307393.7438120623
3400,2.025572134107622,1891.035150885761,6741.394112882413,3413131.056611646
3500,1.9525933045555965,1880.3269003161174,6779.94201813754,2068295.3155057211
3600,1.9815628342316547,1913.2193299963437,6835.099128154159,2594956.0389592904
3700,1.8882523670443854,1894.659194875243,7008.968435728079,3324865.5837419103
3800,1.8865477380910696,1951.5773958506154,6998.179986606885,3376896.359011415
3900,1.8378377995094974,1943.4317980292967,6935.637464173778,3472466.5044439645
4000,1.8193753782585937,1973.843839443467,7011.577853371912,2022213.0098225416
4100,1.821009277657004,1971.9218019537802,6903.600567312935,2677114.6782669057
4200,1.7726201267394905,1983.2751229442665,7061.282508799405,3601790.702473258
4300,1.7820465134597188,1955.1089004059456,6929.673283346842,2430994.0260452824
4400,1.724708020552713,1985.724746149083,6997.689501592587,3494217.9914534087
4500,1.7190198190242738,1957.271296249564,7038.713797672106,3314138.4720772114
4600,1.7078417570223856,1973.9358719518407,7037.627976828502,3229861.1755108195
4700,1.6936331143080845,1966.3047741868427,6930.10534048073,3332547.2033996773
4800,1.7349283217403493,2012.8243453716486,6925.495571512172,2937129.4852815066
4900,1.6851117151025303,1966.5202221644595,7064.36939650688,2119927.960476421
5000,1.6171697459403533,2011.8971073464534,7042.46364413035,3007714.9025029624
