miliseconds,A,R,E,G
0,0.9971194189769098,-26.65787399983192,93.50013872289153,99244252.27119714
100,2.9093939899186023,36.91916994259394,116.77967193370503,60828741.31792998
200,3.8454800418397936,86.56260111870286,588.457731647217,36323816.17419887
300,4.447430459875117,196.45422442781106,837.0762205484917,22207937.39690857
400,4.617982198090747,295.73660268719414,1385.7341022171745,14499529.61176199
500,4.660122945164534,387.3717101187388,1764.9380346296607,9035648.394426927
600,4.60375512295413,474.76986011475884,2255.5710566652474,6276321.138008054
700,4.517816661135139,549.6007189625052,2622.2690190175595,4543725.866735998
800,4.305189204230035,646.1619906553085,2871.3384691105834,2251739.186783056
900,4.212064752979747,737.5369338261958,3380.0531337836283,2101992.017582474
1000,4.084692992653573,811.7195961563378,3621.6253804866847,2582847.4204688845
1100,3.847628705646937,952.1347299597679,4043.147534074176,1493968.8661453798
1200,3.737690347302842,1023.7543084434633,4273.187351550075,1824845.310860268
1300,3.630499364700724,1053.317791186985,4473.7233114064975,1910821.7724112233
1400,3.4526358454910957,1138.8202028411615,4625.935270788521,1438816.9591304294
1500,3.2831738198018745,1177.3994794117568,4851.5900261728875,2323211.3465254176
1600,3.1730142970921955,1274.4659633595477,5060.929957706553,1148858.7013969952
1700,3.083296266335488,1350.668761416643,5231.435623225908,1783181.726367618
1800,3.0375490172569752,1404.4996410898218,5431.73457260642,1761042.8143805736
1900,2.945400055890695,1410.4023057178035,5543.540076270827,2897879.969865607
2000,2.820158086785207,1478.9347549511447,5841.93002667073,1610573.8329969607
2100,2.696213094137808,1504.4710153739727,5883.05135928138,2034032.4701356485
2200,2.6883248540512246,1574.2141310625434,5947.867723226118,2568846.394032457
2300,2.6221036177064163,1593.7959927891131,6061.777517932286,2825695.8474728437
2400,2.5101234913616577,1603.1522411880076,6181.066966978648,2037458.909887257
2500,2.456133811808967,1667.0301212675831,6328.109381988849,2818417.7264774754
2600,2.3554342977794045,1721.2858731213423,6318.561781706299,2596611.430291962
2700,2.349866822950685,1707.211652594534,6426.365806044502,3137349.311185466
2800,2.2916074843273164,1768.1287437669255,6505.00472225013,3034202.4816092667
2900,2.2614717373637467,1801.9716947127922,6667.988015315207,1853894.7720958423
3000,2.2191323432212497,1806.2099913319812,6675.268860943858,2361805.0663991105
3100,2.1776367488755017,1817.62555003574,6650.905034993566,2279373.626092375
3200,2.12623233314053,1825.6393597504268,6796.537676958655,3072942.1920954892
3300,2.0784892929466205,1838.682513552808,6721.211796941876,2634285.426383064
3400,2.0024065050108044,1896.8755566475347,6902.055756284504,3432650.840804572
3500,1.9819842705021402,1882.609255547741,6771.093775606012,3425947.141429902
3600,2.0006504486701306,1914.7725981868266,6788.489483149767,2769809.3508386565
3700,1.9232334406274154,1912.6130322344443,6999.1638521629575,3460488.0086692665
3800,1.850144760669808,1920.173791083589,6910.817596831008,2002951.6000205418
3900,1.8823689323619535,1966.1987106215486,6844.987314173616,2577613.280802783
4000,1.7987427373882783,1932.4521099762612,6881.2489993734,3506515.834084118
4100,1.858477194577291,1942.8468296946824,6938.142091977058,3307540.383815071
4200,1.759941154777364,1988.094639912677,6892.423518821556,2798642.274944574
4300,1.7529378967649882,1966.0535447397926,6915.127186748889,3246005.617418758
4400,1.7898085364751382,1974.1973726419892,6961.908795715955,3070229.210728358
4500,1.722316475903492,1986.8471737600366,7082.838204086129,3562295.256523611
4600,1.7022347822506176,1985.4566764837223,6934.469197867487,3413251.634004768
4700,1.72490008143194,2016.7757561280848,7014.068219806608,3198096.4105365183
4800,1.7184920602435627,1995.2906651934652,7002.71420671081,3201684.879181782
4900,1.637010118700699,1998.8289848643192,7047.139424690015,3483063.9424114944
5000,1.6497973873309906,2013.3680782319593,6923.526034479817,3477133.374562124
