miliseconds,A,R,E,G
0,1.0453612133369763,13.579359234655099,-55.187922215471545,99521369.78824659
100,2.8487404302817954,40.25666884575897,105.75462670147256,60117602.52903497
200,3.9002124198510795,84.84110529453035,468.4025303437756,36902795.860448964
300,4.393188355815421,186.37563946180217,941.9879399765862,22865592.511917584
400,4.670224766781143,306.2519283198504,1454.6945797936135,13866755.943836026
500,4.697961884938111,393.4922977128827,1741.425787246885,8353517.792349602
600,4.6088734396163735,502.42390845763276,2290.457245252028,5153196.489777587
700,4.5219698263297055,565.0043361618838,2612.9050318239374,4315621.870415891
800,4.330593131168387,683.8751186328554,2971.9584824515287,2578756.6697799424
900,4.168768691194274,766.3974131495778,3232.0726267452346,1666078.0112617011
1000,4.043154540780087,870.7954268535532,3585.494900659183,1709797.392415337
1100,3.9169942004177964,925.6156856064815,3996.5654011972256,1261135.0128406845
1200,3.7604547101101238,1028.7179828460835,4186.566841403992,1984832.6623399926
1300,3.629593359560273,1049.548472198461,4454.940354906138,1796004.240477262
1400,3.434252850837355,1172.1741160413833,4707.840056591747,1151091.6956585785
1500,3.356007217866641,1223.6525189528084,5008.022501036968,1924129.9375568638
1600,3.2454971245125703,1240.5726068968881,5111.801654684499,2324215.149515185
1700,3.094307155683479,1337.5429770784394,5406.364769655305,2427486.3598938603
1800,2.960266361277657,1389.9412273295438,5582.769583071417,2151228.170758752
1900,2.9089718528629045,1438.1874760517264,5672.66452975659,2204176.00220004
2000,2.8496939595380337,1491.9923960886856,5763.248527413174,2526279.7252831655
2100,2.7021365581288412,1513.402523207734,5836.662777456849,2727636.671228681
2200,2.6584569912665064,1558.1216649526657,6008.676485282506,2599600.9673897256
2300,2.5393575443907195,1580.7269633774429,6043.080909172333,1889811.2489833343
2400,2.4977076928960664,1616.981604707424,6286.397188284825,2321932.407269625
2500,2.41631746066215,1694.0244334552774,6260.687727709516,2753002.1028617327
2600,2.3577064700877863,1717.6850476334887,6350.072476085814,2540774.251023541
2700,2.3113666629049314,1727.4145202825114,6582.530050536302,2065398.8310514248
2800,2.2348910128577564,1771.6496209780566,6630.12432991624,2957863.2954441253
2900,2.2539275289138154,1805.2248499744794,6586.585252485288,1910333.1284072585
3000,2.202410781371542,1800.2941890322254,6671.04160883113,2046409.6499859034
3100,2.13013358780084,1808.111825629064,6710.595909056452,3014150.382438659
3200,2.0774304416399842,1810.5735038450462,6665.002237538799,2045640.0648878799
3300,2.0685925097958786,1857.9373298528772,6872.124408639171,3280803.0596327046
3400,2.0028061141507574,1888.12421607185,6867.19894588914,2329287.3695912026
3500,2.016224260375561,1900.2720364832862,6892.356512185163,1897135.7931327303
3600,1.9311041580747959,1916.2427136227413,6828.952601348883,2983131.852443749
3700,1.9163301260043422,1908.0472571329597,6814.701227062122,2907666.9643158307
3800,1.9130254512270934,1902.6855315279481,7015.237392424545,2708029.8276723186
3900,1.885838246075806,1967.3483660667869,6963.389145778288,2042598.791465538
4000,1.8452216670072692,1951.3924459958178,7057.422995417205,2298204.5418571844
4100,1.8096169493474232,1923.7116919574844,7019.383055130732,3142968.259087433
4200,1.7995601698921646,1940.4792391211688,6983.946573323054,2225503.8572616377
4300,1.7907846483887366,1950.826026451514,6935.103125219081,2160774.9532491188
4400,1.7139300838755354,1953.1533163698434,6893.193215896102,2335367.988986536
4500,1.7049187573308835,1959.9994203218548,6914.217287602787,3230523.1610667943
4600,1.720983462482508,1979.9246055829058,7047.985641038895,3547242.9154301835
4700,1.7365208030469796,1996.075774864191,6909.2913767541,3137745.7863435717
4800,1.7019684319622432,2012.6798571104152,6999.109815400491,2065412.6548660547
4900,1.6410659594420978,1981.6222704850807,6911.2546382964965,2591534.0694743483
5000,1.6895140513421272,2000.650496397825,6973.226322442227,2654394.2642498557
