milliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,ROS,basalROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AggAbeta,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,IR
0,5.00036567927856,4.999153180092321,94.99996740629351,9.999952131422718,10.000000000000615,-1.0543692097216287e-11,199.99999999999176,-2.7525073054165705e-14,3.3956750070373143e-10,2.3311065150612356e-21,10.0,2.3011551142707545e-10,100.51864312817914,100.31543974976127,0.6859139705958187,-0.013747724860141301,499.9999999366088,3998.5730558983755,200.0,200.0,200.0,0.003011765479510109,-0.0002986950118392635,-9.497667362015832e-05,7.714722691067844e-07,-1.3680316590734662e-07,-1.0826972725587355e-05,-1.2254825572250392e-06,-1.090581711653831e-08,3.888312027810427e-09,3.751740934090738e-14,3.253250203668746e-15,1.6243220405603715e-18,-3.2540520984285003e-18,-1.7518094434060547e-09,-2.9906862824577323e-12,3.380845877419953e-21,499.999953004922,0.00020427087344344137,4.345666882591812e-18,-1.766755079039565e-08,3.1890717622647297e-19,-3.4345895733014765e-16,4.393486690666805e-19,-0.0004812680708975826,4.197582020236004e-05,8.183545311429633e-07,100.00057995607231,1.665442253067124e-11,8.246210345190074e-14,8.875357170983332e-08,50.0,-1.4535723321877136e-14,0.0
100,4.998267300180175,5.004095774782563,95.00092183212007,9.999867400450732,10.00000000000012,3.5791378052856415e-11,199.99999999996987,-1.2489409241223734e-14,7.030176145638317e-11,2.5902775975869743e-22,10.0,3.39071020666823e-10,95.33114520940005,100.04780490350583,4.116510331224985,0.10398312662141998,499.9999999163132,3995.817968452913,200.0,200.0,200.0,-0.0018947290383103388,0.0005319685254334721,9.334413318570233e-05,3.351758554782669e-06,4.784203686227588e-06,1.4709469894106845e-05,1.0546980363048528e-06,-3.4957608610322855e-10,-4.524881313102317e-09,4.660379829881042e-14,-1.067882922195151e-15,-1.5420598500448093e-16,-1.3928009098984906e-18,-1.7832263812545284e-09,9.304359102291003e-13,-1.5734891662740432e-21,499.99919317018293,0.0002577563670801167,4.409157714235571e-18,4.231486252445849e-08,4.653610402219368e-20,-3.649958504439432e-16,9.671986114368892e-21,0.0007788140922696348,5.084876568925092e-05,3.80961997688566e-06,99.99874411878174,1.363312621364395e-11,-3.061428096066018e-14,-1.2887300534965755e-08,50.0,-2.037150263270734e-15,0.0
200,4.99648285123803,5.00967883986184,95.00636084383929,9.999435820213339,10.000000000000373,1.9476208702682643e-11,200.000000000024,-3.622048755339159e-14,-1.1424528235786418e-10,-4.483299655004098e-21,10.0,1.5556094519797238e-09,90.84393146273706,100.24996166553751,10.209322338697604,0.09427074567674448,500.00000004468853,3990.99434785903,200.0,200.0,200.0,0.0015790587708136327,0.0003743005570646307,-4.2409128774521916e-05,3.051487872073839e-06,-1.992415074298709e-06,9.562983281662978e-06,-2.1045527588936247e-07,7.494821280299031e-08,3.1186098523745723e-09,-3.7923017371583555e-14,-1.5874207330139736e-15,-1.341316191920707e-16,5.736794973760481e-18,-1.5884482106165698e-10,-1.4260732821541479e-12,7.622247161927611e-22,499.998732902983,0.0009940101958032452,-4.8889591327083336e-18,-2.7603862883893656e-09,3.658765984403004e-19,-2.404581809390915e-16,-2.4215897243150918e-20,0.0019255098749100352,4.465211130183905e-05,-3.2422800037928633e-06,99.99857613930169,-6.039352472440354e-12,2.2465799014899765e-14,6.212468303777372e-08,50.0,1.9836048934599135e-14,0.0
300,4.992516746628801,5.01180603619956,95.00868934985613,9.999381648632879,10.000000000000712,-2.176526477855289e-11,199.99999999995455,7.860485822212938e-15,-3.2452693091110035e-10,-3.794321675108028e-21,10.0,3.3235127383070976e-09,86.28953578056533,99.58486175721752,14.862092392561706,0.30700979265471234,499.9999998952051,3984.0056520231437,200.0,200.0,200.0,-0.0008733724973043895,-0.0006604856711384415,-3.193229098696671e-05,3.402524629102879e-07,5.443190340572099e-06,-7.203222985125928e-06,-6.080574466704607e-07,-4.996354970692379e-08,4.8350122728297255e-09,2.5750001420512224e-15,-3.494055503825157e-15,-4.5458530548025096e-18,2.209291463867256e-18,7.418106982725364e-10,-8.067861895476419e-13,1.0239729668972591e-21,499.9981359644214,0.001757914665668774,8.840468692692195e-18,1.3700786546726785e-08,-1.2985548864572375e-18,1.080753963641879e-16,-4.081563836505575e-19,0.0029097848622740047,7.042740042549454e-05,4.6161554893588385e-06,99.99725208353811,1.0012784566642783e-11,-1.2398312338029699e-13,1.8585638968299107e-07,50.0,1.0278901177252041e-14,0.0
400,4.9903664100833955,5.013280448589189,95.01209015634659,9.999007266067615,10.000000000000114,1.976486644478184e-11,199.99999999998397,2.9777447898846994e-15,-4.614952856381229e-11,-4.326390703557712e-21,10.0,3.6218012924567477e-09,80.43758042969024,99.46896094801116,18.55014511851635,0.7040539931141994,499.9999998492591,3979.9047592279658,200.0,200.0,200.0,0.0011285020468027917,-0.0002764340369406623,-3.0045204082077902e-05,-3.1929605656500243e-06,-5.0663618503612144e-06,1.531348976248545e-05,9.600842123556082e-08,6.148242105825165e-08,2.7211002370331814e-09,2.6557981066748134e-14,2.543230648113643e-15,1.0711789256272657e-16,-5.486435024748386e-18,-2.918321164607229e-09,2.708488502703691e-12,-3.4057349835486835e-21,499.9979076168516,0.001765909055468257,3.9500660946360214e-17,3.078096506632377e-08,1.5076063829019576e-18,6.77549555708851e-17,4.1870065022250656e-19,0.0036933489146917012,4.775995438404193e-05,3.5534043119480533e-06,99.99660971828033,-3.750174336806504e-12,6.381908123932168e-14,-1.3892833186399414e-08,50.0,-4.44535274250991e-16,0.0
500,4.988315617596922,5.017434539010196,95.01283362249376,9.998622611587006,9.999999999999414,2.634600053991821e-11,199.99999999997934,-1.4955194026685322e-14,4.033572247218054e-10,-1.404370663975926e-21,10.0,4.725946973292146e-09,77.08659504726846,99.80530307729398,21.741806770345264,0.6098358597350712,499.99999992324945,3976.761406279666,200.0,200.0,200.0,0.002091517413088772,-5.530984116371279e-05,-1.0194261978828335e-05,3.963585052973649e-07,1.3070868195579009e-06,-1.311115581538223e-06,1.5114328126047976e-07,8.14737918972433e-08,-2.544593936421543e-09,-1.1912213744526652e-14,-2.362710146291237e-15,-1.646881246749838e-16,5.3298325077961587e-20,3.1694963691656887e-09,-2.310695525852686e-13,1.6807975427064868e-21,499.9971989373739,0.0027169217065744363,1.8522954780949672e-17,7.561940907900138e-08,5.479040650508596e-19,3.123945228448229e-16,-3.037467690358953e-19,0.004779437498491988,7.392376449644307e-05,-6.045408239371759e-06,99.99514073825337,-1.7959723584630894e-11,-2.9282596405660432e-15,4.034658401010556e-08,50.0,-1.6808319743052206e-14,0.0
600,4.986505737659428,5.020498378341946,95.01451513527832,9.998659091640464,9.9999999999997,6.30295326300509e-11,199.9999999999938,3.46775489206853e-14,2.510717033268323e-10,-1.8052880132711595e-21,10.0,6.3640004988674004e-09,73.24331994233319,99.54857371163816,25.600146839579313,0.5947215667997741,499.9999997535144,3973.110136315175,200.0,200.0,200.0,-0.0009442493342512609,0.0006334030084402485,4.806847231494648e-05,4.9538563882536e-07,3.66937679500365e-06,-3.1702447643821227e-06,4.1353259085111527e-07,2.3938776965846803e-08,5.055144634449746e-09,2.6955902508728483e-14,-1.967748445080294e-15,1.1892930794347304e-16,1.6970724315006742e-18,-2.7681034007075176e-09,2.1715585367387354e-12,6.194016135954283e-23,499.9970502121029,0.0033502215813912403,-2.5017225336387172e-17,8.912409150761618e-08,1.3463432812156979e-18,-7.10064375768141e-17,-9.669015660155028e-20,0.00571702827747585,8.556144316181954e-05,-4.414951813491667e-06,99.9941025180618,-5.979599847644986e-12,-9.847596911112467e-14,1.3150107970422947e-07,50.0,-4.260554164929525e-15,0.0
700,4.9839686125748655,5.025557245762937,95.01635459847503,9.998158753894925,10.00000000000081,3.8843447027934895e-11,199.99999999992264,8.121158985309713e-15,3.0894519304023713e-10,2.8511077195847122e-21,10.0,6.821153252264312e-09,71.03511326479787,99.13394970575364,30.007322929807632,1.2531188174435484,499.9999997338435,3969.726730362943,200.0,200.0,200.0,0.0012155434213119095,-0.00034158929836648,3.988641959248415e-05,-1.439739803376956e-06,-7.274273407731374e-06,8.288732055021732e-06,1.329008814750071e-06,-8.976180093031743e-08,9.546801233695146e-10,5.231936570445066e-14,-1.984368904992893e-15,-1.2059324886882773e-16,5.054338573767947e-18,-2.55971634352654e-10,-3.0595935874456774e-12,2.389683613252504e-21,499.99644862987935,0.0037915333843701895,-4.2836857149950186e-17,7.628843491460525e-08,-6.733772407756504e-19,-2.2979662706968404e-16,-2.6043535582661326e-20,0.0062854287223111475,0.00020230891404412498,7.917901605229588e-06,99.99293242380753,-1.546298825420783e-11,5.317776515050966e-14,1.71147302009207e-07,50.0,4.2542495341723525e-15,0.0
800,4.982548667486536,5.028699175774377,95.02209958415105,9.997947472851921,9.999999999999899,4.2992578582640116e-11,199.99999999996191,2.7870974517011315e-14,-8.064754439723871e-11,-3.4253742981187545e-21,10.0,7.376503747962315e-09,66.05617195711775,98.24984339779988,33.87601259113717,1.8229227964383028,499.9999996743429,3964.7685256088735,200.0,200.0,200.0,0.004140379169648831,-3.998811132029174e-05,1.2000147902613426e-05,9.719842586861802e-07,-5.071628592646617e-06,1.0521671526687435e-05,-1.0587066624746465e-06,-1.3587214746543273e-08,-3.2488456254891833e-09,-3.725369290897072e-14,2.920939737431619e-15,-9.51141473594117e-17,-3.3477663280507395e-18,2.924292954497664e-10,1.9937854081237597e-12,-2.784260659988263e-21,499.99620844951005,0.004377272000172947,2.886480026033573e-18,6.078225136278694e-08,-1.224808155669043e-18,2.0523690489548572e-16,2.5208728757642255e-19,0.007321455756894339,0.000204831195613858,1.0270288728902937e-05,99.99279433319288,-3.5565298384467105e-11,9.545508089120477e-14,1.825524334687332e-07,50.0,1.771130569318284e-14,0.0
900,4.980075395394859,5.034238262637562,95.02360141789944,9.997845416803765,9.999999999999797,7.439420124574726e-11,199.99999999995404,5.423122241683389e-14,-7.525834768616156e-11,3.002377927148995e-21,10.0,9.156098892019434e-09,63.304482970041725,97.99590726694979,35.524705634348166,1.587249936412344,499.99999950814356,3962.088022611225,200.0,200.0,200.0,0.0009156476372554564,-0.00044212421403439374,-7.565393352277322e-05,2.6433135231918858e-06,-4.5582821335690565e-07,2.5599603728468538e-05,1.599468897936318e-06,8.874429457801987e-08,2.1471414305468645e-09,6.9497077732736034e-15,2.892452982359777e-16,-9.640049437218174e-18,-4.407777261757728e-18,7.052271118212219e-10,6.689123562140029e-13,1.3418343713452664e-21,499.99532570790467,0.004643781083486228,2.163753807165953e-17,8.998456843346185e-08,-3.990564467735351e-19,-1.7767370803511656e-16,-1.5363292754165694e-19,0.007958788023568697,0.0003545549472754465,3.563930406683224e-06,99.99123871932518,-2.7231545739561415e-11,7.504381436671535e-14,4.404531335832272e-07,50.0,2.379101419836266e-14,0.0
