miliseconds,Mdm2,p53,Mdm2_p53,Mdm2_mRNA,p53_mRNA,ATMA,ATMI,p53_P,Mdm2_P,ROS,basalROS,damDNA,E1,E2,E1_Ub,E2_Ub,Proteasome,Ub,p53DUB,Mdm2DUB,DUB,Mdm2_p53_Ub,Mdm2_p53_Ub2,Mdm2_p53_Ub3,Mdm2_p53_Ub4,Mdm2_P1_p53_Ub4,Mdm2_Ub,Mdm2_Ub2,Mdm2_Ub3,Mdm2_Ub4,Mdm2_P_Ub,Mdm2_P_Ub2,Mdm2_P_Ub3,Mdm2_P_Ub4,p53_Ub4_Proteasome,Mdm2_Ub4_Proteasome,Mdm2_P_Ub4_Proteasome,GSK3b,GSK3b_p53,GSK3b_p53_P,Abeta,AggAbeta_Proteasome,AggAbeta,AbetaPlaque,Tau,Tau_P1,Tau_P2,MT_Tau,AggTau,AggTau_Proteasome,Proteasome_Tau,PP1,NFT,IR
0,4.998861708533222,5.00259058041329,95.00135463395434,10.000019768581078,9.99999999999963,3.772039080394568e-12,200.00000000002933,-3.665424199201131e-14,1.098470074078713e-10,-2.8888546651335553e-22,10.0,1.0485470303155579e-10,99.02198157208757,100.34573285684309,0.5665982291875268,-0.13657049212021302,499.9999999562417,3999.0987450804264,200.0,200.0,200.0,0.002783460320196893,0.00019860208484909474,5.500024198087831e-05,1.677452320125916e-06,4.998118615801147e-06,-4.071465223565185e-06,-5.546231347447276e-07,6.562234534587058e-08,-2.8623390259650625e-09,5.642135672533744e-15,1.431657105917674e-15,1.513366108742783e-18,-8.000655135012816e-18,2.2906594285104975e-11,8.994150129041817e-13,1.3842464537728093e-21,499.9997591270525,7.818294189065571e-05,2.4804725781929767e-17,2.9249032281046458e-08,1.6342001646521591e-18,6.22558841168203e-17,1.151920924642657e-19,3.051073122458909e-05,4.311550069744314e-05,-8.431287718717847e-06,99.99992488474358,-6.874526534683508e-12,-8.697070168005785e-14,9.232164653839877e-08,50.0,2.5558065249958553e-14,0.0
100,4.997438959945054,5.004640124818705,95.00262659017528,9.999689442113022,10.000000000000124,3.3264354252491935e-11,200.0000000000038,3.2748258499196195e-14,-1.302707516783825e-10,-3.178980493236852e-21,10.0,3.599723181232756e-10,94.22289216079548,99.63916995489097,4.152325894341858,-0.26472762043579867,499.99999992739583,3994.1852876153607,200.0,200.0,200.0,0.00025568607635528297,-0.00027334375524957404,-5.804956257398928e-05,3.91325236471677e-06,-1.3731786015137976e-08,-5.471259315654669e-06,-5.864489020395366e-07,-2.4837473291939677e-08,1.8640194368225812e-09,-1.046292076648984e-14,2.861851458901708e-15,-6.904599448768395e-17,1.7082139217160994e-18,2.125580718133529e-09,2.811080316685793e-12,-1.747316426326599e-21,499.99919614737513,0.0007859329280737312,2.2391591872901228e-17,-3.074057702376237e-08,-2.1860714745627906e-18,-1.9165188942703667e-16,-2.9709369425582674e-19,0.0007379523936651671,3.2685822374144466e-05,-2.5934527093783763e-07,99.99849811171399,-1.0271942393147363e-12,-4.7884156984861756e-14,3.220240737907932e-08,50.0,2.702079691521038e-14,0.0
200,4.994823559327962,5.007156373438091,95.00750522654882,9.999361657703831,10.000000000000577,-2.5924119988808666e-11,199.99999999995774,-1.8620187342276645e-14,-2.1338174963340971e-10,-2.8494235684181713e-21,10.0,1.6260124106616697e-09,89.19938457318042,99.75719588558681,9.202628609014297,-0.2811873523733717,499.99999997527743,3991.200195650983,200.0,200.0,200.0,-0.001992551486736301,0.0006546682687878026,2.7884287795095074e-07,2.6580672746750007e-06,-6.135435119067237e-06,-3.7713961048908223e-06,-6.318945902223294e-07,1.0190644031328982e-07,4.85462076809692e-09,-2.4585060726984103e-14,1.3378966938123235e-15,-1.1565441655805645e-16,2.6646405958782695e-18,4.5221669742599576e-10,2.944494888471784e-12,1.8702911284365218e-21,499.99904245853185,0.001159687025727246,-2.1113402572835315e-17,-1.2813422949229217e-09,5.579262203081965e-19,-1.3242249601853732e-16,-1.7831242174779445e-19,0.0023570549396500153,-4.118865649688829e-05,3.563032402348435e-07,99.99846251542813,1.3523654717825797e-12,-1.0790514729601121e-13,2.753458221127051e-08,50.0,8.29599945910757e-15,0.0
300,4.994413140556506,5.011578331631682,95.00674249598535,9.999080135152543,10.000000000000632,1.8315050559842243e-11,199.99999999996788,1.6516775674049444e-14,-5.576624268527207e-11,-1.7723914664839555e-21,10.0,2.8193124850628087e-09,84.79733351188901,100.08367730026708,15.397676991799178,0.11090849736626869,499.9999998728106,3985.099610518787,200.0,200.0,200.0,-0.0003941523849572083,-0.0004042745968922954,9.671992562497277e-05,-5.271176901467473e-06,-6.295910413785511e-06,-3.4906236203102786e-06,-1.1951241323271795e-06,1.1047168508753252e-07,-5.521805229227779e-09,4.1998340748306304e-14,4.837250825265599e-16,1.6114886439858467e-16,3.100938093007986e-18,2.588401458212132e-10,1.8865147444922725e-12,-6.160454871587452e-22,499.9981426156323,0.0016001215349401496,1.4571168814526336e-17,-1.3573760129516621e-08,2.0302362319644305e-18,-1.3430538476951984e-16,-3.0013950003570136e-20,0.0030780253811025114,4.233457099554014e-05,1.8573055565704308e-06,99.99748361718409,-3.4927394948049152e-12,-4.779654326736405e-14,4.673800960709082e-08,50.0,-5.640982645990742e-16,0.0
400,4.990294423695699,5.0137175974381645,95.01140257602403,9.999038218053759,10.000000000000325,4.823182375722337e-11,199.99999999995902,-3.079698533867809e-14,3.2510437017698033e-10,-1.785762628608532e-21,10.0,3.5131221233208955e-09,81.04773549525326,99.28174328947163,18.619470608684,0.4624512552050861,499.9999998097187,3980.1872893046025,200.0,200.0,200.0,-0.002538929579887991,0.00030983875417465756,-2.9112585224461355e-05,3.866612372720837e-06,5.8565969198442635e-06,-6.0025654591233975e-06,1.0628838859833473e-06,-8.914186006624978e-08,-6.892956131908549e-09,8.689935169068347e-15,-5.870325734112629e-16,-3.774580379334074e-18,6.9388641833801506e-18,-3.2819474949825303e-09,-9.21049516783264e-13,2.8741371671325852e-21,499.99796706141666,0.0018182816961258004,3.775930015143229e-17,-1.6789403412688665e-08,-1.4206071962814232e-18,-3.1364668441854723e-16,4.480317178408988e-19,0.003438934154859701,3.187226669284097e-05,3.989998368066934e-06,99.99660959786006,-4.6246050570148575e-12,-5.4366478229748225e-14,5.538315874995791e-08,50.0,-1.3235546960418329e-14,0.0
500,4.989509828089521,5.016607265743033,95.01159634569478,9.99869391613367,9.999999999999744,3.782436039102529e-11,199.99999999998914,-1.4868726005686705e-14,2.4754820015891673e-11,2.3629306058888793e-21,10.0,4.379083334692042e-09,76.91358335611396,99.00289361871839,23.84379494626817,0.2526209337266759,499.999999816985,3975.158833923445,200.0,200.0,200.0,-0.0003882403271835789,0.00022253529109233822,-0.00010110932626237192,-2.7821213536074653e-07,3.7597766100528833e-06,3.0629446740165815e-06,-3.223010752983548e-07,-9.04309438514304e-08,-3.234859110807031e-09,-4.766676591516211e-14,3.1691712434623262e-15,1.7108072463100085e-16,1.7302461633295406e-18,-4.850130292612349e-10,-9.66463622650312e-13,2.115222570847899e-21,499.997145304016,0.0026335954889978334,-4.71280021755293e-18,4.808219281320899e-08,-9.59058965361786e-19,7.229320702142296e-17,1.7391326428833843e-19,0.004468759207784691,0.00015193925149592738,-2.4484335394529127e-06,99.99568025754921,-1.8771825190011093e-11,-8.319667469848951e-14,2.5193423094746056e-07,50.0,-1.1277311162632708e-14,0.0
600,4.985851116081123,5.0207506803058015,95.01462799348757,9.99865793604435,9.99999999999994,2.7545458288330472e-11,199.99999999995381,-1.1479953751493051e-15,1.0546952158475486e-10,2.5806237747257993e-21,10.0,5.855410292969706e-09,72.3930321450928,99.29991776522351,27.046941502329787,0.9391343832792197,499.9999999603454,3972.9346574300807,200.0,200.0,200.0,0.002406713629416124,0.00019503618286417215,1.9042016311877743e-05,2.8210855849473087e-06,4.3519424813697653e-07,1.7052343607520174e-06,-6.673658861224852e-07,-3.312358621494999e-08,-5.454720357614509e-09,5.163680872143728e-14,-1.9268498184585936e-15,-9.563068060662713e-17,8.51894994846286e-18,1.487466360804441e-10,-1.220303617757305e-12,1.1186651252162467e-21,499.9972507339062,0.002751806761242716,1.8900843669524785e-17,1.706712926239457e-08,1.9147159928497985e-18,1.0406431142289539e-16,-3.814105040780869e-19,0.005841737633154529,8.339236850803269e-05,8.108801507163886e-06,99.99403347294479,-2.554613194876662e-11,-9.912661962030768e-14,2.5368458054816195e-07,50.0,3.1304267640859087e-14,0.0
700,4.98272991321979,5.028699332433807,95.01661713894967,9.998359276871753,10.000000000000716,8.673680783166815e-11,199.99999999992858,3.55290709633438e-14,-2.4585308021731524e-10,2.1280270380529315e-21,10.0,6.359721067974989e-09,68.97979550630342,99.08427962507282,30.018994460967228,1.240452199425946,499.99999964384557,3969.59407944881,200.0,200.0,200.0,-0.001194334461429078,-0.00018466914345518896,-3.1871246089994086e-05,1.603406520805986e-06,-1.8513620204296598e-06,7.235071761015073e-07,-1.5860897134001854e-06,-4.4719028788827425e-08,2.5316207738513036e-09,4.211143715718882e-14,-1.987970795967262e-15,-7.688143536233022e-17,-7.306472481670292e-18,-1.5256083367648064e-09,-9.267566965275286e-13,3.3480083521649517e-22,499.99623210578005,0.0033462837704114953,-3.07978623355313e-17,6.414217401673744e-08,2.024866938799764e-18,-4.477503088306636e-16,1.3063160017763773e-19,0.0065651788016274845,0.00015250987471521427,1.1106495881671695e-05,99.99371550675559,-2.949564134109677e-11,-8.165822733429021e-14,8.6021291681311e-08,50.0,-2.0183073412019546e-14,0.0
800,4.983103921685244,5.030134745077701,95.0211926017638,9.997947784303959,9.999999999999856,5.6361915360199766e-11,199.99999999990368,3.2911105169741465e-14,-1.972139950483456e-10,5.594671821638381e-22,10.0,7.853068697997417e-09,65.7627135968239,98.8071757935588,32.29285528194183,1.3197373039887994,499.9999997715541,3965.7733540633435,200.0,200.0,200.0,0.0031519053159405367,0.00032256414802376556,7.426531719198639e-05,-1.7202286437998135e-06,3.7262561099466433e-06,-5.3396071101837615e-06,-1.3631228480695058e-06,1.1006719733747018e-07,-1.8930608655762584e-09,-4.913288352498189e-14,-2.594698189185798e-16,1.5568236219565141e-16,-7.614806875549315e-18,-2.9827751494900676e-09,-7.068730486359405e-13,-3.105831985299065e-21,499.99602674803685,0.004073364281343006,-4.200955554813163e-18,1.0828202956929459e-07,3.6045907699827465e-19,-4.48897435705086e-16,-1.5760418908725746e-19,0.007412763583710522,0.0002351278996509963,1.1198389229484035e-06,99.99271174308751,-2.221070950820019e-11,-1.2488572297368267e-13,3.0024227719484695e-07,50.0,-2.9464127823917253e-15,0.0
900,4.980745032259564,5.032142454000016,95.0214398448719,9.99766672144179,10.000000000000997,8.897465447368919e-11,199.99999999990933,1.028136630107115e-14,6.450728207939596e-11,2.7465409281646193e-21,10.0,9.623325214764907e-09,62.50455588872643,98.22749599103729,36.2255905196115,1.7980664161720215,499.99999956307107,3962.67505756048,200.0,200.0,200.0,0.003493696679088788,0.00012170811540712638,-1.3121426202944526e-05,1.5611449073908455e-07,3.66666735503764e-06,5.816540300469997e-06,8.630724044764514e-07,-1.0890772108894587e-08,1.119091536366704e-09,-7.7709358373695e-15,-9.367416628896054e-16,7.265089228569524e-17,-4.165584689528054e-18,3.2496078416978753e-09,1.0631239922698606e-12,8.459364788351893e-22,499.99578784178624,0.004777450682938763,4.234408282738565e-17,8.228607010840295e-08,-1.2633458580013814e-18,-1.5453270193714274e-17,-1.3510121711890358e-19,0.008047801538990504,0.00036811012726814985,1.088238416381413e-05,99.99190311760655,-5.042114668038483e-11,-1.6960612962570526e-14,4.1001739509254564e-07,50.0,-1.1453431556800884e-14,0.0
