miliseconds,EGF,I,RE,Rd,Rp,GS,Rp_GS,Shc,Rp_Shc,Rp_pShc,pShc,Rp_pShc_GS,PI3K,Rp_PI3K,RasGAP,Rp_RasGAP,IRL,IRp,IRp_PI3K,IRp_RasGAP,IRS,IRp_IRS,IRp_IRSp,IRSp,iSrc,mIRS,mIRSp,mIRSp_GS,mIRSp_PI3K,SHP2,mIRSp_SHP2,GAB,mGAB,mGABp,mGABp_GS,mGABp_PI3K,mGABp_SHP2,mGABp_pSHP2,PIP3,dRas,Raf,aRaf,Mek,Erk,pErk,PDK1,Akt,pAkt,mTOR,Null,aaRaf,PKA,pShc_GS,ppMek,mGABp_pSHP2_GS,R,ppErk,IR,mPDK1,tRas,tRas_PI3K,ppAkt,mGABp_RasGAP,amTOR,iGS,imGAB,imIRS,aSrc,Ri,IRi,iPX,aPX,aPX_GS,IRSp_PI3K,IRSp_GS,IRSp_SHP2,GABp,GABp_PI3K,GABp_GS,GABp_RasGAP,GABp_SHP2,GABp_pSHP2,GABp_pSHP2_GS,imGABp,bRasGAP,phosphorylated_Akt
0,1.0057215126222332,4.298639729492093e-38,0.0029540744796276463,0.028823463031268006,0.002384160919192066,200.00310024711715,-0.00015437059522500844,270.01344815549106,0.002602386770184286,-0.0011107918638597154,-3.681743981581566e-05,-0.00011612096051497265,200.00299246755736,0.006671137776179501,50.00000177204947,-1.1877356802725378e-06,-9.383434581380854e-32,7.752186795404544e-29,-3.646886253744134e-29,4.854900494751242e-26,299.9903655094242,-1.2263229354005466e-27,-1.776097317184018e-29,-7.722705705682563e-08,517.974151253936,-0.0017816889087994632,-4.118861958125676e-08,-6.323702321120684e-09,3.7072414499075896e-06,300.00000983934444,-1.7661530655913735e-07,224.99956782684632,-0.00023170462643294269,-0.0001294826245965586,7.683496370900109e-05,-0.00028163936053144447,7.0382191253729465e-06,-7.276900806821994e-09,0.001576030027062209,149.9863940464829,100.0000618967347,-0.00010569499073341307,199.99999730524362,400.00000003289796,1.2090133770027097e-07,100.00192837754709,99.9999624040404,-0.00015136143337983064,99.99998386055364,-0.015401482978335271,-5.0032190364593614e-05,100.0,0.00038741809437082886,-8.108153871901826e-07,5.7063461297956e-09,99.90502773210598,4.998937173993316e-15,150.0,0.003137552955430253,-0.002109669037708239,0.0,-3.9058979158071613e-10,-2.2589998485494243e-08,8.215855891482376e-06,1.4562716073432267e-18,-1.2833319462349628e-21,-3.932781277123131e-09,-0.007378224194582095,-0.005067817656075924,-1.008031718325321e-28,200.0,0.0,0.0,-9.395190275812177e-08,7.419333223072567e-11,5.29599601750343e-09,-1.713690434650366e-06,7.148933593884676e-06,5.341922260073097e-07,-1.805512374558204e-10,2.783770234973814e-07,5.831965704421928e-11,1.0057778000720392e-10,-2.1978911920095347e-21,1e-05,5.016733930233384e-05
100,0.9793805967867478,1.0011493911925626e-37,0.6574995332663189,-0.042715366935135723,0.000563219987429523,200.00400388941512,-0.0006515217189898,269.98709625537066,0.007953873861017905,0.0015050662103006545,5.336576141951611e-05,0.001622421074847955,199.997544432572,0.0027086176284113906,49.999998277962426,-1.721330463233128e-06,-7.98661722412536e-32,-1.1655267921558988e-28,-3.731988795780416e-29,-1.7967757821626362e-26,300.0020131119819,-1.324342428543881e-27,6.039752764857066e-29,4.540579848934205e-08,517.9778916267827,0.0007068765838892727,5.024560940955184e-06,-4.605752810631288e-09,1.758409235557283e-06,299.99997547026544,-9.884754403265027e-08,225.00054315157084,-7.223545381673166e-05,-0.00020968895636191268,-5.155573736676181e-05,0.00017508997366893787,1.0366306277189046e-05,2.768234125454428e-09,-0.0017757354182105038,149.995263303918,99.99999225258527,0.0001679264284717326,200.00000151259775,399.9999998990929,1.6341661395686537e-07,100.00097955530975,99.99996456777758,-0.00013821794924858799,100.00001777134052,-0.019235230348251798,-5.648450560169697e-05,100.0,-0.00010518340331150373,-3.2108639592206844e-07,-3.5818093402316594e-09,99.31418205693332,-5.766863423929051e-15,150.0,0.001957737637658413,0.00829179954352871,0.0,-4.197026875607456e-10,-2.3884503224199965e-08,-5.12678884518815e-06,2.2085130816746927e-18,2.0387704094203803e-21,4.664894396870299e-09,-0.01277877472075994,0.008623979845164107,-6.382015187066665e-29,200.0,0.0,0.0,-4.780917007938723e-08,-1.5189504898072637e-10,1.2098961283222968e-09,-1.0616699253741188e-06,7.739580099576265e-06,4.929899807611285e-07,1.1561516928325155e-09,-4.736817599629073e-07,-1.3725985643373892e-10,-9.291250966350753e-11,-1.8795819696770687e-21,1e-05,0.0001133454659742343
200,0.966822293433608,4.110018915222795e-38,1.2259705425396252,0.03694374156362393,0.0024099167385110577,199.99759751533483,-0.0006340785531348092,269.98662595391966,-0.005322633566574012,-0.00032490756906264215,-0.00011799283117411847,-0.0012993818029493813,200.00000723384545,-0.0053718524580259885,49.9999984784629,1.2730969203490093e-06,2.087673452332661e-32,1.157521971177049e-28,2.8438344919746494e-29,-3.0735380147759623e-27,300.00718972620524,2.6443166345680126e-27,7.080042906552582e-29,-1.495249252487563e-08,517.9950750399513,-0.012234001688333504,-3.0337967791954668e-06,9.416154885874416e-09,3.625407642788049e-06,299.9999802844903,-3.3287362579356506e-07,224.99881516067927,-0.00037809932713824907,-6.808486290797185e-05,-5.641158789392957e-05,0.0003380436456321562,-2.075494402811773e-05,-2.75253290929292e-09,0.006844531685164297,149.9931709080906,99.99999065059025,-0.00017694993951874392,200.000002217302,399.99999986702056,-5.3318893519320636e-08,100.00248323467696,100.00015531618776,7.737000872034508e-05,99.9999870236044,1.7673005981160047e-05,-3.059415063630071e-05,100.0,-4.250944510633321e-05,-1.9360323236473634e-06,6.87321044616536e-10,98.43926926758674,1.6724312742451043e-15,150.0,0.0021717139464723654,-0.00023037986237714185,0.0,-3.1089159104127943e-11,6.747622357113253e-10,1.0485311626300845e-05,-1.7518525081213372e-18,-4.9942792775618444e-23,-4.4595837982994684e-09,-0.011239602337613792,0.0034122569268695145,-7.304995782279671e-29,200.0,0.0,0.0,-7.605370705597822e-08,3.655875334139891e-11,-3.791722847370331e-09,-2.0028246653509665e-06,6.580725651408486e-06,1.6348133228523762e-07,2.3229032695696835e-10,4.2346513517379745e-07,1.0062898007053943e-12,1.24562428919538e-10,-1.8186847268946506e-21,1e-05,6.327407503400454e-05
300,0.940565721346473,-5.28834516458455e-38,1.9763153110815752,0.030885956188250865,0.0012614587363842518,199.99974949251336,0.0006911341272918803,269.98827196025525,-0.0010333319883058384,-0.0013709708128285096,0.0001474153673994313,0.0013810822551503022,200.00665989130255,0.007797701720819454,49.99999960373132,1.3649267769681646e-06,-9.250719763188661e-32,-8.961243808319725e-29,1.74503680250805e-29,-3.3596786331325445e-26,299.9920022468896,2.662972721074557e-27,4.321296517786929e-30,1.0432132037972063e-07,518.0081379712755,-0.009382508650046611,3.1955160286108034e-06,5.9105396842524875e-09,4.084628444612465e-06,299.9999735818634,-3.844288240875577e-07,225.00121600237244,0.00015516124405329153,-7.635379804426661e-05,-6.686237244794903e-05,0.00026401894275350567,-6.878508529722202e-06,8.565340376194151e-09,0.0007315355320560529,149.98764687358204,100.0001488740595,-6.923650812489067e-05,199.99999823785754,400.00000011928665,1.848241773906056e-07,99.99679269342464,100.00005263216437,1.8552363501677056e-05,99.99998377527929,0.02850811780259446,3.516960985293701e-05,100.0,0.0003842407362588498,-1.1392030844146084e-06,-7.059780666802778e-09,98.23707523311107,-4.258383709304647e-15,150.0,-0.0015416978446113545,0.008959533528691098,0.0,2.0168013329908746e-10,-6.486955331705903e-08,5.7961395013859805e-06,-1.8738945720089634e-18,-1.1373570224649978e-21,-1.8339634131360212e-09,0.00914465227793051,0.009173493807007597,-4.973993416263249e-29,200.0,0.0,0.0,-7.183110121799598e-09,-2.7259108263885663e-11,1.290640710352129e-08,2.8419300628005938e-06,5.3742452169096234e-06,-8.49721560458486e-07,1.0492927855132485e-09,-8.587137760719406e-07,-1.1023817187225809e-11,1.8363234597148343e-10,-1.4631919012305674e-21,1e-05,-2.546655496486631e-05
400,0.9322513822102655,1.1237925582405528e-37,2.538256669818317,0.012559621345218963,-0.000462600154516713,200.00053480444498,-4.415992452749054e-05,270.0077442811086,0.002906190854072513,-0.0012199089535248205,-1.329018900572743e-05,0.0020237178000040283,199.99336176784556,-0.006920586628456487,50.00000065609306,1.1688455760625455e-07,6.08704972417079e-32,7.981429258741255e-29,2.3173843932967845e-29,2.883090534665382e-26,300.009770890276,-7.271096303598333e-28,5.869257593893158e-30,5.0417066356439936e-08,517.9746714410161,-0.0050540791006419925,-5.317354250434487e-07,-1.1161675929621884e-08,-2.3391962619911195e-06,300.0000146454018,-2.195408388890277e-07,224.99880644357327,0.00018663830739541558,0.0002198692812263536,-1.9224975977423205e-05,0.0002527182019299695,5.638504032617428e-06,-3.486460467413573e-09,0.002367898944777624,150.00671379919345,99.99994180018945,-0.00019509972382986666,200.0000001625707,399.99999982479005,1.4303433778576556e-07,100.00017191538933,99.99998962354579,-0.00011356322083234331,99.99998575121766,0.017141225082625285,3.742952777566113e-05,100.0,0.00020793261940332922,8.124229852774676e-07,7.79667336256888e-09,97.62307783642072,5.328433389430029e-15,150.0,-0.0015385869213537149,-0.009173800657050368,0.0,-1.432644004997609e-10,3.5147689914860674e-08,-2.687144338975811e-06,3.0548666639487146e-19,-1.3672565081955422e-21,-4.3879366824336466e-09,0.007259959552381199,0.009396890822412426,-7.450079990560022e-29,200.0,0.0,0.0,1.3813916526719431e-08,4.7142665808458464e-11,1.239728579141127e-08,-3.2993987306743903e-07,8.79014616624245e-06,-2.912060082672263e-07,5.981406716068335e-10,6.285383722426606e-07,-5.207133443349551e-11,-1.2946581308617764e-10,2.717496320977318e-22,1e-05,-5.1456324176915905e-05
500,0.9121304172048306,1.2910949176630894e-38,3.0335688221785633,0.021649819121739862,0.00239942421028493,199.99913111285517,-0.0005487851211023201,270.01073009192186,0.002171303607434394,0.0007567468423827729,8.690960476004268e-05,-0.0010114157076135497,199.99957951023333,-0.008132879112815732,49.99999907218481,-1.4950084406474406e-06,-3.078471224338915e-32,-5.088952328688922e-30,-2.464983501480237e-29,2.4213936546174323e-26,299.98914692464297,-1.9843492933079566e-27,5.766498629371757e-29,7.384263543418014e-08,517.9757236433081,0.006383837907743767,5.025508371314634e-08,1.8813172076042435e-09,1.0957469855670356e-06,300.00002402310525,3.5568146517800767e-07,224.9994043988358,-5.02100933104622e-05,-0.00016807435069058342,2.6671651171328985e-05,-0.00011238490603564605,-1.3624964078900847e-06,-5.902469075037168e-09,-0.0011097885882732925,149.9911734241881,100.00021700607915,0.00019001958792172512,199.99999967906365,399.99999984286524,-5.751232204168144e-08,100.00161166897368,100.00006426678918,2.5176189653174984e-05,99.99999331551768,-0.0006225452535749031,-3.2907512930412176e-05,100.0,-8.534855796847731e-05,2.146081130661061e-06,-3.1370672154126265e-09,97.0440978330024,-7.591417456960888e-15,150.0,0.002846962823884581,0.00661473024751424,0.0,-1.9034800247049593e-10,-3.924232259745137e-09,1.3861885750290047e-05,-1.239540603085873e-18,-2.0439825932324673e-21,1.7521483820335927e-09,-0.012388732747071328,0.004725008674100963,1.2392587646761292e-28,200.0,0.0,0.0,8.010850952633873e-08,-2.1378429443684726e-11,-1.5045955522696188e-09,-3.2119217825975196e-06,-3.0099074624412774e-06,-8.454811285993057e-08,3.024638116500115e-10,4.695663759529099e-07,7.16797908254609e-11,1.4503471658862263e-10,-8.458955927452821e-22,1e-05,-7.187003352846409e-05
600,0.8875494540581474,1.745069650459259e-38,3.6202254013344146,0.06547704915368002,0.0021622912024383076,200.00397539816174,-0.0003217583710812822,269.9989887836849,-0.010060791540103826,0.002051390677408164,3.7576722242377884e-05,-0.002229190516607191,199.9979120934114,0.009392051451737576,49.999999806164595,-2.255670406496193e-07,-1.0940686709639135e-31,1.547034549331033e-28,1.9150645657096106e-29,-4.9384043973181395e-26,300.0079504671112,-1.680312806603987e-27,-3.125927467607937e-29,1.9634653826015613e-08,518.0133088754035,0.012597777970294781,2.6573328434040912e-06,3.3618841453188295e-09,-3.434227176718506e-06,299.99998094887627,1.7101655828778512e-07,225.00107930019928,-0.0003389561828101872,8.207682605188064e-05,4.68820107726247e-05,1.227015675434912e-05,-2.2639137363918052e-05,2.6318142607425735e-09,0.0013784712361403855,149.98627704931738,99.99974570894042,-9.510532335536625e-05,200.00000263678862,400.00000018544114,-9.845185839974706e-08,99.99726241608164,99.99995385598258,1.9742217301446217e-05,100.00000156513678,-8.173159013867472e-05,3.105199126200389e-05,100.0,-0.00023030913768341712,3.704123802669078e-07,-2.0873123809698645e-09,96.05306048556157,1.2080738518623356e-15,150.0,0.0012205087015724207,0.013735408689960446,0.0,-1.272895935932602e-10,5.132805468800657e-08,1.7078685671904334e-05,-1.913977415029129e-19,-1.1036380385431282e-21,-3.8526306053915115e-09,-0.012539482091931642,-0.012395781892362666,3.0058353786584054e-29,200.0,0.0,0.0,-9.479142324415258e-08,-9.680666116725875e-12,-1.3183849727183083e-08,-1.6174549369750029e-06,-3.2882756143914027e-06,9.571054391042743e-07,6.578104225857032e-10,8.744498905137871e-07,2.820414568608618e-10,-2.6835615662030303e-11,-1.8149158597088092e-21,1e-05,-3.282711537780733e-05
700,0.8664500239572014,3.080064204531224e-38,4.009067288029704,0.15265465644438142,0.0033815143582525183,200.0028500549758,0.000438257779472243,270.00741046924463,0.004107735032999625,0.00025445786134244516,-0.0001452409099321824,0.0012514108426334941,199.99257663283467,-0.007611739167744092,50.0000005528976,5.53625069549547e-07,-9.217498016307937e-32,1.6225684720307801e-28,-3.393983498697525e-29,4.957957531507766e-27,300.0036451954283,-2.80360072705643e-27,4.2942885438992506e-29,-8.554665372285889e-08,517.9854498686657,-0.0011409137161044886,-1.0948795584884759e-07,1.0261247222551337e-08,-2.2166445981035433e-06,299.99998752347534,1.48877211280898e-07,224.99946483975435,0.000440253409224045,-0.00011524290828532531,-4.096497550536145e-05,-0.00039394565252787075,7.220087058487095e-07,5.664756896276878e-09,0.007652610165728451,149.98654416314182,99.99998294909227,-0.00014270000297576398,199.99999879125247,400.00000014628347,-1.0193638785933042e-07,99.99912940383034,99.999928972103,-3.9773771458162374e-05,100.00001685049688,0.0030433904743054968,4.540236233233821e-05,100.0,0.0006523911244804077,-2.1828137547699235e-06,-3.575391689174122e-09,95.60308299001971,-4.140444927839653e-15,150.0,-0.0008051363168098132,0.0033878040346442167,0.0,-3.5639896178886177e-10,-5.0422982878296445e-08,-1.4342931426502583e-05,3.162978223014841e-18,6.976114539435857e-22,-1.8710551947505415e-09,0.0030992115818883168,-0.0013687679374881762,-5.209476597770317e-30,200.0,0.0,0.0,-1.895432401343753e-08,-1.333560364562483e-10,2.711895532656307e-10,-9.557659640508934e-07,9.843340912215699e-06,5.220681879564971e-07,-5.50409519239918e-10,5.953847933135919e-07,-6.814633929832024e-11,-1.2368712973167703e-10,-6.864134876698007e-22,1e-05,6.19865636677544e-05
800,0.86328247876572,3.50864494992222e-38,4.394911979025746,0.1901020072954559,0.006272301191434645,199.99611875606172,0.0007848020083936977,269.99950856483093,-0.0061678520423200465,0.0018332014774766325,0.0001533793869767148,-0.0023501398726089437,199.99037952363864,-0.0059941622374280745,49.999998007210884,1.405236323436055e-06,2.1155764572234088e-32,-2.308868153010161e-29,5.691981822032827e-29,-5.1868098781674996e-27,300.0051754077207,6.022155192951339e-28,3.278504689367609e-29,-2.3807011621022527e-09,517.9711480759435,-0.012844015507275939,-2.6124816582001163e-06,1.0038194346547257e-08,-4.822706345166379e-06,300.0000065928075,-4.310383866205697e-07,225.00112377410886,0.0002916823349076516,-0.0001942924277353989,4.758802959962752e-05,-0.00023314044883570166,1.0375712331971132e-05,-2.9697319178169754e-09,-0.005485259270734079,149.99583080415144,100.00015807896914,0.000111883089462263,200.000001085224,399.9999999508507,-1.881880108938975e-07,100.00166648237303,99.99999625990023,-0.0001148707302328241,100.00000822294899,0.012317243742968177,-5.830077848745514e-06,100.0,-0.000583659769879007,-1.1256523196884803e-06,4.7202273486940433e-11,94.88673475517376,-6.867523842547426e-15,150.0,0.0026220910252409864,-0.01438223122971441,0.0,2.8092508701927005e-10,-8.910717021904243e-09,-4.2415990772300145e-06,-2.6179181786573877e-18,1.9011864203272683e-21,4.278356188967596e-09,-0.0031477309238664986,0.01362780092966702,1.1412140926803145e-28,200.0,0.0,0.0,8.459326899826581e-08,1.4162208036977994e-11,-6.605302287086862e-09,2.8659120321867136e-06,2.2381151226841254e-06,1.3678003290647638e-06,-2.868812545554724e-10,-7.358415001113858e-07,1.3648465085733058e-10,1.9104173604141974e-10,2.0952952402554236e-21,1e-05,2.0884293980269238e-05
900,0.8428223817873995,8.996088669251041e-39,4.775542661603404,0.17768400077927302,0.007814621569051062,199.99860144515569,-0.00023796956240441905,269.9850153162441,0.0007478576178594574,-0.0011755850807093511,9.540816994058268e-05,0.002796805691722803,199.99185111482805,-0.004028571960019775,49.99999811171933,1.2768787097478443e-06,1.52264694278979e-31,-1.7527047512386785e-28,-1.0517301603859369e-29,3.7809491634348327e-26,299.9947968011769,7.275035236186079e-28,-7.149009501598156e-29,6.920541709938937e-08,517.9756070313616,-0.007948863067783557,-6.452917230022504e-08,3.420318443485818e-09,3.820427354891821e-06,300.0000279719139,2.2862270271804042e-07,225.001189342638,-0.00014880495830400814,-0.00022485839409807243,-2.4675832186757168e-05,-0.000553141088757202,2.00216276693094e-06,8.758340695949807e-09,0.002765028900635024,149.98744511781535,100.00018380942058,1.534851992958699e-05,200.00000248675,399.99999986399087,-1.606899815138035e-07,99.99983176359555,99.99999126529457,-1.5438475060291873e-05,100.00000733841087,-0.02175602985232773,-3.1076933883510005e-05,100.0,-0.00020520771759149526,-2.40537345552595e-06,-2.3745538834453687e-09,94.74487248319251,-1.3191629162707042e-15,150.0,3.20208775088514e-05,0.0021141642385728633,0.0,5.617192309148064e-11,-1.609322402701311e-08,-7.231694306169165e-06,1.3556363623741313e-18,2.334921099665054e-21,4.852660804339515e-09,0.029177427526637642,-0.008953429565133383,-1.9230116683330647e-29,200.0,0.0,0.0,2.6503526738360064e-08,1.2453246589010978e-10,-1.1401791024089962e-09,7.666663978210111e-07,1.911459142822471e-06,6.042055936369542e-07,-1.5126719506586832e-10,2.527199572408935e-07,-2.6756910871277664e-10,-1.0549387940550335e-10,3.885147024202498e-22,1e-05,-9.48461415953516e-05
