miliseconds,s53,s57,s58,s60,s61,s68,s72,s73,s81,s83,s85,s88,s89,s96,s98,s100,s101,s107,s109,s111,s122,s124,s135,s142,s144,s146,s147
0,-0.0005926826379557882,5.001549320305376,-0.0010059262085448945,5.0,100.0,4.999695969415676,0.007438119241853628,-0.011850185682422076,4.9756027472514255,5.023730669342739,-0.012746775416665874,5.0,0.0,5.004219612684827,4.992787646844232,0.005982845486434212,100.0,4.978400659126284,4.993800408376624,-0.018733058890729466,4.955182323579918,5.040005034257707,0.01672418569221627,5.000496838148729,4.96586214913814,0.0005813970578767033,100.0
100,0.0037696067433913363,4.993433261779693,0.0037208434042764345,5.0,100.0,5.000962605349057,0.038898371164731424,0.4229244922131379,3.386993945407113,3.406488457862256,1.6106280997060687,5.0,0.0,4.988166871620509,4.989221476990324,0.026200349897468493,100.0,3.40365112369667,3.428046837183245,1.5697803554736283,4.894258434468325,4.932584977788544,0.04414541660301067,4.977876892137991,4.491417272525828,0.021260879149794177,100.0
200,0.010638973606924586,4.989422975572004,0.006995879953669964,5.0,100.0,5.001453736313029,0.06391064673188276,0.6862098401704962,2.6845911225285852,2.707078764018256,2.310309736577704,5.0,0.0,4.942193002538234,4.958824966391793,0.10433185249268712,100.0,2.7141921212326254,2.7062750468052075,2.3111068038861506,4.825877130551914,4.7544063409332935,0.18852970772350694,4.95945295957869,4.0971142562894665,0.043463979116636395,100.0
300,0.01741307747655341,4.9863311519074776,0.00990130002467491,5.0,100.0,5.0037375539036235,0.1297356275686739,0.8668136749108293,2.3114487743298766,2.32726178727673,2.690342849178038,5.0,0.0,4.920248638326091,4.924089603937306,0.18681420939168453,100.0,2.3001019192347716,2.3432175924861296,2.689111600195687,4.617251978416308,4.634487486013095,0.39050216541212307,4.944554393236336,3.804976531743327,0.05603152800828386,100.0
400,0.028900964604132506,4.983054375034282,0.015484269237299798,5.0,100.0,5.012104799845925,0.21615753644233376,1.006138009557551,2.1086881639990076,2.0920191728921367,2.90511155064665,5.0,0.0,4.89309732022807,4.912911839582883,0.27798931489512424,100.0,2.1093410231656384,2.137209558762288,2.8781365797952425,4.4187021789094025,4.494428986357525,0.5940576027704096,4.9327669746653084,3.5538910061806814,0.07107015972420273,100.0
500,0.04205388003879693,4.979951560802572,0.021825904386361648,5.0,100.0,5.018042317689827,0.284181216845125,1.094708538147726,1.9948757002145936,1.9970824664755327,3.008080278313806,5.0,0.0,4.8709635623843885,4.886652164827661,0.37264304035595064,100.0,1.974503484672741,1.9748926503744113,3.0028084811940543,4.3023488625929875,4.264875371402574,0.7052881491077146,4.922844319572817,3.273015430361369,0.08075633315051241,100.0
600,0.048968994074767055,4.976897121842422,0.026263164297925832,5.0,100.0,5.0276533936197705,0.3502618857302032,1.1333524989410328,1.9308354386558388,1.931211666525088,3.084101105113356,5.0,0.0,4.869010167106909,4.858720601217045,0.49384356174466637,100.0,1.892625043526802,1.9010439031935449,3.074159843871489,4.100907772921084,4.059486665520693,0.9583817132408267,4.912837433400161,3.0370327487758106,0.08948530181656005,100.0
700,0.06236159693551205,4.9714334022523134,0.029903582221579444,5.0,100.0,5.036126833931084,0.4235900976004753,1.1743183355328894,1.8645882179575448,1.8757266516919238,3.1119873860936784,5.0,0.0,4.824130567227542,4.826196134975779,0.5751580405106094,100.0,1.8648515094633393,1.8640085719810835,3.1091091159439546,3.9211351854435836,3.931565809215751,1.0554530045794153,4.907095690932643,2.89201885632262,0.09323191414215215,100.0
800,0.08108179208129956,4.969679027507125,0.03239391174554506,5.0,100.0,5.044205591387351,0.49469377091727873,1.2057600259712606,1.8298805223248336,1.847513295405249,3.1383834840308378,5.0,0.0,4.814124829139862,4.802530013053031,0.665116835335737,100.0,1.8409641240233214,1.820278626923869,3.149088179778352,3.693468022188723,3.7762526815423825,1.3084711861840637,4.900549486589035,2.6807494879336953,0.10108614791848755,100.0
900,0.08788701795554481,4.96196793746067,0.03394920477348891,5.0,100.0,5.052833023814738,0.5371277049708848,1.2316371974774438,1.8351236424998394,1.8352662749511393,3.164802098611422,5.0,0.0,4.780176991072102,4.780854890649977,0.7449521654952418,100.0,1.8209435952712716,1.829910107558635,3.1748491320003422,3.60542755395485,3.5788593725517686,1.3936698765899795,4.893226099416358,2.592864859948085,0.10416788170232125,100.0
1000,0.10052358961765234,4.957187483318407,0.039076620360249024,5.0,100.0,5.061181304124243,0.6138847111419466,1.2452648127524422,1.796120611621595,1.7947148861478912,3.197705762870843,5.0,0.0,4.7702309339859115,4.758946292475986,0.785633977927727,100.0,1.805758358083069,1.8048855605999434,3.1769345149779062,3.448631848377525,3.380442799887419,1.602608317696019,4.887218426054886,2.3929704882645373,0.11137974823277617,100.0
1100,0.11624535310154079,4.952551670821454,0.04718369048174938,5.0,100.0,5.071148477645906,0.6444255687330624,1.2389177890641805,1.8044337601190277,1.8271867673306876,3.1985902933820998,5.0,0.0,4.753162137925041,4.736046124467828,0.8354300577373708,100.0,1.7824179824421107,1.8036833385102147,3.182330994184996,3.235978550905688,3.2945180435290657,1.7133270199332598,4.883251744961554,2.285459827687547,0.11333520925333986,100.0
1200,0.12366847982065814,4.949342299333167,0.04603188766109676,5.0,100.0,5.075481866945021,0.7164030931847926,1.2572997766353666,1.8149285608195762,1.774271209913245,3.1764754173276635,5.0,0.0,4.726185770342283,4.717886302234648,0.9077772845757952,100.0,1.7942130231877342,1.8074885378201928,3.2115809453291426,3.1695485786725324,3.0967516586462325,1.8297302489156637,4.882032714171969,2.2434354745322516,0.11899964790086096,100.0
1300,0.13509351844257475,4.94454407119595,0.05016953796769061,5.0,100.0,5.084646569707383,0.7689356373499652,1.2629180808951892,1.794276704996109,1.8165258098122163,3.2065001021033317,5.0,0.0,4.708200865087368,4.710781851859342,0.9794822252959753,100.0,1.7900072764468695,1.7962428991631127,3.2275148785706103,2.949108079959353,3.0248005486599916,1.9713509408758374,4.87530945860898,2.148030693879767,0.120941977615711,100.0
