milliseconds,s53,s57,s58,s60,s61,s68,s72,s73,s81,s83,s85,s88,s89,s96,s98,s100,s101,s107,s109,s111,s122,s124,s135,s142,s144,s146,s147
0,-0.00031745577591880253,5.00086350352001,-0.002768933525378277,5.0,100.0,5.001178438673814,0.019849828389418345,-0.007126282732664964,4.978828851313203,4.9797741089354295,-0.011160741915111112,5.0,0.0,5.007428241159976,4.990452322201717,0.008165265780430447,100.0,4.974558761913618,5.016884982520223,0.023773766920202243,5.013107628003429,5.02100948098365,0.021739221113956257,5.001691683023528,5.010253281289404,0.0004466775372784612,100.0
100,0.0038666760586157658,4.995087576246185,0.006939757475061878,5.0,100.0,4.998479119918659,0.0127513737065827,0.4227660023902575,3.409903608964107,3.3959959070314074,1.5943339318329857,5.0,0.0,4.969057773487732,4.974944118774126,0.04920534852978008,100.0,3.394455520566483,3.3855906744135527,1.5859853614238302,4.964871546484939,4.933237619907323,0.047381540537700884,4.977412397908168,4.493935198735139,0.023698133198296643,100.0
200,0.010572977163012483,4.989154843535849,0.010351658427309302,5.0,100.0,4.999790045237143,0.07607278021234562,0.6786287630784308,2.672807363714301,2.687283894468942,2.301711265010038,5.0,0.0,4.945898695722802,4.9567512744775595,0.13422568308102506,100.0,2.708690954259962,2.710416771919067,2.2854494599649025,4.798065503297143,4.820985814277574,0.20056153923004033,4.956205755265124,4.093086942630198,0.04138397555140183,100.0
300,0.021415572537297183,4.989619757772743,0.012185549127063787,5.0,100.0,5.004070945881265,0.1495497687683526,0.8858773618138517,2.311826861176571,2.343823351269698,2.6906520029338457,5.0,0.0,4.927002323997918,4.920700001844921,0.2224713694525914,100.0,2.307621916098379,2.329477630900566,2.6572365258329906,4.587507792476118,4.659507996604234,0.40099677809988316,4.942216069566432,3.7624648227644304,0.057550902916307135,100.0
400,0.0274287541197149,4.984514822336298,0.014648122840883541,5.0,100.0,5.012624913492357,0.19655847936104073,1.0020245276211697,2.1201746341121077,2.091897711462911,2.897623370012345,5.0,0.0,4.912804678603708,4.903606206903169,0.300684020728475,100.0,2.107636700040466,2.1214248776871725,2.88258330395168,4.4501870382022695,4.434883485565444,0.5109131069848477,4.929702054873794,3.4881403548407106,0.07075471162292833,100.0
500,0.03941609849466936,4.977960383306297,0.02133792113225053,5.0,100.0,5.019240103487353,0.267796500403417,1.0872383127918233,2.0023650176463823,2.004448855459945,3.003413890953539,5.0,0.0,4.892314163473386,4.879061361733388,0.3822252903776593,100.0,1.9737485727953077,2.005339754616421,3.013974714842026,4.3068398773583265,4.221706916554529,0.7315064955101123,4.920711547171776,3.307639620007506,0.08052551826222556,100.0
600,0.047894429751843076,4.976225412942595,0.023950147298236565,5.0,100.0,5.027636931602828,0.33599718042058874,1.1309006605498586,1.9151556095435784,1.9379500918917343,3.0771367941411465,5.0,0.0,4.8598585334058235,4.8625926559261945,0.48217858764804916,100.0,1.889810144044723,1.9341794875232554,3.104833337100152,4.1071671001414485,4.039417013177011,0.9240683659799899,4.911005651892397,3.0450444882510417,0.08820386036532746,100.0
700,0.06841416154940752,4.970361019285284,0.02747027905373621,5.0,100.0,5.03519946344962,0.43642480323676464,1.1715398786317601,1.8751108063847777,1.8895419059702347,3.1208747476303302,5.0,0.0,4.831017447918013,4.8383199852134435,0.5678835646738316,100.0,1.8636198545661553,1.8714216511715218,3.1528079079347138,3.9324946049185705,3.8862423147824803,1.1165638596386234,4.9039338189019555,2.8765424513075546,0.09276831748446311,100.0
800,0.07678722463461089,4.970121103125778,0.03267498651882954,5.0,100.0,5.045129697630275,0.473077248144372,1.1997095055027915,1.8445917394418507,1.8559784492693285,3.1610289890898775,5.0,0.0,4.799928277953202,4.8184320408546855,0.658320641208767,100.0,1.862253018804671,1.8404220459648415,3.1748150219611837,3.75418007347864,3.6896094671047086,1.315277770479695,4.897413634556771,2.7359962062518406,0.10206670814463042,100.0
900,0.09234623856867336,4.962674375153773,0.03435696177242961,5.0,100.0,5.052672801806458,0.5394331616429084,1.2243645291673348,1.8127274532820175,1.8098362078414234,3.189377389624951,5.0,0.0,4.797581367523377,4.780334220429586,0.7098483593735024,100.0,1.8005331070157538,1.8080619166772804,3.169340578426136,3.5668135157124294,3.526780888434963,1.410882849684148,4.892968035667774,2.5734285981839276,0.10528395080233201,100.0
1000,0.10121343941429392,4.959937710000636,0.03832852979107088,5.0,100.0,5.061694885846484,0.5836076939036282,1.2414498790505866,1.828158554176195,1.793344423190518,3.210079292851444,5.0,0.0,4.7701182356835625,4.764442334230861,0.7751122815165747,100.0,1.7988055058793346,1.798086858052901,3.164964850394399,3.384465140864747,3.3909434252840023,1.6128517083355816,4.89018791044594,2.431965287829082,0.11213849882024352,100.0
