miliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,424807707.01611316,61024746778063.664,-4403503283253.808,11119841734862.78,414596660.3222819,-12168866826.40809,-25098394805.378937,-2247793571.7164826,-861729744923.0089,-3765785224389.9863,5619318.660916163,7209962486.087844,16203504639.791714,-5030460171.58283,-2207280800.046744,69682363905.06918,-7466124.779872683,245382556.45282954,-45269746.05453988,235088339.67903203,11085856960.002258,-4695825474.28082,233476.4676854075,-25951069.211896334,-116090506.70172784,-1164956761365.1086,-3105237166.2275925,3190255015.9536037,1898070328940.2214,-651902033.8423548,2937820795.3600883,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,-555337192.0937917,59055546543511.48,29560253795343.445,-13320215122303.39,7332613420.04724,31821027221.09047,-55675453612.100876,-5990902704.505916,1547111643809.6477,-674967525897.1532,6587504.3808989385,-2267305962.6524754,-12371046733.053522,27687652385.556248,29067970916.81455,-50334543922.19173,-16244029.812271383,188999738.3770217,-741334512.8087558,-68903324.98062305,12178753369.99937,-7713863326.6188345,-273618.6560272469,18908368.690979365,-129312652.61039168,-2118533327973.2876,3336202334.5713167,3585590098.3540416,-648651769810.0245,919712834.8634859,2961977641.4932556,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,-158878568.4827425,58318438094057.69,68767798827810.51,29964184934888.562,11293810576.967981,1052640314.3549843,-62400364126.575455,-3345205239.6686573,2794722355036.845,-4661329393604.973,13688449.56371487,7479410488.740052,-21559161055.185127,54612356526.30422,36010505008.16143,-89275938226.03696,53966625.45703331,-220962767.79771188,279202915.88072634,-229830473.11600375,7043111662.944182,-9235486389.686491,595065.4523074145,42579859.11395882,-63021896.57875699,4406951033539.099,2036281861.8690863,2545909293.6322865,2692941418141.6147,-134648994.4879924,-2793395205.9559836,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,613777764.390487,56858348758285.87,94703485686982.45,30910838032358.273,16627909859.941818,47416391765.02542,-71002157784.14082,4787019682.877302,2783713254723.8857,-761220251890.4712,11150949.689304544,338556632.087226,-19831094883.83435,81950426471.85205,110745408657.15625,91167619126.43349,28774638.641551983,-96646438.02646402,541619983.5081028,-98493362.11157309,9551418407.229416,-34397092382.37934,303320.8413281825,-13399046.691881996,79235788.23672804,487155843018.0227,1893492100.6476977,1303412599.36478,4842095026120.32,3983374093.159179,1486032227.536462,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,716060610.1177357,56691303652137.75,134323572373403.53,35975262369446.99,21439290512.071915,83486782308.10721,-98590163131.75618,-1446699065.4808326,2250909330118.533,-4864499748297.033,12033889.351033162,4437400775.703969,22148467055.842205,101635738865.73892,88054702974.77496,129499048646.88187,96813578.50051256,245922140.75210792,-737474953.3328348,-21707428.035338458,-1780531105.6422033,-48704174623.83993,-517247.5867898228,-1580136.7378060983,-148305172.51219416,730551841108.846,-1786086250.0982742,694047224.0130922,4458372258494.418,3700731513.140236,695664752.900063,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,278927603.04314685,55339569507906.5,156534879322091.9,70665734227787.36,27367876371.244534,85935797677.19577,136162322733.65308,4385038903.468911,2104883041687.0383,441949029478.55286,8183237.873155285,1733500678.6858573,-15388479525.4984,128392880789.24004,170273367074.74023,-69279950475.78717,79953901.30462347,-21858234.723331153,910626687.1325911,-102708801.90736091,-4713143532.329728,6318365000.606502,528508.3877999601,-29471011.28935816,148943538.18070152,890791092500.0576,-1146694198.01787,1935648436.634636,3842652254665.864,5165751227.864353,267086068.14877516,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,949682828.2959774,54555614469036.0,189158403508407.28,93847908151263.72,32202316498.94968,92977451167.18726,-48963599134.53084,-3585147429.4761667,7276408338603.641,2174976263630.8096,-468758.32527418167,4475570799.377237,-18419127391.326756,146050728367.01035,259033951057.8604,212856277064.00427,202582287.07435945,233099854.54728824,-918390535.9003963,209595395.7235525,-24639531.537784576,-19797883134.28951,355508.702078897,7347773.297272986,-45067040.728199445,898344177382.8721,2286080623.248925,-3055757155.101529,1687918664242.1904,2815555601.6770935,-4898312438.7731905,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,860362540.6712031,53252799007330.766,213693872047106.1,105398203923001.56,37112270152.610344,150166432192.7495,35812221140.54581,-3255792210.9331183,6500323479524.984,-1747987993621.474,3292454.781477071,2246271970.958412,4647031231.172871,163108521562.46094,324605944157.1603,171766639125.57343,208204331.5513256,570028782.3924954,459273967.5204927,116351035.14929628,25944825480.24679,34854490055.53137,487084.0848704588,50703545.49618981,-83229877.60507435,5675287523894.471,4161709579.0520325,-127344547.41121888,7265152653936.659,2257530830.9158697,1926809778.7124994,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1392669390.8918948,52341278628776.84,229505757433078.34,135683240439194.88,40751635301.28571,160403574404.71786,-12773211605.258438,9527398965.827045,11866132280274.371,2405785005898.709,11198354.543346036,-2124711423.7518072,-16132981396.97242,185158011056.6969,399900152285.19086,291978680726.75183,294189947.5837042,277588043.94372034,931520318.6704764,167972180.65284282,25830821560.823944,54937972906.27373,478354.4166037979,-26890768.580840725,99789599.95028499,6295873046733.257,7988449231.35651,-1651651282.6323404,4864655765159.394,4863144267.357681,-2689347819.117121,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,2184800007.9594035,51643396461445.79,254154292839378.25,169185351637322.66,43847956647.79771,237863983363.1296,10424315907.604446,9872277295.539635,13555084623445.342,7324409340515.636,2714762.3083356684,7554579754.194059,22465634811.46866,196812898704.0653,440321419737.6698,390842445019.24854,372226421.5234357,906103345.259763,784579060.0973241,201689504.53299218,34933455193.971725,13636675857.226715,-214341.49623437237,12604542.348265983,180317928.1941489,10770119774733.258,7275945632.633608,-2729576821.236771,6213498468772.212,7414402443.959356,1320110034.6264467,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
