miliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,249340774.37938488,60932361561447.48,-6103867347422.424,18594809604841.133,246211708.069978,33542262597.308384,57704693534.62843,-6473727041.533862,1693194112336.6746,2079203506116.135,-2495340.7306503854,1001165126.3714195,527306581.9703935,-712278901.2149637,14363406912.172377,87246084227.67699,16298800.26528508,-184975022.49920848,-7962885.397876172,46990055.2924883,12862712406.319527,-27092952674.48383,203614.2286845898,-26281406.297394417,-175424210.01799306,2366020280300.9194,-3589964109.3629746,-1623428229.071974,1623088168800.8298,-3713411456.8019547,6350851006.783024,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,52273994.56247224,59409472994416.01,34945413067220.86,13658486503035.34,7108167286.185947,22768147016.549377,-73373435322.42262,-553885018.2422752,713518138341.2262,-6465291045055.691,4080163.0639466634,4976977976.620111,4928614976.107459,28237711876.568424,4565957717.1302595,86057195045.61005,25779359.031584177,-196638742.2906455,-910301374.171967,158971357.08891836,8270901582.743027,10618927331.065527,541201.7201625899,9221096.95913198,-61149606.67749116,1461370211882.6348,1170170342.209981,-405868321.3455894,-2252173428755.7007,3590723581.3822575,-79558751.67142841,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,-211047898.89886355,58444011757809.555,61910052869548.93,10554287449369.746,10731271419.463745,41580157632.666016,-6621460334.906681,-6815375360.578842,844619944759.2056,-2833241795358.755,1841269.3156855816,-1444817114.3682559,-17370147529.405746,59388540590.1436,39734808900.49951,-57462291361.5021,29929688.650524825,249020596.28309232,-523559840.9253312,207749124.03511018,7107974076.304462,33843027376.115513,72231.98287012437,-28476479.659167115,-6027482.5209939815,924787228290.4487,2859754609.3547935,-2351805893.5178304,-669257412729.0266,-2921155948.26371,6462555911.53719,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,422476769.03472495,57453847776266.45,93167919045694.8,42296031402687.42,16593467037.590014,9601275539.688168,577020003.9657879,1000385195.5863855,2844613357218.5537,6827707823078.417,-6306318.408596269,1650333122.6571746,11071408914.852861,84153272990.09918,98980625062.37401,108209720275.64604,6064201.753146507,215925907.1251653,1180563.1034480697,193647373.03425744,-37575646.38740802,32611574531.00452,25751.400562834773,-40336936.77403525,117427489.9679219,1307973326827.4072,-679075669.0609317,4892857970.962542,4005321417214.3184,-1165928693.9955893,1401017066.2795427,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,848350549.5654149,56011621912240.055,127456562289772.8,27439725072946.805,22300838623.825756,68821548773.87534,-22029847739.343452,-5583061140.875866,1528559002918.892,-6688697515011.876,-7476840.526340475,4852896609.28674,-6214862669.668245,102638083001.19627,107827217175.52248,21745899520.036236,62497125.49800496,216109348.03406817,349431320.9601148,-85870373.38469131,5290175422.045032,44032748764.59153,276759.9529749847,30535666.30437592,-22648665.444162156,2578640313780.454,-1262038969.0177035,5307105963.632832,4324974927438.4756,969059019.5347402,-2163815309.7425866,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,849994505.6239314,55409531614027.32,163435031573315.8,60266225058042.84,28101914590.484806,95440854681.47191,-40092259846.970535,-4966698603.970338,3187047409950.5303,4081275904370.6978,3922600.929905521,-2339034659.2267485,-12004511835.705856,132209612189.04208,215811112535.75558,-66726773386.11341,165814446.07386798,255585079.5333447,-818919108.2295642,219163520.58092138,6695145290.854879,-10183492805.82932,-472558.71127699304,-20004359.15508946,94458144.14702795,3120436113308.162,-714233549.7530456,7351272231.629082,5660975099510.458,1115656309.648913,-1455761943.6272373,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,1477799790.730014,54433845530526.52,187611273315732.72,87179286035527.77,31367724231.23365,143602465734.3241,123091550780.49467,7950658240.156863,7638892149228.503,2779439756321.3735,-8289479.14634716,2397113035.5301695,-17391157963.900795,143326564371.7937,288078892496.45123,245108568441.9917,132087322.56375712,106833431.1033811,-656867804.836276,115633874.53674461,18454892805.850353,25819023359.557194,204050.19548457026,-19701503.40266331,-39727641.721872136,2337055725824.304,4954270806.087743,3065256039.2312365,4199122070075.4385,3462123619.389598,2187394105.4033885,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1044248738.6191812,53730855373751.92,203365886028401.12,109931475131394.03,35927428133.98735,170033502206.97217,177184481831.25046,380516081.7027917,8951719885954.316,5978965038980.818,3106552.8264790922,4790546511.257219,266193010.756706,162183840576.16452,318310687998.6499,250125442919.20898,194884016.9582985,389108937.6814645,-449387383.6944969,107392716.15087137,14933498657.148712,-32942262147.788555,-569390.4966416265,-30217912.072552122,-36095015.25087299,3637942685054.2393,4468147235.221595,2647019000.4976735,4105579924024.213,3328260447.024173,-103494947.7100606,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,2203018481.86795,52659194079555.38,236098533069861.34,112870908146325.38,39392378465.295456,189468940447.7441,18478544462.040894,7188480751.762882,10390745214513.295,-226471058301.58984,10573235.170202151,301349998.6878004,-15132403209.881603,182978510117.12122,412824463192.61536,165087227240.2696,285042851.4913169,652184122.2898111,1175702831.3680835,261577695.16689524,8534147154.901445,-631235712.5896721,-251108.83567913115,46048031.34474002,111055977.96176039,4792513913983.738,5108268026.647996,5874822193.802946,8162009305495.58,6398311420.954802,-2596096234.2340093,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,2064437033.1273513,51349753975221.37,245710331751237.0,123379514658654.94,43825113872.440384,206046723871.99945,73932325467.88509,-888612146.3920889,14065031830104.203,10281828738631.094,12454073.757481553,13499235298.423044,3345275774.817183,199953640419.6925,494296072960.9321,438490740594.181,360945422.7339389,875581783.2960536,308212396.92675704,249249441.2647652,22416409075.41214,19995286736.36171,-533886.7228273464,5398609.385158472,11213214.892862186,4244101069182.023,3733979618.540113,-3103675258.44255,5821669246886.705,6951533544.129619,-2853691174.719234,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1000,3227953125.789349,50514369640123.055,269167900712565.75,175700587973707.75,47793397237.38607,297087564194.7215,168499158980.62393,5538229900.578871,12249120226099.31,3232502684764.9004,-5559264.128434685,16786258176.616947,-9912767575.485611,219825405347.08658,572791672281.62,317011139215.74475,443358756.3560109,999838644.0226645,509989436.05953467,133479103.72058353,41185890058.42596,30012726829.94705,771510.6068880347,12963726.862197258,135220914.79916766,6674674435946.959,6488875141.153405,7939495403.570879,11865324467710.707,7092549438.907377,9435950006.93543,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1100,2691800914.0635386,49195817957738.805,294191662009068.8,216451220744100.72,50575263568.9119,294891358333.6386,155291633444.88342,3629230652.664981,14747276713854.998,14480275666651.328,19223459.777600642,8893588523.072546,-1263142308.902977,235605410065.38388,640454188495.7898,617658656063.4977,495087160.4275064,867524270.472194,-135588242.79435277,-17083404.567808986,34278063328.314613,-13373492391.727448,-212477.67450010352,61122716.39279683,17971031.19043296,12368107312870.32,11338310163.11509,11252582439.39638,11277339055264.613,7835740230.5580225,11750631196.781033,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
