milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,-408496430.22263914,60566443034604.28,2911589610868.0757,-9139594627606.365,-493626270.9415818,-12264694763.373945,-71828333948.44452,3501759437.403236,-694167338786.9117,-5388725823557.118,-59885.89414450766,-1229033635.7901232,-16853697879.44217,4234148584.4700103,-27102881716.68099,138700099800.39206,25946122.657727696,-66483322.879963465,342944704.7791139,124086283.43830058,10651420.096416738,37047057984.10829,-5545.1665209523235,41378636.852217905,124719997.23678878,-2165128312333.4683,-1019745327.0862944,-2055329716.5093157,1099139309713.751,355245863.47763735,1612556455.7199514,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,368419134.79715556,59802248405851.945,30007708380049.63,23883774165812.145,7459366538.483259,21543363709.168106,101608122385.20137,-4031686265.9969153,1199223122845.7966,-5894681490099.473,-1689709.7557129401,2696383238.067356,3374861161.94746,33944028414.223858,25850520784.53444,132365357431.54846,17395726.118143894,209257769.97624022,954312442.6686109,-55817143.368876,10489321327.56828,-41678992733.205925,135762.75277222795,16671306.04838895,153079209.2283038,1407330822891.198,-1089513695.1553385,6358749785.112002,3356551556504.5845,582773513.9467399,-6709704672.103726,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,186150965.09821558,58057854820096.78,63032454746972.31,16275432517780.686,12081397845.238203,-22961688876.003395,-6942684111.904943,-402796242.4629829,-368093971041.9645,-3123722954234.375,-71629.99929865367,-7065035966.698852,16443242136.148579,60585443688.198395,46875754670.12616,156309393051.83023,26279462.988954253,-138006249.40077516,605457358.1860855,47627597.78495388,-9820993262.187124,3267996794.2667503,-178338.39057398954,35103667.825324625,-13003293.966378387,-618628280795.7485,1510183070.1986237,3993727127.206664,2996798205445.622,-1771604475.4189482,-937491532.4223623,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,261940187.019559,57106658795407.19,100032598029830.27,3866308990742.328,18138318683.370365,25449868865.32538,520506562.74104595,2116361851.840781,3138216863957.2637,3583283598996.3076,2405182.540630176,984346303.3423302,9271893006.351057,83013802049.81688,66725369700.37085,163392750026.39783,78268205.01490645,21630706.25329096,-747808332.568262,-207741041.0355037,4330188791.82501,9856734412.561354,176061.39190572785,27881589.446996566,-31031982.244405046,4876336443675.957,1910649340.3622036,-3312133212.2201977,340953501714.92896,325017392.2264831,-3988320872.0477343,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,113729421.61011773,56672114590781.98,136080379992785.6,37696292958852.96,22138934237.41771,45413901716.10192,66802815105.38535,-3942415107.221998,427071114233.88794,2306717937294.0024,9380808.22147227,6071753112.276949,9241331702.057941,107450891606.70201,130684434300.23082,-23805108974.007053,59712631.86334008,180850593.18890145,691597383.2707443,-104357606.46388583,13221321844.405045,-32182003126.26655,-151265.35853246233,-10145519.898187224,170071796.99565905,2742698905070.561,3516183659.491372,-4859500659.883032,5031637572847.331,2062311010.1943936,6926351500.301404,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,350139628.3253388,55645016161477.625,163681847479913.3,62489727839181.94,26952293817.74544,77686381821.28978,-11033385662.964512,1368302479.580339,4207733654702.914,4637605763841.684,12950484.331594191,-2593933783.544607,-8585879719.280868,128133764357.03017,214302785865.99945,-7918103667.814713,154380449.8990605,-9560294.363764703,38281848.57830359,-229122828.06527022,10094598407.174652,31650995582.260883,-264130.0836812185,20112976.21514663,-19008888.123912595,4479043010641.441,5437851310.49053,-4429258905.548582,4115901003113.379,-593133295.9584293,5244440016.642933,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,478556745.2292143,54576323889107.07,187576773489053.25,70527772935348.3,31642817473.979855,114300338524.0835,55793100430.437706,-1145091725.3085186,5046741820720.998,4074068020657.856,6297869.179274049,-2731541534.656019,-7849314543.890996,152082945412.15997,240520067192.5138,-40367050282.530396,190301537.164719,219327627.73356172,626906217.7248787,159560199.69327617,-830640685.8870983,-44229368387.90855,411321.47850634955,36413533.94922787,137957594.0099803,7548574986054.859,6444065810.036264,3664611166.884216,2044228470075.5537,2360919969.518235,2235018999.0079155,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1868093753.6269507,53629095351940.24,205161982353258.25,72059190395523.0,35053557689.28555,135267384062.42429,110916250854.32913,9708986680.70782,8486617349255.484,3800816892470.7085,9688882.937184956,6535432523.570726,-15285752303.341825,163174678455.73804,358743343226.3346,64965763875.877975,196942436.81346548,544138414.0071037,-207251279.60023522,-122966645.18530464,8573359268.678756,-21623642599.2763,-310488.9505755476,5697310.860384444,-163345367.61902386,3488561636911.8506,4284305264.803664,6971853958.026934,2296277905999.314,3888970072.049443,3278641444.0250926,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1455350493.3814497,52318685786268.88,236016614447054.34,126146319141117.42,40736867591.1359,197669877907.56982,139144117226.69205,-1167734009.7096915,7237474608683.114,254080328403.9004,-3667411.4388092747,4998603209.760643,-4699294719.512131,188070754477.00403,370522155937.9706,263255579180.99493,245893609.546497,682919001.6198419,-90753589.10399449,295564730.1439399,21571389582.3379,53293960692.760544,-276788.90524536173,55482717.91665217,66934374.6843101,9551403160167.473,1992491244.5497994,-4375366122.133066,7752849820044.417,2822161029.004448,6230692485.725283,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1987556985.1376512,51257503531700.41,245736620537020.5,159633989971350.84,43790834108.53537,209782440717.7017,10672929690.59253,9378442962.511505,11593011588251.87,4652358241734.085,8201968.9262177255,3074073899.426739,-2792948385.839782,201657620336.99173,489384971525.14514,275519413656.04846,350186985.2775828,482620271.0795295,-15889508.564329922,28933133.636171043,36762121068.25708,-25264875072.538795,-239081.45514305495,-6781059.087783981,-144158888.42782775,10072977712287.61,6150458228.569212,-567152203.9275236,7968715721145.246,5866425455.10401,-1753680335.806765,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1000,3128892200.724322,50818224902406.59,269861380842870.66,199557555632745.84,47967813601.3041,285172190354.43475,184261297469.86734,2141329250.909546,14740798740152.572,4148101022954.5977,15700932.683107294,2306992255.1324396,-2782735238.7832956,221861196005.75082,588560403526.0547,518272299491.71533,434011569.4201189,994377675.409049,1054388970.0033655,113832728.95319961,25744422425.93473,9712041838.59662,-537763.4481414565,-4681130.747934204,122097416.75739111,10176627191716.26,5739686765.536655,6180780827.208958,10342471694327.623,6943765268.364893,-2473750468.726569,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1100,3373706386.6452584,49756848447481.914,286689317446292.44,181617590272326.62,50385588489.178734,299002180453.11346,196856901873.98447,7670961879.545805,15589513162842.781,11226972195261.666,2460465.5589391454,14834729965.703241,24594555641.29812,235703998177.16336,613803084315.4725,417708479233.5391,470463240.09586084,1120761322.0759513,927012300.7790215,85865537.0857414,50146826297.88838,60851341779.98741,133867.40448724062,27706056.335630324,-45212920.71148774,12382518806415.436,7945616872.5907135,8398935945.077984,7971679761388.976,12626253525.902431,6274912471.396545,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1200,3752651852.8828816,49106650417395.234,311401200146486.7,224868407423133.84,56065910282.300964,356156569808.55585,312359915051.90674,8832635505.315243,18353811327946.457,9623122251509.422,21206706.506265085,16604894737.556677,13716385527.154938,248776120387.69226,712875570945.8944,653472546851.8962,574741417.2116475,1451890934.0992427,1255342059.020814,244903921.80785865,42913674339.528114,74273829577.54178,407342.68906402227,92732311.22291553,-106289434.034649,11279973677187.598,14170150753.65264,2448043885.953565,12248808533805.74,10837623329.170704,8979282102.495773,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1300,4194378956.1380734,48326156267334.49,318285054871951.94,266334962933391.38,58817486661.77458,385151202549.2121,305309712386.8932,14213580066.45104,21253702922783.984,25594852787759.324,7043865.334387266,12381238650.718794,25668158647.56332,257928975204.80075,814569744442.296,802427520714.8799,585679192.3430969,1566236214.215937,2431305095.118067,518953149.9657977,62812697631.45708,19566294710.83764,-30148.9966401133,39893362.861818396,210442180.7019396,13945102615850.508,9581223434.24446,12538884363.33746,13621846354692.691,11341618642.179482,9544347563.889414,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1400,4852775830.26111,47400580943405.04,334282738459715.8,282167415219021.6,61357622320.86912,480902609600.0457,424183227812.1877,19358889311.364586,24141452725942.84,17881791780956.91,14567327.59052452,25320558941.715195,15244054615.846668,264101020910.80017,863781575754.9669,902372550738.5764,699165524.3725225,2121070046.3767955,882091196.455911,748545188.2885714,90260599107.13885,69948540050.44261,-26996.067669294192,83194587.05197915,228354451.2098209,14061309887181.844,18791662767.824463,9290990317.483965,17714147844715.75,16158057010.13439,4009201697.7620306,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1500,4964341343.031317,46620193406122.59,348586652522373.3,326261580824006.8,63683338306.565125,497164673466.7839,440278042343.09924,21603681453.224358,26184851488732.758,32261818426216.254,6355708.453904146,34755656380.64647,22444328821.799828,276012961716.48175,922835176415.7424,902799442807.1458,713359961.0881323,2357319098.448522,1328062992.7445307,701455757.2860653,84220250890.14546,81614385139.32845,807501.2827600926,113966926.86416999,250857832.23935366,21822010623430.066,18239543122.961937,13017907535.5733,21353564119163.18,15821848057.587742,17162557983.535305,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1600,5927872703.689815,45572979311553.38,373447427832243.5,396895539314170.9,67437635293.69481,566665362897.6768,688235704040.6389,29474239542.764435,29832939019542.668,25171521914380.35,19441703.41805024,26106130965.80994,31808368658.316673,291283144618.4601,1033868736062.6603,1127165538532.172,822651791.757843,2361615920.169108,2264763585.231076,817476147.8669893,92994194289.64986,113820423868.3373,1221834.3847852699,163259049.24345762,142585741.9482103,17893821408096.875,20936661409.789173,6797831735.904686,23582618040671.74,21178347730.29535,17806756244.716427,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1700,6244329701.819283,45086576767609.84,384915001522845.5,413148090771940.1,71075215861.52731,632941742384.9373,779608568351.8224,27140625699.194557,32323670104459.918,42792376272167.6,36103249.81583242,31312333886.449886,49286672787.303635,295720877355.6574,1067595095296.6135,1339094612859.8215,933098841.37516,2914752508.3589993,2541871430.594923,705801286.6707821,120864734601.2077,139972835408.43848,1383708.4455781844,140025815.55554858,372202476.7002554,25552215371335.37,22872360047.228943,17499533855.854935,21381598638302.48,26725884650.693092,16043524974.396774,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1800,7402000540.255395,43972042300046.15,398911075850250.0,477479642433119.2,73958315436.96118,685011694179.4196,900197210478.811,34913252523.91818,36710552883287.71,42232909043335.78,23826513.207938157,49242973200.25643,53518213465.80927,306525572804.1691,1148336057559.6133,1504487754544.9446,1009313737.3159064,3450325521.020888,4773621105.486666,1188895739.422495,126009585659.26799,157429465189.64246,1315031.3312216527,228378275.85638672,224227392.219396,24855560824891.684,23469991408.87365,16486802324.75885,24405922095996.93,28846545690.408676,12613733667.938622,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
1900,7865871935.42599,42938887802169.664,400669871028878.1,489511789819560.56,76499363787.6969,739054737884.9331,860327277025.5375,38901257444.87322,43685995758105.266,57124551089935.086,39521226.176947966,48726297507.06095,41294203504.22734,314188340120.5649,1257660944999.3396,1817228464179.5513,1057049926.795127,3714376825.25169,4715740812.431444,1321176885.9876442,147439465237.30048,229656862025.7984,1812616.8441599805,265849478.82354137,312027625.3287499,30306799193357.625,31299781284.699097,27048904506.356598,28208922907171.055,29821731297.18712,29242767488.852333,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
2000,8542912427.352247,42171034593638.6,408824513488870.44,521425683622625.5,76791443452.01607,812068232496.3602,1127568448178.1426,56811678691.68732,43066422604475.5,56874272646822.38,58290433.435755715,53795562073.32376,66227651246.2452,324557216930.85223,1318579745424.892,1830702834703.475,1159955982.3583229,4150868851.1238747,6347069992.113322,1769086492.8966563,165333363720.2828,244650610737.8469,1342090.6627568472,285408578.8823262,573515859.262476,36162792521780.35,29329071652.667107,31283995004.91324,33022833472285.08,32753332454.185947,30877071445.617805,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
