milliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,452829237.6943159,60780105041324.51,-2960392508624.488,-7543360852575.126,627869443.8469037,17379525080.475418,68036406561.68416,-2318357316.0797467,-409390736274.5431,-1694549097828.3132,11548992.425242668,-7116723522.291184,15681279364.812435,2315953905.638286,5256648154.015708,-46779433025.76475,-12905701.743340857,-244563995.38042173,-734806261.2707956,-230135538.1978821,-4566584387.114328,-3349102812.173216,81044.94240240727,-20141917.577059306,10586419.72174286,3274103716100.177,58380370.09518714,1477574695.9174142,-17282776415.94173,136112810.00435328,-1040184906.8960402,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,607360540.4627984,59722753108173.96,37469619773790.836,-20294741276603.832,5516492750.524228,33315765814.095337,80859817062.52682,-764148088.5432473,154235591172.6552,-6087097746686.359,-7360158.360707221,-3542350808.8453245,127931911.4247879,27827423521.96621,-9589755268.099129,68789125605.7451,2267619.000529414,159317216.95259717,413024038.0745381,-65094343.45747271,641557734.5524737,-22843587869.348873,-511687.64889995096,-5100169.272088372,-156381358.43111682,3511490460319.97,-1810037560.103887,6030739364.504945,3919351575656.286,1005998954.7647362,547861178.9651163,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,308882838.2727836,58433080341440.086,67721616725887.76,14407755005808.262,11456899337.143602,36375129833.14001,-79380048878.97336,-2196297459.6222777,1038636275668.1943,2456444565802.775,-12617747.424952215,-550023945.6532298,-4473464252.835586,57604308148.63641,61616970149.15935,155419236407.71576,51328399.9027457,124108414.73602432,32966003.419226058,-108577246.47241014,-7581354915.484825,33629029792.679882,540761.6982673627,-25349571.159255344,143674909.01761162,2577030290512.024,2905838335.9751296,2405892359.582643,1186562318150.1353,-842259651.4854966,3006888440.282391,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,651972098.5929681,57418678039257.15,94080278038158.9,31212057522081.586,17939789062.09155,55339923064.058716,123171911566.75308,-6605715668.991149,206162724315.50732,-98486449025.79828,-9630816.264896514,7536264822.353105,-11755730793.564236,85211016130.94867,88506825424.74323,-54599654519.11925,91398832.36398788,200651498.72287586,-518192117.6546178,397841.23661536863,-4954033.128397226,34604626074.08617,545302.596179064,42972046.139778994,107544742.64794758,-1286301703892.73,-1697765426.786821,-2982959526.801053,2279653048831.415,-1765887497.7957077,-929024680.9263389,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,420081001.2430857,56002611855802.11,124351175151571.16,58405607718564.2,22654814545.015663,81579028571.13358,-107337003277.46463,-4518941469.027583,376681455674.6299,-5660533788261.085,11362845.413685525,-3504931762.6575575,-2029595408.9466772,109018899486.38019,100915435672.8767,-125865891130.79425,76124381.38629708,209696555.16542888,-600181869.2678826,64385289.51302669,-8071773510.827165,-21308481473.05518,258170.68014539938,43496128.126126505,-147905372.10299236,1502779703068.0369,2772286117.3950973,3276895198.9867396,3769052505207.757,1176776552.549365,684490618.7130651,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,642389554.4972497,54810287492172.15,157224253220153.3,61555595769197.69,26126797460.044373,81908710001.69536,81242932213.8335,-5183481609.454442,6006630566817.459,157642520825.6831,13253213.26448679,8422504777.276045,-3777858499.9894767,129573746225.97835,179160854902.20578,-9394704331.493286,120319735.13188247,323948079.78569824,439425743.14309484,177020520.71460316,-169090040.7018137,10205850251.707075,-36082.40599964455,-33977975.578382686,98636963.63924381,6271963862882.357,3726957612.642863,1597211767.054164,2444186582774.16,4488382075.141137,7511633370.807947,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,629624246.6534324,54578778183243.61,176488836512253.4,69491303709650.914,30221319202.564484,81087132928.55386,-10972157973.146935,-2355965734.62729,5471688482835.807,1924777862611.97,14544052.303874636,-3848499329.552314,17045591812.714588,145003323572.2241,245589090163.85687,-55407847878.70195,210832234.22443786,466954247.4436534,64835982.91805294,247835949.82257938,17073652397.330627,-13374339654.958488,-9015.175035993898,17267077.280253027,171167750.00141945,2467700816253.491,2357431064.683269,-113457086.0481838,5899275633488.398,3936151967.5397596,-981349516.8369256,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,785921243.1036791,53342274738966.32,208096297894313.4,90872129064679.31,35620188509.83071,179017250229.84937,-51897618711.26522,-1752461877.9337316,6638434225150.433,7508968174833.6875,13567043.691452358,10786648982.951117,-2580465122.61165,165766840465.0071,306105001377.2292,145730976980.4639,217225008.3992832,423659254.5935837,-205627595.99628413,194761078.80479932,5095650687.748407,17546386438.281895,-544315.3748530928,30276437.177256584,20190437.53817914,2504689361949.062,1011354267.0712323,78938861.573838,6614064095281.66,1849928204.7604127,5596613206.566193,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1790329978.3464184,52210661803277.266,223612387095282.6,99036827176351.27,39865916363.55827,170546722874.86768,99953328772.22757,9317152103.60653,11517002948946.773,1621657007574.567,-3825917.118736295,6049073735.962233,15625017144.6471,188269479235.15164,426122501154.2446,228825136453.7145,275468674.40284514,495507889.58236855,-516060877.5048069,-174297725.23900408,20648747807.117138,-25462156913.130985,683681.285211681,22585725.93929544,-142413673.32025838,4949946954712.414,3523052438.8233423,2221811111.4228454,9464938552998.088,3742007037.7689795,1439758204.4353914,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,1977757456.3231509,51126076369951.12,247121988333313.16,161966313013177.9,44512469402.20102,256950047916.86545,188148944611.58096,3739896636.6504498,13941794058509.844,7363508426027.303,11682131.689798592,541111475.8349962,-13307701766.01433,205071744616.27722,464399716019.13184,400679391000.37695,368140878.21593624,769894220.8324448,830205965.1422246,156666603.41334665,37895923150.15594,58125112978.9085,-368732.16514999996,-1350006.294837594,16644713.030608797,4329502407884.1133,5124615580.225092,-279165526.05104303,6482727893863.431,9146982235.957247,332792791.2485604,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
