miliseconds,degr_Foxo1,cytoplasm_Foxo1_Pa0_Ac0_pUb0,nucleus_Foxo1_Pa0_Ac0_pUb0,dnabound_Foxo1_Pa0_Ac0_pUb0,cytoplasm_Foxo1_Pa0_Ac0_pUb1,nucleus_Foxo1_Pa0_Ac0_pUb1,dnabound_Foxo1_Pa0_Ac0_pUb1,cytoplasm_Foxo1_Pa0_Ac1_pUb0,nucleus_Foxo1_Pa0_Ac1_pUb0,dnabound_Foxo1_Pa0_Ac1_pUb0,cytoplasm_Foxo1_Pa0_Ac1_pUb1,nucleus_Foxo1_Pa0_Ac1_pUb1,dnabound_Foxo1_Pa0_Ac1_pUb1,cytoplasm_Foxo1_Pa1_Ac0_pUb0,nucleus_Foxo1_Pa1_Ac0_pUb0,dnabound_Foxo1_Pa1_Ac0_pUb0,cytoplasm_Foxo1_Pa1_Ac0_pUb1,nucleus_Foxo1_Pa1_Ac0_pUb1,dnabound_Foxo1_Pa1_Ac0_pUb1,cytoplasm_Foxo1_Pa1_Ac1_pUb0,nucleus_Foxo1_Pa1_Ac1_pUb0,dnabound_Foxo1_Pa1_Ac1_pUb0,cytoplasm_Foxo1_Pa1_Ac1_pUb1,nucleus_Foxo1_Pa1_Ac1_pUb1,dnabound_Foxo1_Pa1_Ac1_pUb1,nucleus_RNA_Inr,cytoplasm_RNA_Inr,cytoplasm_Inr,nucleus_RNA_Sod2,cytoplasm_RNA_Sod2,cytoplasm_Sod2,E2F1,Akt,SGK,CDK2,AMPK,IKKb,JNK,PP2A,CBPP300,SIRT1,E3,USP7,SCF,Proteasome
0,-356707914.1790653,60638451889675.35,-3021343218854.2944,-6695683600500.311,-1259187765.2183437,-33922265670.688427,55587068378.71507,-3678539090.7107162,285416833279.1454,1688968155163.3313,5597593.130835109,4085247043.3259587,6631037941.740671,-3671295364.046548,12265282587.042778,-3267686096.1803923,-11610116.408607066,-51556251.72201784,835043912.4002734,155610839.59405768,-6097617573.9023905,26572594541.91865,212419.5688126846,35735524.44279102,-167863916.41184962,-2456790344131.148,-1083021981.679152,-1723242643.7046194,-2224975897212.505,2713578932.899651,-4813174666.676527,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
100,86521742.32799686,59206045929290.79,40912758106775.234,28308549318035.965,4603209515.354872,27727780334.643806,-17412991212.219597,-3674836615.102002,571875312206.9539,-3734282026694.6416,-1464551.3672263143,3497571450.4933057,10057383361.052717,29505188724.131474,9085005243.720963,-40122703808.01117,40928650.69669913,-106079206.8278892,825493383.114167,66582320.71740343,-1840283591.6878335,-31728889169.43244,-379544.6993780227,43037039.64483004,111101694.74898453,689451373424.7577,-2154446250.158592,5624929855.49808,3111552461922.3193,-2510343290.4921517,3074895786.9620714,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
200,670579573.9274305,58003016367021.0,72555458181805.61,25321502278543.94,12407448117.138693,23828905857.36161,-99349465957.93744,3180033698.12981,-1179263608416.4912,1093370708387.0126,4454076.680814805,-4366905013.260838,6492067921.940484,58949962510.83331,68759185659.6231,-16035784531.305336,29252395.604458246,-9465612.767423648,635918088.3973974,-99508339.04353614,9354830560.107527,-22982293503.694195,284911.27185952844,34352665.42304407,-104875143.66864653,-329991486462.1416,-743641123.368205,-5889379194.394423,-838063910080.9619,-906727669.8667032,-2996884129.277964,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
300,-85557516.46283197,56908028008695.36,93044941691906.98,25265385024992.38,17391831367.038406,47514477366.05083,-115727726148.14288,-192427188.0760067,3290394171574.1553,-3352741992531.064,267236.18561446725,-3858927932.5615406,-20492182908.989048,81512728620.59955,59153142897.563484,82665776942.77057,79817466.41777804,199361873.85745826,-1020120897.4545501,-175976286.4360571,-9270826676.60332,41995402092.997734,-512252.86499399587,30852685.40571388,-87732793.03454423,741709778450.2849,-1823823909.882142,608683079.4285785,1064624465261.8958,3841257960.8691554,-1114171166.3577428,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
400,-147925938.83899254,56612061466909.555,122305193409680.55,10726237365413.008,20724382761.197014,44577456632.82962,17997023940.666786,-126101351.69822812,3610995306056.5864,-681257055355.7526,11088091.531836495,-3519446730.684021,-4548689857.180983,103322056015.75269,134774811322.64706,-40773379794.745056,53092848.24306671,-153303758.63588935,-396986067.49685526,31927667.54720529,-1565797947.0323725,-27324706595.89261,431294.6288018221,-11695299.314098837,94371419.31696077,5639316049816.03,3215036234.025073,-4335856072.243559,3637079007096.329,-879435010.9739671,743342226.2635105,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
500,1210402574.8570745,55594376046095.336,152065625518636.78,45228621310975.03,26886776856.56539,91079391000.54012,83746821529.09799,811332709.290314,6489949560352.08,5003836960535.668,-11278779.590698875,-3392234331.89939,18513286741.220154,131594084809.40907,183097294098.56436,64717746352.64279,163132962.49523166,131997081.20287362,1078325121.504527,213782493.7475421,8667016904.46128,12027728417.332771,419809.5830264602,17459790.756002046,-441868.7303167699,1420097538967.8865,5743404670.889158,6835144741.972092,3638669547969.329,2081489704.7193356,3261996043.871087,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
600,937005039.4653207,54229669377435.19,183082349376817.44,87481544814823.77,30868353888.625824,140554124560.30865,-13560207808.400719,1024187077.2020966,7835530581189.016,4537714309690.081,-10851978.368988143,6366761250.138952,3661454876.9662385,146570412032.36325,214435624241.54675,135963301091.60512,182266808.0627803,43680838.8935059,886183094.0078912,-29710869.260391474,19645865051.2906,23044823092.356606,-146216.49645201344,23792843.667500854,-71174086.98558158,6927745435231.49,47025423.728597164,4602587669.283719,6337687486845.169,7088299952.468672,4220330252.7612267,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
700,1529028970.8616595,53742228006577.49,205156380665464.5,99178347915143.94,34850373884.80406,134128569478.87308,-30009391252.78025,800389511.7921393,5840511962791.882,10127349402532.754,-7074819.262803949,9053115794.62559,16992056284.881824,163586812759.64685,297549326720.4027,138389988482.02188,242765500.94925925,503587208.9460211,-627687713.0195024,282424434.2921786,16322418024.98795,25143337071.568798,-134291.90481577322,26353432.264099997,-6338187.343315496,5929920931092.71,5395650592.057331,-4585914824.796815,5063736302903.248,1798543029.2232327,932012793.984052,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
800,1156366207.6792843,52670128380610.086,233636503647646.47,134753631466033.1,41403577887.07592,198217007555.56497,62212095694.290985,6387771115.1625595,10825603345924.832,-968977990557.917,-12403088.731834564,8938184601.194307,160137411.07494164,185142556567.3383,365271458991.7025,179148450047.2854,323268365.97306436,404312286.5393891,959535355.9510801,155248458.1588669,15802277617.774332,39359886570.84031,630879.2601305404,11657206.855359426,46756064.48358371,6789308369938.317,1796559468.0866408,2520046276.629601,4184908766805.9404,6824636238.743635,-4315821832.267899,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
900,2065577868.8758883,51844459577573.43,252754797132556.5,128225603654006.64,43989666833.530945,219784905307.05765,242800472255.5091,5708210992.416243,11746390380328.93,802394642676.334,8232801.193119835,2350822771.285321,-17937176294.590893,205162853405.07693,458401005262.13513,167868295761.87656,346833914.99671054,797752540.7528573,-619248104.342344,52322558.976764955,14690764526.614931,52634502447.857666,-561207.2337847119,61016031.48890844,-108975643.01143974,9424106109371.174,7230309292.291499,-2097777967.0018687,7182726690953.54,5269603226.383083,9206488623.999964,0.0,6060606060606.06,0.0,0.0,0.0,0.0,0.0,606060606060606.0,60606060606060.6,606060606100.0,0.0,60606060606060.6,60606060606060.6,60606060606060.6
