milliseconds,A,R,E,G
0,1.0,0.0,0.0,100000000.0
100,2.86610344316945,40.345934191806855,200.11726847229374,60652591.06847714
200,3.8882483946350135,109.15588511614934,534.216032873707,36837259.512457974
300,4.405181420807278,193.87783810429937,933.8223707622816,22454949.66201176
400,4.622242342856359,286.8491808385217,1358.4494527482773,13799224.351445112
500,4.663735849582804,383.2627856659961,1784.5400762915242,8617745.067741275
600,4.604747820676965,480.07127714049574,2198.7532882577575,5541969.43045283
700,4.490480463484682,575.3470286864691,2593.888971087393,3740505.8805207596
800,4.348002094284227,667.8874705935629,2966.415485306236,2708419.722610894
900,4.193386849913743,756.9638179200499,3314.971367954714,2139173.048200649
1000,4.036052540497254,842.1583655659167,3639.4587753244946,1846789.9896514888
1100,3.8813954129808286,923.2582042203576,3940.4963602422913,1718552.5634692444
1200,3.732390706668697,1000.1853949797342,4219.090177605201,1686237.5598063003
1300,3.5905627755223724,1072.9509557788901,4476.437268877559,1708656.9764129142
1400,3.456574226262354,1141.6243187303367,4713.809214910273,1761030.7927875242
1500,3.3305823606922176,1206.3129533931499,4932.484335423289,1828534.1710509276
1600,3.2124545496589505,1267.148652567301,5133.709194910209,1902376.7541943416
1700,3.1018979315547264,1324.2782097792635,5318.677735621535,1977421.167787448
1800,2.998537471448079,1377.8569886366324,5488.520877934812,2050730.5479671087
1900,2.901961645727902,1428.0444904724038,5644.302532589059,2120699.780917771
2000,2.8117498896663307,1475.0012122547575,5787.019078445715,2186516.79466641
2100,2.7274881351793705,1518.8864225096684,5917.600986729869,2247840.4233845207
2200,2.6487774076735766,1559.856590508485,6036.91556661688,2304605.594076943
2300,2.5752384600648206,1598.0642488788133,6145.770241800379,2356902.169104783
2400,2.5065136537674397,1633.6572091036453,6244.916103212905,2404905.77183843
2500,2.4422672534305314,1666.7780519289113,6335.0514915696895,2448839.6975977886
2600,2.3821853559612807,1697.563761630617,6416.825419541188,2488945.4621296725
2700,2.3259751689518198,1726.1455006923386,6490.840912713189,2525466.931301674
2800,2.2733640616899735,1752.648472137565,6557.658222565983,2558640.078686844
2900,2.2240982045232007,1777.1919412547131,6617.797802974551,2588692.9738416197
3000,2.1779413458195145,1799.8893098740516,6671.743064755285,2615845.020465438
3100,2.134673809251865,1820.8481966351742,6719.942969373179,2640303.2730132546
3200,2.0940914695039883,1840.1705571073248,6762.814469565186,2662260.540514194
3300,2.056004676201862,1857.9528443381434,6800.7447900066945,2681895.9483106607
3400,2.0202372066132512,1874.2861983478833,6834.093543833375,2699376.400014195
3500,1.9866253039708206,1889.2566516667584,6863.1946916870975,2714857.756632851
3600,1.9550168137091744,1902.9453415219566,6888.35835580188,2728485.3802281623
3700,1.9252703857051385,1915.4287236710095,6909.87251880232,2740394.4101792364
3800,1.8972547571062581,1926.7787889941437,6928.004527968,2750710.2003732827
3900,1.8708479733563979,1937.063277740123,6943.00273088816,2759548.7947322833
4000,1.8459368181517792,1946.3459003015507,6955.097532926038,2767018.49305947
4100,1.822415970065771,1954.68654279914,6964.503297007192,2773219.2158873756
4200,1.8001877331427854,1962.1414809821133,6971.418692993046,2778244.5260756733
4300,1.779161248402432,1968.7635759527936,6976.028476193023,2782181.0095145456
4400,1.759252181558019,1974.6024748456969,6978.504033155135,2785109.375322144
4500,1.7403822637648034,1979.7047733705724,6979.004392692684,2787104.279724921
4600,1.7224787107529658,1984.114233566806,6977.677381495444,2788235.2192271
4700,1.7054740240060142,1987.8719023754938,6974.660056788275,2788566.4581867396
4800,1.6893054467923398,1991.0163183435368,6970.079804522593,2788157.7178635797
4900,1.6739147041017477,1993.5836382219657,6964.054866389867,2787064.461489765
5000,1.6592477025912356,1995.6077833283575,6956.694952658431,2785338.183507927
