miliseconds,V,S,I
0,0.0,249791613.62079126,0.0
100,0.0,255226445.5305366,0.0
200,0.0,254667126.4578395,0.0
300,0.0,258677102.93985394,0.0
400,0.0,262185430.25140598,0.0
500,0.0,261692900.60644016,0.0
600,0.0,266195123.64314228,0.0
700,0.0,268097451.4227146,0.0
800,0.0,269018855.6810364,0.0
900,0.0,275074350.40300256,0.0
1000,0.0,274580963.41047937,0.0
1100,0.0,278172702.7827174,0.0
1200,0.0,279919378.93150073,0.0
1300,0.0,285005023.8137889,0.0
1400,0.0,284919874.9629852,0.0
1500,0.0,290498892.2104154,0.0
1600,0.0,291782810.55129284,0.0
1700,0.0,292858893.26394206,0.0
1800,0.0,298317142.18179315,0.0
1900,0.0,301329158.3118094,0.0
2000,0.0,303714331.5770361,0.0
2100,0.0,306644157.1513371,0.0
2200,0.0,307181996.5802983,0.0
2300,0.0,309964093.82626444,0.0
2400,0.0,315758138.2371302,0.0
2500,0.0,317835615.1827864,0.0
2600,0.0,320137510.2792876,0.0
2700,0.0,323714565.1906139,0.0
2800,0.0,323533254.1083893,0.0
2900,0.0,329118414.7582096,0.0
3000,0.0,329838682.10551727,0.0
3100,0.0,334785851.58775675,0.0
3200,0.0,337700288.0669207,0.0
3300,0.0,339381496.046056,0.0
3400,0.0,340577501.3549158,0.0
3500,0.0,347299943.3464661,0.0
3600,0.0,350488918.18167514,0.0
3700,0.0,350945450.2751821,0.0
3800,0.0,356307257.69908214,0.0
3900,0.0,356837492.1208898,0.0
4000,0.0,359259365.2463037,0.0
4100,0.0,364704704.62496567,0.0
4200,0.0,364531601.03800887,0.0
4300,0.0,370705953.3609465,0.0
4400,0.0,372778589.38608223,0.0
4500,0.0,376830578.773483,0.0
4600,0.0,379547020.4932844,0.0
4700,0.0,382340027.3114149,0.0
4800,0.0,386239668.5114698,0.0
4900,0.0,387487258.4300592,0.0
5000,0.0,391665359.3094927,0.0
