miliseconds,V,S,I
0,0.0,248964171.0541625,0.0
100,0.0,255529703.7900032,0.0
200,0.0,255646338.5488741,0.0
300,0.0,257236718.57988432,0.0
400,0.0,261590344.97111315,0.0
500,0.0,265287948.04703072,0.0
600,0.0,265655957.1432891,0.0
700,0.0,267297935.1914449,0.0
800,0.0,272691963.70228326,0.0
900,0.0,274834527.41324383,0.0
1000,0.0,275885298.1490656,0.0
1100,0.0,278801319.6999421,0.0
1200,0.0,280789106.2740372,0.0
1300,0.0,284240885.5780381,0.0
1400,0.0,285657217.43953264,0.0
1500,0.0,288104048.8470278,0.0
1600,0.0,292154240.77347755,0.0
1700,0.0,295338619.14142555,0.0
1800,0.0,297460289.1488049,0.0
1900,0.0,301416789.5877491,0.0
2000,0.0,303253180.3607437,0.0
2100,0.0,306330539.2175634,0.0
2200,0.0,310431337.3492546,0.0
2300,0.0,312949443.06495106,0.0
2400,0.0,312702701.9178036,0.0
2500,0.0,316294565.45412076,0.0
2600,0.0,318672182.30691373,0.0
2700,0.0,323766051.7176682,0.0
2800,0.0,325728080.45809466,0.0
2900,0.0,329069799.01785433,0.0
3000,0.0,331200920.6061187,0.0
3100,0.0,332829232.8477163,0.0
3200,0.0,336502346.9923352,0.0
3300,0.0,339649287.2387103,0.0
3400,0.0,341447204.5764495,0.0
3500,0.0,344322291.0041816,0.0
3600,0.0,349241009.9432086,0.0
3700,0.0,352024733.45396006,0.0
3800,0.0,355848074.15409434,0.0
3900,0.0,356143128.82145196,0.0
4000,0.0,361485718.87310976,0.0
4100,0.0,364646257.01621395,0.0
4200,0.0,365149259.8384279,0.0
4300,0.0,368480254.0428056,0.0
4400,0.0,373715553.2253534,0.0
4500,0.0,377318193.6324812,0.0
4600,0.0,380586779.5622285,0.0
4700,0.0,381024760.3755442,0.0
4800,0.0,386797112.09183764,0.0
4900,0.0,390056675.0282048,0.0
5000,0.0,391448583.37269944,0.0
