milliseconds,V,S,I
0,0.0,249029470.46239352,0.0
100,0.0,253511346.71349394,0.0
200,0.0,255844915.28852257,0.0
300,0.0,256997209.39739537,0.0
400,0.0,259602950.20787725,0.0
500,0.0,262725539.64322573,0.0
600,0.0,266646014.55307084,0.0
700,0.0,270344115.95184976,0.0
800,0.0,273106184.73877704,0.0
900,0.0,274178573.3102251,0.0
1000,0.0,277607876.6504759,0.0
1100,0.0,280082528.1344359,0.0
1200,0.0,281250743.9579838,0.0
1300,0.0,285230607.7372689,0.0
1400,0.0,284595699.36157805,0.0
1500,0.0,289510913.47638667,0.0
1600,0.0,291908016.21546984,0.0
1700,0.0,295906865.7191249,0.0
1800,0.0,296719316.5337079,0.0
1900,0.0,299078578.7311176,0.0
2000,0.0,302323937.3228153,0.0
2100,0.0,305585226.924337,0.0
2200,0.0,309346725.44493574,0.0
2300,0.0,310221144.08952785,0.0
2400,0.0,315910208.6718449,0.0
2500,0.0,314685267.1465045,0.0
2600,0.0,320136827.72795594,0.0
2700,0.0,322800316.6764359,0.0
2800,0.0,323910154.90871197,0.0
2900,0.0,327383569.82208574,0.0
3000,0.0,329755231.909976,0.0
3100,0.0,332191631.82358605,0.0
3200,0.0,338662482.9311651,0.0
3300,0.0,340922281.53499687,0.0
3400,0.0,344564449.5923931,0.0
3500,0.0,347234942.28590894,0.0
3600,0.0,347003392.2175772,0.0
3700,0.0,349624461.449073,0.0
3800,0.0,354618976.005787,0.0
3900,0.0,357211652.04443693,0.0
4000,0.0,360046006.2963274,0.0
4100,0.0,365405183.71254486,0.0
4200,0.0,366577873.41233855,0.0
4300,0.0,370938030.61365175,0.0
4400,0.0,372829550.167549,0.0
4500,0.0,377538195.84578806,0.0
4600,0.0,377946471.8975586,0.0
4700,0.0,383143032.0038823,0.0
4800,0.0,385171342.606462,0.0
4900,0.0,389104312.7573568,0.0
5000,0.0,392504502.604289,0.0
