milliseconds,V,S,I
0,0.0,250109167.82712433,0.0
100,0.0,253113397.5257967,0.0
200,0.0,254598318.81092972,0.0
300,0.0,260369944.44971013,0.0
400,0.0,260515369.48337987,0.0
500,0.0,262511907.0400178,0.0
600,0.0,267069975.10999313,0.0
700,0.0,268936167.8570051,0.0
800,0.0,273033296.2372464,0.0
900,0.0,274050457.0206634,0.0
1000,0.0,275056322.0472936,0.0
1100,0.0,280283888.65455633,0.0
1200,0.0,283193830.96163744,0.0
1300,0.0,282367451.9996343,0.0
1400,0.0,287442300.683399,0.0
1500,0.0,287808933.50589937,0.0
1600,0.0,290394033.90284896,0.0
1700,0.0,293923054.8281931,0.0
1800,0.0,296698546.856146,0.0
1900,0.0,299495101.20972776,0.0
2000,0.0,300915018.85964805,0.0
2100,0.0,304674835.6505557,0.0
2200,0.0,309640030.9609429,0.0
2300,0.0,309032703.0355693,0.0
2400,0.0,314134533.2417735,0.0
2500,0.0,315667640.06568617,0.0
2600,0.0,319434804.7415649,0.0
2700,0.0,324408973.95871943,0.0
2800,0.0,324451438.3080825,0.0
2900,0.0,328696535.6255719,0.0
3000,0.0,330347703.7865404,0.0
3100,0.0,332611598.2489315,0.0
3200,0.0,335880005.74096084,0.0
3300,0.0,337871637.6399235,0.0
3400,0.0,340816209.372695,0.0
3500,0.0,346748816.12196815,0.0
3600,0.0,347188080.3234852,0.0
3700,0.0,351807576.18881077,0.0
3800,0.0,355925396.66497856,0.0
3900,0.0,357539085.6706487,0.0
4000,0.0,358841350.7734449,0.0
4100,0.0,365204244.63680243,0.0
4200,0.0,366592916.57937276,0.0
4300,0.0,368957726.4989344,0.0
4400,0.0,374218222.2358116,0.0
4500,0.0,377001557.789355,0.0
4600,0.0,380993562.74426603,0.0
4700,0.0,382567029.94866824,0.0
4800,0.0,383867186.5294017,0.0
4900,0.0,388892397.6794729,0.0
5000,0.0,391746935.46046066,0.0
