miliseconds,V,S,I
0,0.0,249014362.43500614,0.0
100,0.0,252625412.69458154,0.0
200,0.0,255951606.57453567,0.0
300,0.0,258855834.61234054,0.0
400,0.0,261626009.1637492,0.0
500,0.0,264663414.16810235,0.0
600,0.0,265612784.006119,0.0
700,0.0,270389153.963464,0.0
800,0.0,271981899.3022852,0.0
900,0.0,273462288.238829,0.0
1000,0.0,275954367.59199196,0.0
1100,0.0,278635039.9025652,0.0
1200,0.0,282108181.71874493,0.0
1300,0.0,283534836.0244741,0.0
1400,0.0,288025849.09803176,0.0
1500,0.0,287900261.02190214,0.0
1600,0.0,290613171.70860386,0.0
1700,0.0,296028847.1943713,0.0
1800,0.0,297325509.72860044,0.0
1900,0.0,299959099.1832012,0.0
2000,0.0,302208278.60027266,0.0
2100,0.0,305844289.3469386,0.0
2200,0.0,308910150.65243745,0.0
2300,0.0,312836777.31053245,0.0
2400,0.0,313183173.7477302,0.0
2500,0.0,316419382.8441463,0.0
2600,0.0,317780061.6966834,0.0
2700,0.0,322553660.8345122,0.0
2800,0.0,323209234.03829384,0.0
2900,0.0,328711461.4097406,0.0
3000,0.0,329543121.5879282,0.0
3100,0.0,332234309.99101526,0.0
3200,0.0,338409446.5426433,0.0
3300,0.0,341320951.5225581,0.0
3400,0.0,342049195.2807494,0.0
3500,0.0,346700507.92413485,0.0
3600,0.0,349613848.882132,0.0
3700,0.0,352431511.54122734,0.0
3800,0.0,353979095.45838815,0.0
3900,0.0,358175191.4983125,0.0
4000,0.0,360896963.0315689,0.0
4100,0.0,362642630.51120436,0.0
4200,0.0,366461310.9016332,0.0
4300,0.0,371721391.69116384,0.0
4400,0.0,374477799.10988843,0.0
4500,0.0,377358674.7582779,0.0
4600,0.0,380311162.6309346,0.0
4700,0.0,380401325.30418664,0.0
4800,0.0,386974483.59676224,0.0
4900,0.0,388346217.78445655,0.0
5000,0.0,390588969.34521717,0.0
