milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII
0,5e-12,0.0,1e-08,0.0,1e-10,0.0,0.0,0.0,1.6e-07,0.0,9e-08,0.0,0.0,1.4e-06,7e-10,0.0,0.0,0.0,0.0,0.0,2e-08,0.0,0.0,0.0,0.0,2.5e-09,0.0,0.0,3.4e-06,0.0,0.0,0.0,0.0,0.0
100,4.983014546259162e-12,1.5846415623923846e-14,9.99998415215226e-09,7.669149107239763e-16,9.999886174229889e-11,3.443600681747659e-16,1.2231755144884746e-18,2.294431608931885e-16,1.5999999935328442e-07,5.639055164023683e-17,8.999999989048704e-08,7.019432398489184e-17,3.9296430191975114e-17,1.3999999999987667e-06,6.999999999941262e-10,5.861777276656342e-21,9.72686127065439e-36,1.400110822708885e-35,1.2070719186596606e-23,1.2070719186596606e-23,1.9999999999832175e-08,1.6782422845254545e-19,7.588602705496778e-32,6.271071502068599e-32,1.3555390350096484e-30,2.4999999851556926e-09,2.642467354603223e-19,1.4580060695446384e-17,3.3999999999981497e-06,1.6772930410788037e-18,1.1231282593683466e-32,2.2238814455645865e-20,1.0128192187117796e-20,1.4070603097814145e-19
200,4.9661035975801636e-12,3.162328263243054e-14,9.999968373195383e-09,1.4132350169899034e-15,9.999772878016678e-11,8.641016035534512e-16,3.084013326584025e-18,5.211689966884639e-16,1.599999984380595e-07,1.3518750738921185e-16,8.99999997386824e-08,1.6299928113219737e-16,9.826234663969317e-17,1.3999999999968905e-06,6.99999999985183e-10,1.478655115188898e-20,2.4537691528447554e-35,3.5320219459612204e-35,3.045031480356094e-23,3.045031480356094e-23,1.9999999999576656e-08,4.2334289904808088e-19,1.9143564109544991e-31,1.581986354990393e-31,3.419581894951658e-30,2.4999999627470774e-09,6.662524183274965e-19,3.658667024522459e-17,3.3999999999953486e-06,4.229004415936566e-18,2.8332854770332976e-32,5.605152878750267e-20,2.5548743957568526e-20,3.409597180216704e-19
300,4.949192648901165e-12,4.740014964093724e-14,9.999952594238505e-09,2.05955512325583e-15,9.999659581803465e-11,1.3838431389321366e-15,4.944851138679576e-18,8.128948324837392e-16,1.5999999752283455e-07,2.1398446313818686e-16,8.999999958687776e-08,2.558042382795029e-16,1.5722826308741123e-16,1.399999999995014e-06,6.999999999762398e-10,2.3711325027121612e-20,3.934852178624072e-35,5.663933069213556e-35,4.882991042052527e-23,4.882991042052527e-23,1.9999999999321137e-08,6.788615696436162e-19,3.06985255135932e-31,2.5368655597739257e-31,5.483624754893666e-30,2.4999999403384622e-09,1.0682581011946708e-18,5.859327979500279e-17,3.399999999992547e-06,6.780715790794326e-18,4.543442694698248e-32,8.986424311935947e-20,4.096929572801925e-20,5.412134050651992e-19
400,4.9327129195251645e-12,6.277387306688311e-14,9.999937159180612e-09,2.648969920518685e-15,9.999554882228028e-11,2.846917402826105e-15,4.205196939099741e-17,1.0897790189470524e-15,1.5999999557907832e-07,2.9047425971224503e-16,8.999999931936773e-08,3.4679786916962847e-16,3.3296744564898485e-16,1.3999999999549365e-06,6.999999982535834e-10,1.711729683962616e-18,5.786422590741122e-29,1.0900611236788747e-28,3.468697251641317e-20,3.468697251641317e-20,1.9999999950102358e-08,4.9897640940142253e-17,6.7306867841045035e-25,5.6495503070259945e-25,1.1370962925092735e-22,2.4999998675379967e-09,9.646023420481751e-18,1.228159802544059e-16,3.3999999999338574e-06,6.128607532935551e-17,9.421380551577992e-24,8.67092673754018e-19,3.0113212922624167e-18,9.781474683880264e-19
500,4.917722934614531e-12,7.67548459441073e-14,9.999922912199426e-09,3.041792476784522e-15,9.999479881679178e-11,7.568947612194767e-15,2.0092532316587547e-16,1.3153893760721475e-15,1.599999900820284e-07,3.589934538859321e-16,8.999999865212736e-08,4.3153386444869847e-16,9.121262471537204e-16,1.3999999997828838e-06,6.999999906105171e-10,9.20055602573284e-18,3.15633261357861e-28,5.9459813102642295e-28,1.8892690469581173e-19,1.8892690469581173e-19,1.999999973172893e-08,2.6827106187483417e-16,3.671403340180935e-24,3.0816733399641887e-24,6.202548204757154e-22,2.499999620647503e-09,4.646879675281458e-17,3.328837005099135e-16,3.3999999996820874e-06,2.9527704525131854e-16,5.1391047607334174e-23,4.212618583495235e-18,1.619015128313092e-17,2.2327473415960026e-18
600,4.902732949703898e-12,9.073581882133144e-14,9.999908665218237e-09,3.434615033050361e-15,9.999404881130327e-11,1.2290977821563429e-14,3.597986769407543e-16,1.5409997331972426e-15,1.599999845849785e-07,4.2751264805961914e-16,8.999999798488698e-08,5.162698597277685e-16,1.4912850486584591e-15,1.399999999610831e-06,6.999999829674509e-10,1.6689382367503015e-17,5.734022968083108e-28,1.0801901496849556e-27,3.431668368752103e-19,3.431668368752103e-19,1.9999999513355505e-08,4.866444828095245e-16,6.669738001951408e-24,5.59839164922579e-24,1.1268000117005035e-21,2.499999373757009e-09,8.329157008514761e-17,5.429514207654211e-16,3.3999999994303175e-06,5.2926801517328e-16,9.336071466309017e-23,7.55814449323644e-18,2.9368981273999474e-17,3.487347214803973e-18
700,4.8877429647932646e-12,1.0471679169855563e-13,9.99989441823705e-09,3.8274375893162e-15,9.999329880581476e-11,1.701300803093209e-14,5.186720307156324e-16,1.7666100903223377e-15,1.599999790879286e-07,4.960318422333066e-16,8.999999731764661e-08,6.010058550068385e-16,2.070443850163198e-15,1.3999999994387784e-06,6.999999753243845e-10,2.417820870927324e-17,8.311713322587606e-28,1.5657821683434882e-27,4.974067690546081e-19,4.974067690546081e-19,1.9999999294982076e-08,7.050179037442156e-16,9.668072663721893e-24,8.115109958487391e-24,1.6333452029252916e-21,2.499999126866516e-09,1.2011434341748044e-16,7.530191410209279e-16,3.3999999991785475e-06,7.632589850952414e-16,1.3533038171884635e-22,1.0903670402977632e-17,4.254781126486803e-17,4.741947088011943e-18
800,4.872752979882632e-12,1.1869776457577977e-13,9.999880171255864e-09,4.220260145582037e-15,9.999254880032625e-11,2.1735038240300753e-14,6.775453844905104e-16,1.9922204474474313e-15,1.5999997359087868e-07,5.645510364069937e-16,8.999999665040622e-08,6.857418502859081e-16,2.6496026516679334e-15,1.3999999992667256e-06,6.999999676813183e-10,3.1667035051043414e-17,1.088940367709209e-27,2.0513741870020208e-27,6.516467012340059e-19,6.516467012340059e-19,1.999999907660865e-08,9.23391324678906e-16,1.2666407325492366e-23,1.0631828267748968e-23,2.1398903941500766e-21,2.499998879976022e-09,1.5693711674981327e-16,9.630868612764347e-16,3.3999999989267775e-06,9.972499550172037e-16,1.7730004877460215e-22,1.4249196312718824e-17,5.572664125573648e-17,5.996546961219913e-18
900,4.857762994971998e-12,1.326787374530039e-13,9.999865924274678e-09,4.613082701847873e-15,9.999179879483775e-11,2.6457068449669415e-14,8.364187382653885e-16,2.2178308045725256e-15,1.5999996809382877e-07,6.330702305806807e-16,8.999999598316585e-08,7.704778455649781e-16,3.228761453172669e-15,1.399999999094673e-06,6.99999960038252e-10,3.915586139281359e-17,1.3467094031596573e-27,2.5369662056605505e-27,8.058866334134036e-19,8.058866334134036e-19,1.9999998858235226e-08,1.141764745613597e-15,1.566474198726284e-23,1.3148546577010558e-23,2.6464355853748647e-21,2.4999986330855284e-09,1.937598900821461e-16,1.1731545815319408e-15,3.3999999986750076e-06,1.2312409249391643e-15,2.1926971583035815e-22,1.7594722222460016e-17,6.890547124660499e-17,7.251146834427877e-18
