miliseconds,Br,Ce,HBrO2
0,-0.0002899300787991324,0.050115961263282695,5.000240384056535e-11
100,0.004892789695496137,0.0456913357781255,4.981217865188764e-11
200,0.00865409354671449,0.040926320052959785,5.0279620911478524e-11
300,0.012846420286041873,0.037385842180527394,5.036655089557303e-11
400,0.01627551100458492,0.03369639059511772,5.000991618376922e-11
500,0.018882125134865247,0.029720550457284365,5.037850068349103e-11
600,0.021454809662689606,0.027498474460007635,5.032151977707961e-11
700,0.023854770089830266,0.024962424639675088,5.0242159158790713e-11
800,0.02577725268430341,0.022423436825112792,5.009973597094725e-11
900,0.02752378127602081,0.019700075246035335,5.049699720589811e-11
1000,0.029071098286963006,0.018770253329585786,4.9464231376389774e-11
1100,0.03017605929127861,0.017150531799880662,5.016450394329549e-11
1200,0.031487033794510615,0.01500974361208534,4.9403283755212546e-11
1300,0.031951612992123485,0.013867854455371916,4.967136429334967e-11
1400,0.03295343446066088,0.011746386515678617,4.97883745633176e-11
1500,0.03336171870685972,0.010869917618656967,5.043770826888232e-11
1600,0.03424442823622821,0.010514082427585994,5.05485676507629e-11
1700,0.03416190568437786,0.008653390702745263,5.017091381324802e-11
1800,0.035081317578880625,0.00769256790651705,5.022713937520287e-11
1900,0.03487327469390854,0.0077222355464590066,5.02792709988165e-11
2000,0.03512499568627917,0.006484854659214478,5.022355369933772e-11
2100,0.03492721442099322,0.0065542227994769015,5.0221421671713414e-11
2200,0.035033917127042895,0.005660337462174475,5.028853005790655e-11
2300,0.03515592287363902,0.005623636522370103,5.021222722761819e-11
2400,0.03547223617560357,0.005046509135845361,5.02191035401992e-11
2500,0.03489011069958794,0.0039045731225430874,5.028854066218405e-11
2600,0.034860177449092,0.0034691822362166876,5.022700812023541e-11
2700,0.0342939123450165,0.002801409477283594,5.0236933832695386e-11
2800,0.034457393570590154,0.003511985959870653,5.026770308479898e-11
2900,0.0343157861479133,0.0029084875827857237,5.024795471173005e-11
3000,0.03365752591903307,0.0022539108393801062,5.0240781576140994e-11
3100,0.03369780354981939,0.002277818357605631,5.025068257014225e-11
3200,0.033419021411051804,0.001966774168149158,5.0242565567009e-11
3300,0.032539676034144364,0.001334118104187185,5.0253319964896334e-11
3400,0.03242959734949777,0.0013923084445318457,5.0250950169339795e-11
3500,0.03249943510245804,0.0016612748807106974,5.0247297341840464e-11
3600,0.031462647416608994,0.0016649509835756889,5.0243326367187e-11
3700,0.0312298694954133,0.0015366329929962274,5.025551848427705e-11
3800,0.03100163174749612,0.0007489130917253293,5.026128549100255e-11
3900,0.030385319326564568,0.0011909288604965264,5.024684912877932e-11
4000,0.029834145854747487,0.0010913154401517807,5.024870771554056e-11
4100,0.029634140177748923,0.0002662151331419097,5.0245485288083335e-11
4200,0.029572062720228057,0.0009456152014443537,5.026911002109204e-11
4300,0.029248877724154587,0.00018610195305053545,5.0246874971222807e-11
4400,0.028357759898354554,0.00017150473541405968,5.0240132830831566e-11
4500,0.028197527859027308,0.0010331171900300699,5.027936562303182e-11
4600,0.027560131574940357,0.0007465239489424965,5.0300003244016425e-11
4700,0.02727040802933186,-0.0001294243523386118,5.023599202282889e-11
4800,0.0270011786997389,0.00047270922915889317,5.0146683760702343e-11
4900,0.026941137076824977,0.0002372063617577053,5.026101351069548e-11
5000,0.02633014381825843,0.0007098955567881125,5.0480279429175846e-11
