miliseconds,Susceptible,Unquarantined_Infected,Quarantined_Infected,Confirmed_Infected
0,9010001.736505687,258.1806961680398,2.0440973933888826,0.1670960223312559
100,9009998.888559548,261.189804565006,3.2994947794490708,-0.007012577925541238
200,9009988.247634383,276.6469947936675,2.379604511462838,0.13233091141987466
300,9009977.810781265,269.57368460213416,6.036055643713614,0.008663313078186886
400,9009974.447429566,284.2839581718485,7.195235873937657,0.1740687793436817
500,9009960.070413765,297.85575459951895,8.760342007695819,0.15549381643663177
600,9009960.366597528,293.5180136024963,12.048164675753952,-0.01265541011266405
700,9009952.305347446,297.87392671309493,11.838231917439186,0.1462370203977485
800,9009928.604152082,311.5875635232642,12.491298832516293,0.17197238743827142
900,9009928.673521185,313.0568339968887,15.116902958518072,0.37741316219419274
1000,9009906.788829451,332.76732201670956,16.07678288948148,0.5166209601985545
1100,9009894.288279913,335.76783808116005,18.82900230276072,0.4558081542262299
1200,9009893.52357067,340.707923617412,22.978141220742714,0.730282095417029
1300,9009886.325873336,350.1129719814619,24.670351450822913,0.832389634351325
1400,9009863.258004509,360.8807015314453,27.96406203061303,0.8334914325928621
1500,9009861.323360503,374.5124115051812,26.774854751392905,1.1965335902824907
1600,9009860.309900485,380.4320339452772,29.143958797455237,1.0621773590274142
1700,9009839.980863435,377.2760333577917,31.05213261393845,1.1556391546821247
1800,9009832.969748255,392.9519199376171,34.201370496451936,1.6053910326694276
1900,9009806.91660036,409.6128825246843,36.6727139372348,1.5105578014292025
2000,9009805.414744591,413.7116556516602,38.81215201035552,1.8875120875882376
2100,9009787.729767598,428.6884746256137,43.548547148299896,2.2210571778007773
2200,9009787.188804103,431.1045942737844,42.99053640959312,2.46046777835846
2300,9009770.15411838,446.11291279975956,46.16436714433456,2.466790676205874
2400,9009750.831278043,457.582350708759,50.8040689560056,2.691761505922531
2500,9009739.108452605,470.05145462562444,54.02796703284813,3.0945375036283194
2600,9009734.651519421,471.4450483689825,53.073466239008056,3.470923218026313
2700,9009719.607529566,484.9843676489336,58.36712900476022,3.5332167859023125
2800,9009693.748871615,494.99430128350315,59.6696072120906,4.050286649440232
2900,9009687.19906813,504.9946205883168,61.74176860350124,4.170310514869499
3000,9009656.709522722,526.6780026737162,64.51746781143942,4.319651228844546
3100,9009656.38216548,527.2176465483313,67.72424128072522,4.617148380903637
3200,9009636.01192993,546.1537507954253,73.2424781416306,5.157842583114884
3300,9009610.550676841,557.2485706539027,75.4996926220842,5.6367510779644565
3400,9009603.885430451,565.0949837812171,78.84510271873651,5.821149702420159
3500,9009585.456839493,579.3785681278013,82.30923921514373,6.23771035835352
3600,9009557.73750552,603.412341028467,83.93306007038056,6.923056927470711
3700,9009545.040995559,610.4676338982902,89.33185448077721,7.10618924967233
3800,9009533.581160596,632.3034130844497,93.47577587340339,7.4448954074228855
3900,9009502.423035081,638.0042432598294,96.02853592568374,7.973194045792255
4000,9009499.470419738,651.6116103902132,99.08345082981533,8.512385952580692
4100,9009474.356159257,679.1665564516322,100.69290429238393,8.897030163403182
4200,9009445.400198802,695.6542651013312,106.04686345739387,9.676754552623954
4300,9009433.497861972,699.2881049462989,111.06772656998595,10.128005352613549
4400,9009414.693799743,720.8952328788964,112.85485559051635,10.782985498250131
4500,9009399.507106341,743.582903750618,119.61935638901899,11.15527693966723
4600,9009374.433863677,753.8917911597525,122.45725784738168,11.872271062538493
4700,9009343.000717735,766.8490222802695,126.04597636175126,12.53311570028717
4800,9009314.646503914,789.6682656809186,131.7499240428387,13.088555820920053
4900,9009287.678975862,810.2640352145752,133.6363343161002,13.952920092409935
5000,9009269.045986341,821.5841678303727,138.2348202014346,14.647636247695209
