miliseconds,CDK1_active
0,0.004838895150377999
100,0.014224065846118034
200,0.02406380367324837
300,0.0317600472448195
400,0.040161871199366844
500,0.04857478191787451
600,0.053571219321365306
700,0.0633447885107902
800,0.08366265285000536
900,0.0954125346346355
1000,0.1065980879392468
1100,0.10521392982042922
1200,0.11823554051275481
1300,0.12413400138800866
1400,0.1428713345545723
1500,0.15182048991753125
1600,0.16484277189192692
1700,0.1687909478693731
1800,0.18463512370507254
1900,0.19248431071465003
2000,0.20607752570387042
2100,0.21167583673965742
2200,0.21490576622544125
2300,0.22372950265489847
2400,0.24204030771436033
2500,0.25294870524255025
2600,0.2597179788449194
2700,0.27049141246148173
2800,0.28348620500014526
2900,0.2848120634357966
3000,0.29808446146041273
3100,0.3017316856904642
3200,0.3195997720375648
3300,0.3239163761780679
3400,0.33411593731140693
3500,0.3499964559109255
3600,0.3572526869621063
3700,0.3571920631066107
3800,0.3657054961184967
3900,0.37467008429868076
4000,0.3740576114975161
4100,0.38406961470612083
4200,0.3869481396264967
4300,0.39403241899280655
4400,0.40030194974731553
4500,0.410142345488777
4600,0.4033291364903999
4700,0.4093280709944156
4800,0.4099004290112455
4900,0.41030694100145193
5000,0.4140484454304128
