miliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
0,0.7865501640054205,0.004207313391231678,-1.7073365201367114e-05,-0.0029450202130132585,0.9886697795319835,-2.4277137152439683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0635461784864298
100,1.4320199675867005,0.011401689004050232,1.4658155952318848e-05,0.028449396955264356,0.9012515630688792,6.427114614132868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25157034974035686
200,3.191155976537881,0.03516129045748742,7.883942450521872e-06,0.185517832154973,0.8165995468297202,-3.8612562534218933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2628124825098985
300,3.775076365140695,0.057541296282289336,9.77443257670903e-05,0.29794265263508435,0.7537295603974032,-4.253379839942727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24067790640925635
400,4.233339713387156,0.088817733135961,0.00016737909666679577,0.45106585474297395,0.6821703666068524,11.982448826652558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18840934659760425
500,5.008196942611137,0.12145499863760184,0.00027237124382489206,0.5356754178621008,0.607034369660393,-10.398560245053636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08446248575716861
600,6.0573848727388215,0.15961363867933015,0.0003745383266506509,0.6872486589663291,0.545087337717335,10.304841687255003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33419132099857796
700,6.728625251711611,0.19716256870681811,0.0005585259222260289,0.8862027283661962,0.4873690650567518,15.946588945338444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0798924068916505
800,7.65352667202684,0.22435114387075283,0.0006991145895073193,1.0044780023967381,0.4620602647648237,11.468875291616008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18701666045964863
900,7.633787198529527,0.2653412287518803,0.0009078516452783282,1.1348068800436233,0.4116595686034477,4.650629363174758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0690259904481364
1000,8.611317597196214,0.2885134713283831,0.0011209450868815093,1.2715775220078447,0.3572233155090427,9.358622718088343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4573939096889975
1100,9.739399208162045,0.3184127967726189,0.0013250663283146536,1.3953103185245508,0.3403993924680863,0.14437704284649477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7079697335566795
