milliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
0,0.8535363563745346,-0.004038399813402444,-2.515125569308397e-05,-0.024609699797933805,0.9891166918295177,-5.670736653340546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16330705965982437
100,2.386862773023224,0.01683771612285194,1.683031416159805e-05,0.05152972534066337,0.8943105345272975,6.12417769995918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1979651328453665
200,2.6538947972118496,0.03062782190163716,2.3447879365766095e-05,0.18246353384531822,0.8232881184034966,-3.250959492641292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1534167190095812
300,3.276600649105509,0.0650832234762151,6.2290528837792e-05,0.2588757198461392,0.7478318782993929,6.914450250315927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0659153240846514
400,4.5096720541667965,0.09001517293921403,0.00017213832753631834,0.40619640532970125,0.6664192116920031,-6.221560907263943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4002880608328583
500,4.821132568766966,0.1230764994933468,0.0002508312930045311,0.5515876130862483,0.6024936458292871,10.879501782379768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03885415382460378
600,5.8249231638852015,0.1573515381672737,0.0003602612894614392,0.7428866513219395,0.5460565259628305,15.777529519010457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.040434170220116195
700,6.873057180838137,0.19421653345597595,0.000527298343088494,0.887987326614637,0.4855083785322424,1.2176728852214758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2748178484736131
800,7.292738227335046,0.22869088699402004,0.0007408567620418921,1.0075173224129026,0.4388515161979887,-10.362289279027907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.039702939494747735
900,8.32861388789773,0.2619750141873505,0.0009232883990508588,1.145327856348558,0.40869009725880995,8.901205317133158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061284303759981784
1000,9.224156506537868,0.29564535284085885,0.0011451754742117703,1.3193466437235903,0.3662322705409933,18.732862726802963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.550806960046064
1100,9.070973742097106,0.3153281222726075,0.001374710872894033,1.4427240227544145,0.3381990124059127,19.17463417880966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8766890479248779
1200,9.877419389676001,0.3379656791207916,0.0015481157811418097,1.543824108269457,0.2971508501806503,4.737008049079623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.192322987172956
1300,11.26928259657384,0.3344056296116714,0.0016583264491595224,1.6826388600164022,0.2827640411640522,42.426771179562074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6391889515891696
1400,11.42473293367392,0.31851479836247065,0.0016170580719433083,1.7502742891609504,0.2385793479838726,56.71587697877252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43544668390068
1500,11.904011301042269,0.2875823352573639,0.0015258244127956035,1.9139901931522163,0.21768860763377199,88.63296426462767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.025224112334703
1600,12.863439877587277,0.23300095606552126,0.0012223819700376277,1.9685484930770893,0.2042965166039099,112.66365045421178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9133376646272944
1700,13.3862867341239,0.17671735047648343,0.0009382373429433581,2.0692915971258294,0.17133743847855099,155.4356946629494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.164234165775508
1800,14.840790030744179,0.13482381098140364,0.0006084038838862375,2.1212976892470925,0.17156284190373933,195.8678535296551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.13415795644112
1900,15.542320253517202,0.10314531993074112,0.0003993258198676891,2.187300329504219,0.15403390831382502,245.78690750851064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2776452594301695
2000,15.800991400408336,0.07924070739386832,0.00023415342638940305,2.285987265259583,0.14159694870349254,288.46031901127145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.110563435614734
2100,17.112013396182384,0.06240609833495575,0.00016957899160055165,2.347401906247131,0.11440492800589615,295.4102494109186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.391003679680036
2200,17.281079726785926,0.053034686093399244,7.808637717405487e-05,2.382242728015239,0.11857422938452093,321.69205580140124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.239134592430144
2300,18.45218700837213,0.04786390172691285,8.779593356829322e-05,2.4465724386154855,0.09919796819622939,354.5506208624416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.509661028301407
2400,18.58340510779981,0.04032607738318966,3.0515701727194102e-05,2.4547976826883486,0.08871081216436931,385.27407325571016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.22698396327533
2500,19.861689608533105,0.04382578944591611,5.330576896720256e-05,2.488732062341152,0.08390650439211447,393.58675222315117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.249245036626782
2600,20.235475778439408,0.037371402919136834,1.8290658086815828e-05,2.5342325827968986,0.06694795538526516,404.5286763702525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.863932464592683
2700,20.63200696665683,0.04097083966303851,3.696677038708667e-05,2.547031395301616,0.07925986622531657,438.1470836551154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.341867318409683
2800,21.609724358152043,0.03913670943646979,4.032901436668557e-05,2.60134446560547,0.05685650226849073,455.27975379390347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.744423917850996
2900,21.911363848388095,0.03743181461119534,1.1224884100032132e-05,2.598698739966886,0.06762252838542056,478.3587926677801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.241090111847582
3000,23.52375027379187,0.033437294403576415,4.791794144722711e-05,2.5861694495639673,0.06111532944548954,494.15886197611985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.533558919867529
3100,23.628224587320585,0.033088895474469415,4.928475348566928e-05,2.632031700721188,0.042508319486176414,512.6693993878936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.540832138659564
3200,24.068465372583887,0.03264328707635101,3.6834992337702184e-05,2.600237526412434,0.04533745414555027,524.5871544517214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.010858889343828
3300,25.57069266200888,0.02462091231540405,3.675981527542533e-05,2.57881999312422,0.04270323402266416,552.2425476433464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.136110562259693
3400,25.686494042821565,0.029903464428185485,3.0131959941841626e-06,2.6300872297730242,0.023574309233928458,576.7987375279837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.90580427948409
3500,26.162832477751532,0.02099061513953429,1.589551883790728e-05,2.57538878088306,0.02591718913884887,581.9277915522463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.89551971378568
3600,27.600180253568936,0.018990435952599215,3.208138745756737e-05,2.5772745070547125,0.019728567988790538,618.1091891132452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.99516362443448
3700,27.863096607298505,0.021615042351709787,3.3561448000278584e-05,2.596760439280912,0.021135795421656892,620.6270916868388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.731766874959765
3800,28.586643370206062,0.018086400752800817,2.3306401027271964e-05,2.537480903498809,0.02732019335407504,639.8006153891796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.48145687526095
3900,28.972489107309528,0.020245692163133353,1.3362483738722785e-05,2.498574233633567,0.018700726215175267,646.4033758636289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.764023728407494
4000,30.243632654339777,0.02032006703642823,2.2471987208708233e-05,2.490663638019202,0.017711264413655236,666.5287807822469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.173972304573734
4100,30.680066058069563,0.016108024598840802,6.107285662210463e-06,2.4449117292814373,0.015468274622281291,677.129804987122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.369701394462878
4200,30.855168589863272,0.019846144618369845,2.3609679871015866e-05,2.4506924034987776,0.01746677160501705,695.702079524733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.793638369692149
4300,31.60757695896126,0.017622932174496515,1.0977856858493264e-05,2.401440638803565,0.004041489939634787,708.7667016447367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.770466939011996
