miliseconds,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,z_i
0,1.4843676115805478,0.004337458423552622,-2.0075934683806234e-05,-0.0023130038914058806,1.005465892928474,6.351353967394686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3022075886710037
100,1.5183774061984088,0.01730242971048841,-1.6731222220987644e-05,0.10215795359938717,0.914518761071016,-9.781082767700696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1622821956704687
200,2.469734320744844,0.031221639697826185,3.705686552092822e-05,0.15860285614078828,0.8063297228027255,13.225203260948405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16582207027955587
300,3.0674039150635357,0.05970084840604558,9.605953958222503e-05,0.3100645474471014,0.7509420001113292,0.4853899699634737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28038365217582273
400,4.137410723570551,0.08844739366854913,0.00015252177492512637,0.3809157542609962,0.6728754112143934,10.868339286020023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026173924315267744
500,4.791783837967614,0.12814759543957227,0.0002608296402198069,0.5622621924348848,0.6038364451135554,-7.65431993989853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06176118844372101
600,6.097481833011656,0.15522035917231997,0.00038632076869103596,0.6882852782329455,0.5485734584126097,14.383516758556794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13191177673905152
700,6.270701209915702,0.19272506217624194,0.0005363590883096813,0.8793843172480319,0.48456757251167654,0.17870340310707666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1117157467713219
800,7.383956605004725,0.22498445931239164,0.0007091842166146407,1.0105742383267,0.46098477269662186,2.527130926773461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2083502031118795
900,8.263932882547232,0.2592345062907345,0.0009055853694642389,1.183455398309641,0.3964804393997919,10.184777559437187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1178625796624615
1000,9.044838003386195,0.29729421492928754,0.0011553518598406492,1.2486424383371295,0.3756195329176196,13.939176242843583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5180766326639474
1100,9.798995905523572,0.3163717157750858,0.0013643214372362962,1.405578158772472,0.33009953004451337,9.906006770622685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9831779422117344
1200,9.748147648151809,0.33432843623376585,0.0015254309197097688,1.573802657542136,0.31189628563669813,17.5045039402802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8188723822190926
1300,10.916202624231705,0.3359559226866679,0.001630384978930355,1.631940988528535,0.2616463431629317,17.13973951305924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3586096115501702
1400,11.426935527540296,0.3151817573631364,0.001663288973918617,1.7738147169010283,0.23724773992098386,49.09881995936845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1310297315418345
1500,12.206844935921582,0.2828484623836475,0.0014866342988704648,1.8956110842559495,0.23470875507181022,76.58817820287341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.273023115541393
1600,13.41108230922095,0.23112959222558502,0.0012441702324819358,1.9787250483588796,0.20229356603560775,121.22297422110712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028404986470378
