milliseconds,T,I,V
0,1936.7527448057247,416654.14350087196,4438890.152324151
100,4235.8701705127505,410769.00460062583,4684634.698418305
200,8716.757422990579,406067.82536361436,4655769.399659952
300,13289.037286057126,402193.19535389903,4601951.335692924
400,17026.821020799915,396647.9966998526,4588161.011329274
500,21174.60879892304,391609.8083862959,4489547.769835516
600,31005.825006675623,390367.58191946626,4483089.020778471
700,34463.771285235496,387640.38338603894,4419409.675694632
800,38230.13918659372,383131.76822107675,4362169.336615739
900,40735.42776691437,378948.43655739963,4316267.195394953
1000,44106.94114147974,370622.12110519735,4243115.764854055
1100,47831.43016248667,365846.96460048185,4222456.632551687
1200,55464.2152575567,364536.96668996563,4154241.1607072586
1300,56519.00447868756,361681.4666115831,4134570.4715677355
1400,63606.06290760405,357784.00607129803,4101965.525318002
1500,69242.69525833327,353190.34553184593,4008190.806889975
1600,73449.8336958778,347550.2448032785,3966559.0388412913
1700,76661.10136036435,345173.9110803457,3952650.476237939
1800,76598.69628360635,339435.6741074316,3910467.192312556
1900,82793.63382167621,337805.0309946954,3850451.3682690966
2000,84626.4241513883,334023.5893536818,3796932.0538810794
2100,91686.5881508397,330747.96466801275,3760738.5714754546
2200,94052.37539443186,325481.4851754235,3724106.205294807
2300,98110.54587920244,322438.21739345917,3727538.276441
2400,101506.69657708658,320138.4858604287,3659966.5760588055
2500,104109.77900378902,314281.69606804324,3611069.5654509817
2600,110984.60146748279,314773.37733737874,3591276.98098336
2700,112377.72785337873,311786.4802676729,3557846.521778846
2800,118405.8696389872,306309.7049406853,3501961.4056946523
2900,118289.64955172264,302661.6842319613,3442498.8416857207
3000,125420.01964294893,299022.82210573374,3435304.9810616174
3100,125262.35355412275,295095.46431023267,3418145.7972217025
3200,132521.58035482175,295087.1798367833,3350933.6095640133
3300,132901.85556173313,290506.39254284714,3323879.2438901938
3400,138924.13068670355,287448.2319881417,3304159.468037699
3500,140797.8353913017,282828.35044582444,3278407.5453248452
3600,143171.5122506519,283518.2320152792,3237518.1788853686
3700,144736.18138172684,278820.9457387864,3204016.820136306
3800,149868.67538502725,274283.3889977286,3184618.284634281
3900,153318.7608891967,272675.9633898898,3119736.852708707
4000,153754.0815973734,272029.13572048047,3109666.8657008884
4100,160104.70923828633,269494.866555271,3040905.946754874
4200,160548.65851712227,266215.8619804362,3057241.5140355835
4300,165083.53341399183,259838.58681710262,2981390.4393742895
4400,170491.80638322452,261471.101797901,2963694.303393411
4500,174108.49115089615,255863.7320978371,2964523.9797799103
4600,173669.33267431628,255777.9617090948,2939033.229222468
4700,176840.03004355234,253795.87145245567,2897563.3864277457
4800,179152.2276371378,247646.48520140845,2876509.671577613
4900,183349.6105598273,247920.30862188485,2809147.941679728
5000,189085.73236031766,243917.83843540028,2792303.9668993154
