miliseconds,T,I,V
0,-435.22394663052495,419069.9966965904,4472404.306355932
100,3945.978322866659,414695.8545348232,4697124.987502718
200,8000.383877039958,409246.2960333191,4649134.412836665
300,15917.869517459378,403895.777642117,4605015.800376803
400,19802.23561443287,398255.71690455213,4583989.593821364
500,22716.97801158713,393806.4919125103,4532972.984234061
600,30705.775280573136,388274.9796208787,4473661.648604836
700,32554.637811283086,386619.9051610733,4431589.724772631
800,39534.436451065565,379893.9136907333,4378204.214255626
900,40325.396376365796,379076.06136383885,4318596.543785679
1000,44642.13235040675,374226.1710704659,4264224.157942534
1100,50445.385019195135,366549.70832768804,4191335.1955811195
1200,56988.075832470844,363867.16820219584,4166215.058899495
1300,56759.51697881659,359592.0584868315,4124637.6326898015
1400,63233.0210661835,355991.0359193567,4102105.532199023
1500,69299.70018179913,352668.58126506314,4031683.8375203814
1600,69984.94225712836,350459.7285216416,4013581.875503665
1700,74823.41824260778,346251.1783388043,3930736.373880761
1800,76520.40358492469,338849.52482368966,3903765.7222516867
1900,81285.61311906294,337988.0193392401,3874110.8916012854
2000,87918.20377211699,334268.7928364662,3816626.22593988
2100,89903.76806243684,331874.0171186021,3768033.791713876
2200,93129.14730133247,327630.2120130921,3737650.553766697
2300,99075.15599918067,322341.40410578484,3711803.8834974198
2400,102875.51221556452,319763.1998083445,3675844.0473561934
2500,106651.73713708732,313613.8410232718,3594461.7141151517
2600,109406.41161622397,313251.84363609424,3582911.463171034
2700,114854.6038416813,309996.16412834334,3538782.9618478045
2800,113792.23683051046,308231.68631063984,3510691.8555640066
2900,117466.10682035929,303814.53019745194,3445399.2959122825
3000,121391.22706756936,298244.3494040959,3405976.9179031625
3100,125162.00967206944,297743.8965176777,3403600.714069879
3200,131683.56761294164,295265.2446090701,3365384.747560094
3300,131672.19077709303,290223.54833966104,3324574.9734450504
3400,139420.8911053784,288659.1618149227,3286515.1257965127
3500,139942.14182227105,284527.35572866275,3246560.2037658314
3600,141032.06873355966,282783.1585624461,3246244.683947098
3700,149437.60239762944,279682.5888984207,3178264.8032325464
3800,147570.55773430338,273651.6355421831,3145255.238985586
3900,154977.0556692278,275345.92184522626,3131979.283415559
4000,158518.788439554,270340.4210515577,3116798.5825436204
4100,157034.29022144392,266981.71081398625,3077300.715938763
4200,163488.57273476914,263836.36479015026,3021353.885654796
4300,166392.43245235135,260334.47014146284,2998802.617004149
4400,166766.83835616492,260238.60251262525,2989894.6683258587
4500,174197.770251761,258278.61296356047,2946240.4067307524
4600,175607.95536534785,251893.13021784544,2895157.916838723
4700,175465.95813450686,252735.8834431719,2887197.235690968
4800,179453.7581056545,249132.94915137684,2845338.816426614
4900,181009.0383922702,247786.49393607787,2845764.801160302
5000,185196.0787185286,244876.076216564,2785929.3698024275
