miliseconds,T,I,V
0,703.6318639478337,415528.55880935077,4429172.43521657
100,5487.193859546053,415136.31430129503,4678211.345396574
200,7098.032456961597,408537.2415733771,4653193.0127327405
300,16437.656893118627,404690.80719839677,4608499.910039646
400,21070.06951300465,397546.35992926714,4564025.766188997
500,24613.740283961946,392421.25452733954,4536897.263329475
600,29875.03938727833,391571.4950783132,4489749.909137314
700,32996.42292430512,384631.57826868084,4438367.400805567
800,40105.38646783897,380967.54279692285,4381167.6238397695
900,39902.10768591007,377268.48630304507,4296794.51614106
1000,46309.13457240796,369811.5709384716,4250076.9243727755
1100,51658.00839606126,366098.23143554415,4232461.297204392
1200,57453.55855824904,365216.6627307477,4162661.6039420725
1300,57454.45273309857,362084.5575188079,4125815.8607831667
1400,60808.577881431265,354660.8351201681,4106863.5101396353
1500,67367.68678962853,354113.92311801633,4014532.4461928755
1600,73542.15089071255,347467.0891665393,3971105.102654336
1700,75509.35453085805,344422.2224166238,3963734.0232583154
1800,81888.19477813088,342124.67882160353,3894575.183892267
1900,82448.92672268748,339117.5232632139,3850499.07823674
2000,87538.42309889772,334914.5328948495,3793013.824010715
2100,88881.85358699065,330814.17576344777,3785960.461873486
2200,94152.78327401524,327152.5656184904,3752321.989945502
2300,99102.68570750182,325401.90410396986,3727607.4010148104
2400,102381.57488041511,318989.6218931244,3679721.654266824
2500,105468.54168645223,315312.35236637807,3639824.696606342
2600,110149.74856566818,310880.8827720821,3600762.315404576
2700,111162.43602264706,307680.52583864983,3545647.8006781894
2800,118700.60932183528,305808.8603688267,3488707.275319232
2900,121619.17136331408,302396.1069853065,3451969.51564832
3000,125133.08686990193,301974.9449761108,3445559.9529212033
3100,126356.12210981983,297753.79994210886,3419630.54835999
3200,128752.56923115117,291047.3795481612,3348998.427246777
3300,131372.78216510906,290360.60317090864,3342631.5830655857
3400,134918.80573102564,285893.65611443855,3305814.270161032
3500,143025.83398461813,282514.7694928961,3275642.266801904
3600,141581.5027708609,280827.8611453633,3205476.8615412535
3700,146152.371231891,278342.5266782753,3168183.2004385246
3800,147433.3935775239,278148.17878707906,3187764.9702004315
3900,154598.87322056384,272623.9429975263,3107223.010283866
4000,154180.014179292,271869.977131261,3072358.666678767
4100,161722.79126845603,265947.5160072001,3073927.8686214187
4200,162197.0390281453,264134.14922154817,3009924.0253544375
4300,166021.06761540982,262829.4939561695,3025650.0278701256
4400,171114.24526693256,262097.04093023553,2968089.0144426385
4500,172986.82063598855,256814.51339608635,2945985.2511382443
4600,174291.50534879524,254439.16808475484,2932690.562238121
4700,176811.49735431664,251016.0728036031,2862268.3694031173
4800,179217.89227216435,251088.4539979631,2837219.121126549
4900,180971.58302204843,248543.33108720495,2805241.2547304453
5000,187479.65694070404,243806.9079349195,2784760.281090852
