miliseconds,T,I,V
0,801.6475046991634,416296.59995437163,4457675.94745988
100,5514.307179965722,410534.36573782633,4702271.794546429
200,9792.222551313298,408537.09045343834,4674858.543081056
300,14006.061425959111,402606.3019961739,4643806.492911899
400,20667.62276198704,396775.15684989846,4596856.978102521
500,24666.483899972533,392736.4831564438,4513259.174608753
600,30897.026603029663,387234.1463163688,4448221.08440495
700,35219.55488376031,383691.43141255254,4420342.986011722
800,35679.71459508865,378697.9503015455,4381564.105203688
900,42838.31925693045,375162.8818009087,4341787.543536222
1000,45811.81907341207,372331.5895797883,4259291.3036848605
1100,52593.37064209752,368238.60399010975,4238741.025744474
1200,56898.8275520521,364966.0287778144,4193362.1746885534
1300,60953.59819726165,357610.8769709468,4149896.8136136
1400,62636.24157973843,355112.9519367446,4097315.154567526
1500,68638.79505281159,353764.5195644549,4024866.672038781
1600,70576.5233964242,345882.06226432975,3983543.2037598686
1700,72948.9706631656,342059.50968868926,3959975.6917807553
1800,78312.37983168398,341183.7849292924,3899863.0360382535
1900,80953.82710566376,335882.8621075319,3855285.5153467017
2000,85286.90251066089,335186.0920892258,3847705.667337336
2100,88376.19045840848,328946.5182942108,3787248.526724573
2200,92436.66129536132,326915.70447054616,3751466.2142487676
2300,100599.58864579175,322486.11747500894,3716945.784308366
2400,100133.16843587783,321006.17640853964,3666099.158866306
2500,107760.22803230018,314111.2721558123,3616229.126817856
2600,112078.60518101734,313790.60463269963,3580979.319599635
2700,114607.97142562512,308982.64479685243,3535507.544445291
2800,115620.47254831051,306244.7039793656,3532431.0557062565
2900,119080.09085733064,301222.31990690785,3481313.714046325
3000,121444.75362912321,298395.2542371505,3418684.8704513405
3100,129598.01375539732,296478.6007165742,3394572.992354084
3200,128022.59998972084,291026.55672085204,3338426.6361329593
3300,132774.9724494434,291712.35774117237,3316291.8853679877
3400,139744.88141250578,285828.71989213506,3287816.5802478096
3500,137664.5485858097,285661.6705385243,3253360.776851524
3600,143340.8768708923,281942.4581847463,3227246.3127749506
3700,144977.8569632142,277213.82551809464,3171303.3641271656
3800,147440.4040615464,274728.23304407025,3136146.9786485415
3900,154552.91153897924,271937.17689698417,3119208.3549433476
4000,153748.68101011115,271100.647949935,3088087.5095437635
4100,160848.783422009,265072.7933247985,3047440.5723018306
4200,160230.36784179526,264735.9820937151,3029617.285192719
4300,164842.31692142604,263181.6251913946,3001759.949987165
4400,168301.97658357644,259541.7483909772,2988692.372323698
4500,171996.31052594827,257237.78579614227,2924492.228472671
4600,176300.86321821393,255265.66029130004,2916926.7967874985
4700,176137.41605905787,251411.97880657663,2871170.10253571
4800,182324.00204016108,248574.15552092815,2854335.6212783596
4900,185807.65054736374,247375.93090175107,2810024.777412241
5000,188364.812239943,246396.26894993003,2812936.131108756
