milliseconds,T,I,V
0,-869.251890275296,419231.94594284927,4462760.134252024
100,3191.568839797252,413189.50036272296,4648378.361730742
200,11714.014036299133,410064.23412357137,4673160.653913538
300,14949.065843221633,403229.99637158925,4608220.233236398
400,17668.134767251246,399047.36976333405,4581058.348873678
500,21225.257672266598,392000.29762454727,4508736.54584249
600,26753.435051164408,387338.83448363276,4476961.954826705
700,30397.352663858732,386099.3359544307,4425668.00749988
800,38289.930750246254,379046.70838824,4366243.586587241
900,41572.832894869854,377289.4001701608,4312804.783531636
1000,48427.89888116864,370565.6967983926,4266403.152774954
1100,50697.981362249724,366301.0422388082,4216306.04549274
1200,56568.81407886133,361764.52261676535,4198961.2996831415
1300,57423.353333282634,360077.9601647287,4115767.000139996
1400,65575.80687122398,357346.74878942396,4089163.809074829
1500,65386.09013609168,353192.4036458284,4029940.2262597727
1600,69129.45628198983,348366.6003460287,3968754.9296055716
1700,75434.39754292692,345633.96045428596,3920804.419975383
1800,76755.6320423399,340264.1519872049,3894742.1202586032
1900,81001.3227722118,335957.3167058894,3885955.4913248485
2000,87641.25311069645,333769.30278390244,3800130.287121803
2100,88848.0087742144,331798.36547068815,3790334.9224383985
2200,96213.0284845376,328865.4705158303,3722438.718436864
2300,96012.5079427237,322028.90075886634,3723531.9293433116
2400,103968.78714791071,319073.32539565273,3641114.7278349036
2500,103583.18961431555,316065.6640712197,3607876.5995780546
2600,109680.75323356737,310562.7620362981,3593124.174267611
2700,114308.33545938684,309328.5242917849,3553995.316307701
2800,116088.16953956806,304532.0624740527,3516569.718099438
2900,122002.57971950342,301378.22973858466,3485486.434946296
3000,123885.83608859846,298465.95685463806,3431194.4710824005
3100,124720.91088386801,297620.50399756216,3378263.493012825
3200,129574.94521928953,291520.3819303489,3334549.470544508
3300,131286.75588802306,288221.9579023396,3338129.648515521
3400,135409.76861645211,286959.2590286019,3290845.6420416697
3500,138982.09070807454,283261.415942273,3235494.8247809247
3600,141893.41105474054,282498.49809710856,3201008.470521581
3700,144521.54983927592,278243.81650558824,3208119.0474001123
3800,148211.142574819,277982.72540228884,3131484.6489053653
3900,152921.43763250826,273575.6504305489,3138798.603796212
4000,154964.5583238328,272208.5300661568,3121902.2635816624
4100,157461.26431007468,266629.4128593398,3042883.8690797277
4200,161348.82734627527,265732.88849562284,3011514.6065551615
4300,165577.29604852147,264323.78682704084,2999625.603277039
4400,167443.6129251854,259733.71389753342,2969901.988215724
4500,169798.8091824356,258252.6064533982,2968788.269720014
4600,177081.99027312797,252532.53900275176,2937646.3397827456
4700,178443.90774418737,250056.1712184063,2881550.794100372
4800,180842.24110870346,250897.21945154516,2882134.4794085626
4900,182641.55663165727,244816.97555715384,2842825.48558987
5000,187852.90621704052,246479.16155289108,2826010.1952816043
