miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,9.02648400684957e-05,0.00016837603581944482,1.221142765841812e-08,-1.7344862097691536e-10,2.379667618205397e-14,5.297801637970803e-08,8.151083390252866e-09,8.361727962983254e-05,-3.574107312960828e-05,-5.442780103932842e-08,-3.2713738566557163e-06,-1.730057728130128e-07,6.523412111115336e-09,-1.4020617821073599e-06,4.930326638118246e-06,1.1175769158562273e-10,8.304333870069282e-06,5.41835816986902e-09,-6.883913311118488e-09,2.3706931660467874e-13,1.682603955765218e-14,-2.568455055806615e-10,4.3374611957249866e-11,-9.373027889149951e-16
100,9.074429048341558e-05,0.0001637504869724053,2.3362566023875205e-08,3.580694198953986e-11,-9.880463514032403e-15,5.0919658438092354e-08,7.648390486980914e-09,1.528630727577548e-06,0.00010110596742421424,3.0319763480671117e-07,7.678778093839011e-07,-1.9208836430079163e-08,1.9589879319086015e-07,7.0478147401654545e-06,4.761575431983351e-06,3.3081990824903955e-08,2.1785048241359836e-08,-2.1558744728671037e-10,5.821540807037868e-09,3.051183238649606e-11,3.9823748714569754e-14,8.625719570177185e-11,1.6624866249119798e-10,7.358365643541739e-16
200,7.866031988195847e-05,0.00015632391706377015,9.276693257554558e-09,3.9327019955558283e-10,-1.853143446775973e-14,5.066223681764903e-08,7.397014235023071e-09,9.69865496035211e-07,2.988690096434522e-05,1.7738078326165006e-08,-8.557101502189215e-07,1.2497200131205964e-07,2.806316340323731e-07,1.207195342263889e-05,4.996776876129101e-06,4.720484268665738e-08,1.8310550777484624e-05,1.2521241200475625e-08,-1.0504538327326273e-09,9.162282771306276e-11,5.934336577749454e-14,4.5202750736339934e-10,-2.1735660910207208e-10,7.239242412870837e-16
300,7.228792968237845e-05,0.00015952080669692976,1.3167330859688004e-08,4.2319928969500345e-10,-7.242847793454891e-17,4.5519367253211526e-08,7.085426011492422e-09,3.3738399077056614e-07,5.9368537075522224e-05,3.7711323288385706e-07,-1.8197019932411516e-06,5.187395253059835e-07,3.674414587000604e-07,1.7193573340260345e-05,4.724633282272724e-06,6.096648031722808e-08,1.4545262830540991e-05,2.8675908360641276e-08,4.763366810514184e-09,1.3250896646774024e-10,7.223852347215742e-14,1.6671609949991119e-09,4.966191266296112e-10,1.6718301439830286e-16
400,7.499126996249264e-05,0.0001642206576124033,1.734713231440948e-08,2.7697651467775245e-10,-5.56718892031494e-15,3.683554906097292e-08,6.406585345667122e-09,-7.595307177744918e-07,7.474827038350898e-05,2.104382227955185e-07,1.0619202127508712e-05,9.068386256677226e-07,4.298085650598627e-07,1.8984074609328816e-05,4.674930543517734e-06,7.039873080303101e-08,3.0925376793029245e-05,1.9924754170969526e-08,1.2262323801361428e-08,1.9537386566319117e-10,5.80216544344811e-14,2.063483902025782e-09,5.130051058187417e-10,-2.675123400598115e-16
500,8.944181098169647e-05,0.0001667826523004744,1.4041526370073246e-08,5.106146952421394e-10,2.585661368339002e-14,4.058128833830156e-08,5.658858685500389e-09,-9.177403846499762e-07,4.48571081979245e-06,4.926071518533311e-07,-1.1513612467749673e-06,6.56726638114008e-07,4.1396211063981546e-07,2.2471753102544365e-05,4.591011487760567e-06,6.879860671515682e-08,2.7112319644981068e-05,1.8034738233000114e-08,7.400228972192315e-09,1.728458598122411e-10,4.608425106453942e-14,1.204435907836885e-09,5.268765175306634e-10,3.514397681293351e-16
600,7.93982332736115e-05,0.00016391948128072193,-1.6882106799946734e-09,1.9754103064912462e-10,1.4119365858217292e-15,2.7103581985562695e-08,5.730775056618643e-09,-2.501628866469646e-07,3.903332651298467e-05,3.3095215625457265e-07,6.083744671554803e-06,8.374767115121876e-07,3.895414722747943e-07,2.1167594552696378e-05,4.705448962171505e-06,6.799741253709273e-08,3.873512145190779e-05,2.582302944952336e-08,1.0388624074284381e-08,2.2468527314084837e-10,8.900635386595576e-14,1.9613756400161785e-09,1.689804273018839e-10,2.1531421297525656e-15
700,8.211690306042911e-05,0.00016680335346623326,-4.68423831236512e-09,5.258221167934319e-10,3.2651882974077476e-14,3.281730461133664e-08,5.064825190203244e-09,-4.3068942897338034e-07,9.082906535650013e-06,5.199797220719149e-07,3.018533879735276e-06,4.615326805888822e-07,3.84025427375415e-07,2.4706882688836778e-05,4.552320440888291e-06,6.381711074845673e-08,4.735593001241809e-05,1.7595715851958824e-08,1.1858539140702505e-08,1.8416622416432288e-10,1.1790576711475595e-13,2.1901410520726722e-09,3.644640608949726e-10,2.9623569141781636e-15
800,9.208616762666873e-05,0.00016606656004943885,1.1528431342853016e-09,5.495201743447789e-10,6.710139164169591e-14,2.9362495910124177e-08,5.511268722973741e-09,-2.0167789496321413e-07,9.534612231253811e-06,3.893390790750141e-07,7.723001605423314e-06,8.148349980827199e-07,3.961234230904415e-07,2.511391552880499e-05,4.333693427328172e-06,6.401795421885738e-08,5.976481007199702e-05,2.6849258425048704e-08,1.1775893534066808e-08,1.8895385464316924e-10,8.261410778801969e-14,3.649446842908391e-09,8.485304791105072e-10,2.669360668182994e-15
900,7.731267068453962e-05,0.00016816386837346697,1.8411848815800476e-09,4.2875768110444037e-10,5.0232225981216415e-14,3.316882611193346e-08,5.212767938829576e-09,-7.467880110748269e-07,-6.796186621688317e-06,4.357022405386821e-07,-1.2481399268664228e-06,8.490783400635832e-07,3.696839147140359e-07,2.648613446519333e-05,4.333520255186495e-06,6.301149650583691e-08,6.498966812155057e-05,3.147229401202939e-08,2.0019084902586095e-08,2.147928804502099e-10,9.11173600429789e-14,3.029647395008704e-09,8.475623332546157e-10,3.840558213968663e-15
